model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,11,0.3888888888889024,10,0,0,5,5,0.8975693639367819,0.9058579914271832,0.20447495952248573,13,0.2777777777777937,9,126,0.033463796600699425,0.23793875612318516,0,8,1
transformer,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,14,0.1764705882352943,6,0,2,5,5,0.20852440781891346,0.21514643356204033,0.0024074772372841835,15,0.11764705882352959,9,126,0.033407995477318764,0.03581547271460295,0,8,1
transformer,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,16,0.15789473684215802,5,0,2,5,4,0.8864521216601133,0.8928247084841132,0.002367737703025341,17,0.10526315789479289,9,126,0.033421946689486504,0.035789684392511845,0,5,2
transformer,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,11,0.42105263157894735,10,0,0,5,5,0.05429061967879534,0.06140194181352854,0.002225329168140888,11,0.42105263157894735,9,126,0.03299861866980791,0.0352239478379488,0,10,0
transformer,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,12,0.2941176470588492,7,0,1,5,4,0.6858583325520158,0.6920479498803616,0.0028352849185466766,16,0.05882352941179893,9,126,0.033595276065170765,0.03643056098371744,0,3,3
transformer,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,13,0.35000000000001225,10,0,0,5,5,0.9987308289855719,1.0065145688131452,0.002354987896978855,18,0.10000000000001695,9,126,0.03397893253713846,0.03633392043411732,0,8,1
transformer,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,11,0.35294117647059053,8,0,1,5,5,0.913050732575357,0.9193552415817976,0.002374197356402874,14,0.17647058823529704,9,126,0.033219218254089355,0.03559341561049223,0,6,2
transformer,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,17,0.05555555555556133,6,0,2,5,5,0.5492327511310577,0.6531506422907114,0.002581356093287468,17,0.05555555555556133,9,126,0.03475613985210657,0.03733749594539404,0,6,2
transformer,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,13,0.31578947368421806,10,0,0,5,5,0.5671871984377503,0.5737949535250664,0.0023223981261253357,13,0.31578947368421806,9,126,0.033894194290041924,0.03621659241616726,0,10,0
transformer,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,18,0.10000000000005003,7,0,1,5,4,0.9330437695607543,0.9406327605247498,0.0023586582392454147,18,0.10000000000005003,9,126,0.03475802019238472,0.037116678431630135,0,7,1
