model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,13,0.2777777777777937,8,0,1,5,5,0.8963563516736031,0.9046536218374968,0.18400238454341888,15,0.1666666666666851,9,126,0.03373416420072317,0.21773654874414206,0,8,1
transformer,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,11,0.35294117647058837,10,0,0,5,5,0.2084370544180274,0.21507809218019247,0.002384779043495655,15,0.11764705882352959,9,126,0.033675084821879864,0.03605986386537552,0,8,1
transformer,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,14,0.2631578947368883,7,0,1,5,4,0.8837242340669036,0.890040872618556,0.0023616785183548927,16,0.15789473684215802,9,126,0.03344287443906069,0.03580455295741558,0,5,2
transformer,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,11,0.42105263157894735,6,0,2,5,5,0.05400917399674654,0.061110720038414,0.0022247489541769028,18,0.05263157894736842,9,126,0.03368269465863705,0.03590744361281395,0,4,3
transformer,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,10,0.41176470588237435,7,0,1,5,4,0.6838507074862719,0.6900228969752789,0.002823956310749054,14,0.17647058823532408,9,126,0.03369756508618593,0.036521521396934986,0,5,2
transformer,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,12,0.4000000000000113,10,0,0,5,5,1.0054076565429568,1.0130399577319622,0.002356267534196377,12,0.4000000000000113,9,126,0.03340969607234001,0.03576596360653639,0,10,0
transformer,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,14,0.17647058823529704,6,0,2,5,5,0.9074705177918077,0.9137546066194773,0.00238167867064476,16,0.05882352941176805,9,126,0.033298276364803314,0.035679955035448074,0,4,3
transformer,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,12,0.3333333333333374,8,0,1,5,5,0.5450409790500998,0.6446645194664598,0.0025246767327189445,15,0.16666666666667176,9,126,0.03257944993674755,0.035104126669466496,0,6,2
transformer,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,16,0.15789473684211455,6,0,2,5,5,0.5604614745825529,0.5667257830500603,0.002345188520848751,16,0.15789473684211455,9,126,0.032900928519666195,0.035246117040514946,0,6,2
transformer,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,18,0.10000000000005003,7,0,1,5,4,0.9381966460496187,0.9460472175851464,0.00235688965767622,18,0.10000000000005003,9,126,0.03435106109827757,0.03670795075595379,0,7,1
