model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
tropical,min_cost_flow,ood_size,10020005,100,200,2.0,0,1,171.0,141,0.17543859649122806,2,0,0,1,1,0.1613606410101056,0.17393541894853115,0.34354107454419136
tropical,min_cost_flow,ood_size,10020006,100,200,2.0,1,1,194.0,158,0.18556701030927836,2,0,0,1,1,0.038836823776364326,0.05237013287842274,0.002418980933725834
tropical,min_cost_flow,ood_size,10020007,100,200,2.0,2,1,70.0,68,0.02857142857142857,2,0,0,1,1,0.04315117746591568,0.05667525622993708,0.0022862209007143974
tropical,min_cost_flow,ood_size,10020008,100,200,2.0,3,1,76.0,58,0.23684210526315788,2,0,0,1,1,0.037991954013705254,0.04920930042862892,0.002242441289126873
tropical,min_cost_flow,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.038839925080537796,0.05011916160583496,0.0022873617708683014
tropical,min_cost_flow,ood_size,10020010,100,200,2.0,5,1,138.00000000000006,119,0.13768115942029022,2,0,0,1,1,0.059904467314481735,0.07181358523666859,0.0025949720293283463
tropical,min_cost_flow,ood_size,10020011,100,200,2.0,6,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.035889092832803726,0.047481559216976166,0.0022519901394844055
tropical,min_cost_flow,ood_size,10020012,100,200,2.0,7,1,76.0,76,0.0,0,1,1,1,1,0.037567224353551865,0.049582560546696186,0.0022369222715497017
tropical,min_cost_flow,ood_size,10020013,100,200,2.0,8,1,94.0,78,0.1702127659574468,2,0,0,1,1,0.04559334833174944,0.05734368599951267,0.0023128818720579147
tropical,min_cost_flow,ood_size,10020014,100,200,2.0,9,1,299.0,249,0.16722408026755853,2,0,0,1,1,0.04124988615512848,0.05543381441384554,0.0022444212809205055
tropical,min_cost_flow,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.03660968318581581,0.04713554959744215,0.0022615408524870872
tropical,min_cost_flow,ood_size,10020016,100,200,2.0,11,1,205.0,205,0.0,0,1,1,1,1,0.03646885324269533,0.05135221127420664,0.0022565508261322975
tropical,min_cost_flow,ood_size,10020017,100,200,2.0,12,1,40.0,37,0.075,2,0,0,1,1,0.0380803132429719,0.0485529899597168,0.0022521205246448517
tropical,min_cost_flow,ood_size,10020018,100,200,2.0,13,1,137.0,137,0.0,0,1,1,1,1,0.03775704465806484,0.049128840677440166,0.0022943802177906036
tropical,min_cost_flow,ood_size,10020019,100,200,2.0,14,1,126.0,126,0.0,0,1,1,1,1,0.036142611876130104,0.04940943047404289,0.0022094910964369774
tropical,min_cost_flow,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.0386905437335372,0.0495798708871007,0.0022633522748947144
tropical,min_cost_flow,ood_size,10020021,100,200,2.0,16,1,132.00000000000003,102,0.22727272727272743,2,0,0,1,1,0.041689686477184296,0.05559517536312342,0.0022845417261123657
tropical,min_cost_flow,ood_size,10020022,100,200,2.0,17,1,10.0,4,0.6,2,0,0,1,1,0.03551323339343071,0.046281348913908005,0.002244671806693077
tropical,min_cost_flow,ood_size,10020023,100,200,2.0,18,1,93.0,81,0.12903225806451613,2,0,0,1,1,0.03728266339749098,0.04901701118797064,0.0022608311846852303
tropical,min_cost_flow,ood_size,10020024,100,200,2.0,19,1,40.0,30,0.25,2,0,0,1,1,0.03787526302039623,0.049449920654296875,0.002248740755021572
tropical,min_cost_flow,ood_size,10025005,100,250,2.5,0,1,39.0,39,0.0,0,1,1,1,1,0.04473959747701883,0.056867705658078194,0.0030995523557066917
tropical,min_cost_flow,ood_size,10025006,100,250,2.5,1,1,236.0,204,0.13559322033898305,2,0,0,1,1,0.05169786140322685,0.0637671584263444,0.002297932282090187
tropical,min_cost_flow,ood_size,10025007,100,250,2.5,2,1,296.0,296,0.0,0,1,1,1,1,0.05107839126139879,0.06692344136536121,0.0022887708619236946
tropical,min_cost_flow,ood_size,10025008,100,250,2.5,3,1,218.0,218,0.0,0,1,1,1,1,0.04682441893965006,0.06155835837125778,0.0022738510742783546
tropical,min_cost_flow,ood_size,10025009,100,250,2.5,4,1,137.0,135,0.014598540145985401,2,0,0,1,1,0.05066113267093897,0.06284902058541775,0.0022926321253180504
tropical,min_cost_flow,ood_size,10025010,100,250,2.5,5,1,78.0,66,0.15384615384615385,2,0,0,1,1,0.05869019590318203,0.07043951470404863,0.002312092110514641
tropical,min_cost_flow,ood_size,10025011,100,250,2.5,6,1,348.0,348,0.0,0,1,1,1,1,0.05001060105860233,0.06459673028439283,0.002286161296069622
tropical,min_cost_flow,ood_size,10025012,100,250,2.5,7,1,173.0,173,0.0,0,1,1,1,1,0.04790651984512806,0.05992050841450691,0.0022896509617567062
tropical,min_cost_flow,ood_size,10025013,100,250,2.5,8,1,188.0,170,0.09574468085106383,2,0,0,1,1,0.049112879671156406,0.06541696097701788,0.0023217210546135902
tropical,min_cost_flow,ood_size,10025014,100,250,2.5,9,1,272.0,265,0.025735294117647058,2,0,0,1,1,0.04603655729442835,0.059015827253460884,0.002271631732583046
tropical,min_cost_flow,ood_size,10025015,100,250,2.5,10,1,266.0,266,0.0,0,1,1,1,1,0.047863610088825226,0.33751717023551464,0.0024291304871439934
tropical,min_cost_flow,ood_size,10025016,100,250,2.5,11,1,56.0,36,0.35714285714285715,2,0,0,1,1,0.04607312846928835,0.05835315678268671,0.0022952724248170853
tropical,min_cost_flow,ood_size,10025017,100,250,2.5,12,1,152.0,112,0.2631578947368421,2,0,0,1,1,0.06497670151293278,0.07740982808172703,0.002353671006858349
tropical,min_cost_flow,ood_size,10025018,100,250,2.5,13,1,443.0,443,0.0,0,1,1,1,1,0.050139060243964195,0.0630137687548995,0.0022777505218982697
tropical,min_cost_flow,ood_size,10025019,100,250,2.5,14,1,92.0,84,0.08695652173913043,2,0,0,1,1,0.051596022211015224,0.06377588026225567,0.0023019108921289444
tropical,min_cost_flow,ood_size,10025020,100,250,2.5,15,1,381.0,328,0.13910761154855644,2,0,0,1,1,0.05448012426495552,0.06703146174550056,0.0023131808266043663
tropical,min_cost_flow,ood_size,10025021,100,250,2.5,16,1,421.0,378,0.1021377672209026,2,0,0,1,1,0.0446671973913908,0.05731676612049341,0.0022754212841391563
tropical,min_cost_flow,ood_size,10025022,100,250,2.5,17,1,87.0,68,0.21839080459770116,2,0,0,1,1,0.05333204288035631,0.06520594097673893,0.0023242617025971413
tropical,min_cost_flow,ood_size,10025023,100,250,2.5,18,1,144.0,124,0.1388888888888889,2,0,0,1,1,0.04699987079948187,0.05804131552577019,0.0022836923599243164
tropical,min_cost_flow,ood_size,10025024,100,250,2.5,19,1,31.0,22,0.2903225806451613,2,0,0,1,1,0.04942653141915798,0.06058555655181408,0.002306961454451084
tropical,min_cost_flow,ood_size,10030005,100,300,3.0,0,1,404.0,400,0.009900990099009901,2,0,0,1,1,0.06252857949584723,0.079858030192554,0.003172442317008972
tropical,min_cost_flow,ood_size,10030006,100,300,3.0,1,1,129.0,129,0.0,2,0,0,1,1,0.05706892441958189,0.07304788567125797,0.0023137712851166725
tropical,min_cost_flow,ood_size,10030007,100,300,3.0,2,1,447.0,402,0.10067114093959731,2,0,0,1,1,0.07879106048494577,0.09420830756425858,0.0023783808574080467
tropical,min_cost_flow,ood_size,10030008,100,300,3.0,3,1,299.0,226,0.24414715719063546,2,0,0,1,1,0.06277704890817404,0.07868693955242634,0.0023331306874752045
tropical,min_cost_flow,ood_size,10030009,100,300,3.0,4,1,196.0,187,0.04591836734693878,2,0,0,1,1,0.057461575604975224,0.07113781571388245,0.0023077325895428658
tropical,min_cost_flow,ood_size,10030010,100,300,3.0,5,1,284.0,187,0.3415492957746479,2,0,0,1,1,0.06535041145980358,0.07865552883595228,0.0023354021832346916
tropical,min_cost_flow,ood_size,10030011,100,300,3.0,6,1,412.0,322,0.21844660194174756,2,0,0,1,1,0.055856564082205296,0.07114957366138697,0.002405790612101555
tropical,min_cost_flow,ood_size,10030012,100,300,3.0,7,1,416.0,334,0.1971153846153846,2,0,0,1,1,0.06680817157030106,0.08069153130054474,0.0023439619690179825
tropical,min_cost_flow,ood_size,10030013,100,300,3.0,8,1,328.0,299,0.08841463414634146,2,0,0,1,1,0.058920176699757576,0.07262870483100414,0.002529941499233246
tropical,min_cost_flow,ood_size,10030014,100,300,3.0,9,1,246.0,246,0.0,2,0,0,1,1,0.0712895542383194,0.08472184278070927,0.0024385517463088036
tropical,min_cost_flow,ood_size,10030015,100,300,3.0,10,1,534.0,506,0.052434456928838954,2,0,0,1,1,0.07218392565846443,0.08718466479331255,0.0023398008197546005
tropical,min_cost_flow,ood_size,10030016,100,300,3.0,11,1,124.00000000000001,122,0.01612903225806463,2,0,0,1,1,0.09986464213579893,0.11328692175447941,0.002397901378571987
tropical,min_cost_flow,ood_size,10030017,100,300,3.0,12,1,366.0,338,0.07650273224043716,2,0,0,1,1,0.06823314167559147,0.08471498265862465,0.0023427605628967285
tropical,min_cost_flow,ood_size,10030018,100,300,3.0,13,1,388.0,332,0.14432989690721648,2,0,0,1,1,0.05755816586315632,0.07137393485754728,0.002324621193110943
