n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
100,250,2.5,0,1,50.0,50,0.0,0,1,1,1,1,0.07955755898728967,0.10433380701579154,0.16716724203433841
100,250,2.5,1,1,24.0,24,0.0,0,1,1,1,1,0.04858965997118503,0.05428392393514514,0.0018360719550400972
100,250,2.5,2,1,16.0,16,0.0,2,0,0,1,1,0.07591539598070085,0.08160673000384122,0.0019198510563001037
100,250,2.5,3,1,40.0,31,0.225,2,0,0,1,1,0.0624204269843176,0.06826823099981993,0.0017666820203885436
100,250,2.5,4,1,40.0,37,0.075,2,0,0,1,1,0.40371424006298184,0.4092873450135812,0.0018276710761711001
100,250,2.5,5,1,14.0,13,0.07142857142857142,2,0,0,1,1,0.052766900043934584,0.058332444983534515,0.0017840119544416666
100,250,2.5,6,1,30.0,29,0.03333333333333333,2,0,0,1,1,0.28837389301043004,0.29404467705171555,0.0018050320213660598
100,250,2.5,7,1,24.0,24,0.0,0,1,1,1,1,0.03562534903176129,0.04125995305366814,0.00176610192283988
100,250,2.5,8,1,24.0,24,0.0,2,0,0,1,1,0.05173159600235522,0.05750296893529594,0.0017646519700065255
100,250,2.5,9,1,36.0,34,0.05555555555555555,2,0,0,1,1,0.05029695201665163,0.055869895964860916,0.0017844419926404953
100,250,2.5,10,1,43.0,38,0.11627906976744186,2,0,0,1,1,0.04320759396068752,0.04884933901485056,0.0017909819725900888
100,250,2.5,11,1,38.0,30,0.21052631578947367,2,0,0,1,1,0.0669177760137245,0.07254627102520317,0.0017978409305214882
100,250,2.5,12,1,46.0,46,0.0,0,1,1,1,1,0.06864059902727604,0.07415483403019607,0.0017982019344344735
100,250,2.5,13,1,40.0,33,0.175,2,0,0,1,1,0.047977391979657114,0.0536219070199877,0.0017841520020738244
100,250,2.5,14,1,30.0,23,0.23333333333333334,2,0,0,1,1,0.046290630009025335,0.05189449398312718,0.0017520519904792309
100,250,2.5,15,1,42.0,37,0.11904761904761904,2,0,0,1,1,0.06295578402932733,0.06876410800032318,0.0017942319391295314
100,250,2.5,16,1,14.0,14,0.0,0,1,1,1,1,0.046249671024270356,0.05178572493605316,0.001774701988324523
100,250,2.5,17,1,30.0,30,0.0,0,1,1,1,1,0.04773087298963219,0.05349284806288779,0.0017683319747447968
100,250,2.5,18,1,30.0,26,0.13333333333333333,2,0,0,1,1,0.07297018892131746,0.07854723406489938,0.0017773819854483008
100,250,2.5,19,1,27.0,27,0.0,0,1,1,1,1,0.04064240609295666,0.04633603000547737,0.00175587204284966
100,400,4.0,0,1,13.0,12,0.07692307692307693,2,0,0,1,1,0.11888331105001271,0.12704089400358498,0.0027663680957630277
100,400,4.0,1,1,24.0,24,0.0,2,0,0,1,1,0.12151969992555678,0.12962322297971696,0.002104570041410625
100,400,4.0,2,1,17.0,17,0.0,0,1,1,1,1,0.11253862001467496,0.1907902549719438,0.002116080024279654
100,400,4.0,3,1,23.0,20,0.13043478260869565,2,0,0,1,1,0.1064199679531157,0.11468159093055874,0.0021012399811297655
100,400,4.0,4,1,23.0,23,0.0,0,1,1,1,1,0.07701971102505922,0.08516749390400946,0.00207986100576818
100,400,4.0,5,1,28.0,28,0.0,0,1,1,1,1,0.10768477199599147,0.11594198399689049,0.0023166800383478403
100,400,4.0,6,1,22.0,22,0.0,0,1,1,1,1,0.07607327599544078,0.08427543798461556,0.0020757910097017884
