model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,5,1,6,1,789.9782540400003,694.0540241159998,0.12142641830131104,2,0,0,1,1,3.3507691100239754,3.529157762415707,0.26455639116466045,694.0540241159998,0.12142641830131104,5,5,0.043409500271081924,0.3079658914357424,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,6,1,7,1,280.08370324500004,184.159473321,0.342484153175065,2,0,0,1,1,3.422265256755054,3.6108910609036684,0.11961626820266247,184.159473321,0.342484153175065,5,5,0.025549746118485928,0.1451660143211484,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,7,1,8,1,255.830073369,159.905843445,0.3749529078453665,2,0,0,1,1,2.540632109157741,2.74044328648597,0.11950535792857409,159.905843445,0.3749529078453665,5,5,0.025920636020600796,0.14542599394917488,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,8,1,9,1,256.58074938100003,160.656519457,0.3738559114641953,2,0,0,1,1,2.538009208627045,2.7301742136478424,0.11968358885496855,160.656519457,0.3738559114641953,5,5,0.026212476193904877,0.14589606504887342,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,974,1,1077,1,899.1750408960002,803.2508109719998,0.10668026308694555,2,0,0,1,1,3.8052768763154745,4.023845259100199,0.12009134888648987,803.2508109719998,0.10668026308694555,5,5,0.030731027014553547,0.15082237590104342,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,5,2,6,1,514.9089634040001,418.98473348000005,0.18629357176044625,2,0,0,1,1,2.644769473001361,2.872537658549845,0.11976480763405561,418.98473348000005,0.18629357176044625,5,5,0.029770956374704838,0.14953576400876045,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,6,2,7,1,297.811966938,201.887737014,0.32209662664082933,2,0,0,1,1,3.4325342904776335,3.6456515584141016,0.11989114806056023,201.887737014,0.32209662664082933,5,5,0.024827036075294018,0.14471818413585424,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,7,2,8,1,370.4465909210001,274.522360997,0.2589421316727854,2,0,0,1,1,3.096456919796765,3.3209947533905506,0.12014711834490299,274.522360997,0.2589421316727854,5,5,0.026218466460704803,0.1463655848056078,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,8,2,9,1,370.83665136100007,274.912421437,0.25866976624869875,2,0,0,1,1,3.1031693015247583,3.3015416879206896,0.11961202789098024,274.912421437,0.25866976624869875,5,5,0.02613692544400692,0.14574895333498716,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,974,2,1077,1,670.4066383000004,574.482408376,0.14308365168823892,2,0,0,1,1,2.7788689443841577,2.9916655253618956,0.1198408780619502,574.482408376,0.14308365168823892,5,5,0.030362986959517002,0.1502038650214672,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,5,3,6,1,428.60041319900006,189.22622590600002,0.5585019984146822,2,0,0,1,1,2.590265540406108,2.7925950679928064,0.1197638576850295,189.22622590600002,0.5585019984146822,5,5,0.02322174608707428,0.1429856037721038,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,6,3,7,1,464.7506309100203,368.8264009859999,0.20639935385605132,2,0,0,1,1,3.886894626542926,4.084588614292443,0.1200464777648449,368.8264009859999,0.20639935385605132,5,5,0.02605848666280508,0.14610496442764997,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,7,3,8,1,573.7830633230004,477.85883339900016,0.16717856635304956,2,0,0,1,1,2.716459710150957,2.929918390698731,0.12002573814243078,477.85883339900016,0.16717856635304956,5,5,0.028037897311151028,0.1480636354535818,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,8,3,9,1,574.173123763,478.2488938390001,0.1670649947795089,2,0,0,1,1,3.264521200209856,3.467267877422273,0.12036468926817179,478.2488938390001,0.1670649947795089,5,5,0.028262565843760967,0.14862725511193275,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,974,3,1077,1,584.0980880950001,344.72390080200006,0.409818474280072,2,0,0,1,1,2.5974147729575634,2.793354259803891,0.11969440802931786,344.72390080200006,0.409818474280072,5,5,0.025562405586242676,0.14525681361556053,0,2,0
