model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.14868917129933834,0.15392306447029114,0.185173693113029,11,0.0,5,5,0.014348459430038929,0.19952215254306793,1,0,1
tropical,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,22,0.3125,2,0,0,1,1,0.019568532705307007,0.02284814417362213,0.002158941701054573,22,0.3125,5,5,0.0005928901955485344,0.0027518318966031075,0,2,0
tropical,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.01480821892619133,0.017697441391646862,0.0019723111763596535,35,0.0,5,5,0.0007588714361190796,0.002731182612478733,1,0,1
tropical,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,30,0.16666666666666666,2,0,0,1,1,0.01585627906024456,0.01875838078558445,0.0019734911620616913,35,0.027777777777777776,5,5,0.0007603904232382774,0.0027338815852999687,0,2,0
tropical,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,56,0.0,0,1,1,1,1,0.016781249083578587,0.019672340713441372,0.0018803905695676804,56,0.0,5,5,0.0007267501205205917,0.002607140690088272,1,0,1
tropical,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014797349460422993,0.017615459859371185,0.001917840912938118,49,0.0,5,5,0.00209147110581398,0.004009312018752098,1,0,1
tropical,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.017865930683910847,0.0205653328448534,0.001948571763932705,14,2.537652627714643e-16,5,5,0.0005337810143828392,0.002482352778315544,1,0,1
tropical,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.026942956261336803,0.0296877883374691,0.001964201219379902,15,3.5527136788004996e-16,5,5,0.0006202515214681625,0.0025844527408480644,1,0,1
tropical,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.01834937185049057,0.021151713095605373,0.0018667913973331451,11,0.0,5,5,0.0005772504955530167,0.002444041892886162,1,0,1
tropical,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,34,0.0,2,0,0,1,1,0.026191716082394123,0.029042976908385754,0.0018841307610273361,34,0.0,5,5,0.0006792200729250908,0.002563350833952427,0,2,0
tropical,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.01967226155102253,0.022576114162802696,0.0019619623199105263,18,0.0,5,5,0.0006104102358222008,0.002572372555732727,1,0,1
tropical,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,14,0.2631578947368421,2,0,0,1,1,0.016909649595618248,0.02163063269108534,0.0019145812839269638,19,0.0,5,5,0.0005731396377086639,0.0024877209216356277,1,0,1
tropical,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,30,0.0,2,0,0,1,1,0.01730666123330593,0.020121483132243156,0.001940881833434105,30,0.0,5,5,0.0006587803363800049,0.00259966216981411,0,2,0
tropical,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.014532258734107018,0.017242830246686935,0.0018680505454540253,48,0.0,5,5,0.000677560456097126,0.0025456110015511513,1,0,1
tropical,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.017845640890300274,0.0207358431071043,0.001888250932097435,20,0.0,5,5,0.0005965912714600563,0.0024848422035574913,1,0,1
