model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.15525567159056664,0.16029673162847757,0.17465695086866617,11,0.0,4,4,0.01336558349430561,0.18802253436297178,1,0,1
tropical,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.0187021316960454,0.022003808058798313,0.002167760394513607,22,0.3125,4,4,0.0016558431088924408,0.003823603503406048,0,2,0
tropical,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014579189009964466,0.017319876700639725,0.0019318526610732079,35,0.0,4,4,0.000566776841878891,0.002498629502952099,1,0,1
tropical,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015357195399701595,0.018148024566471577,0.0018689120188355446,34,0.05555555555555555,4,4,0.000612746924161911,0.0024816589429974556,0,2,0
tropical,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,49,0.125,2,0,0,1,1,0.016634929925203323,0.01947839744389057,0.0018528923392295837,56,0.0,4,4,0.0005570678040385246,0.0024099601432681084,1,0,1
tropical,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.01471156720072031,0.017444598488509655,0.0018538925796747208,49,0.0,4,4,0.000565757043659687,0.002419649623334408,1,0,1
tropical,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.01908790972083807,0.02188044786453247,0.0018787216395139694,14,2.537652627714643e-16,4,4,0.0004554884508252144,0.002334210090339184,1,0,1
tropical,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025695892050862312,0.028476251289248466,0.001874673180282116,14,0.066666666666667,4,4,0.0005920268595218658,0.0024667000398039818,0,2,0
tropical,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01784448605030775,0.02053509373217821,0.0018500825390219688,11,0.0,4,4,0.00048596784472465515,0.002336050383746624,1,0,1
tropical,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.025670803152024746,0.02843244094401598,0.0019178418442606926,34,0.0,4,4,0.0005533378571271896,0.0024711797013878822,0,2,0
