model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.16081352438777685,0.1658257031813264,0.1702724350616336,11,0.0,5,5,0.013200483284890652,0.18347291834652424,1,0,1
tropical,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.01820762176066637,0.02138213813304901,0.0021280311048030853,29,0.09375,5,5,0.0016803834587335587,0.003808414563536644,0,2,0
tropical,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014425008557736874,0.017101287841796875,0.001903521828353405,35,0.0,5,5,0.0006588269025087357,0.0025623487308621407,1,0,1
tropical,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015521413646638393,0.01827432308346033,0.0018481025472283363,35,0.027777777777777776,5,5,0.0006721373647451401,0.0025202399119734764,0,2,0
tropical,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,49,0.125,2,0,0,1,1,0.016448769718408585,0.019237258471548557,0.0018403120338916779,56,0.0,5,5,0.0006690369918942451,0.002509349025785923,1,0,1
tropical,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.014663797803223133,0.017403075471520424,0.0018299119547009468,49,0.0,5,5,0.000669596716761589,0.002499508671462536,1,0,1
tropical,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.018948489800095558,0.02167967800050974,0.0018681725487113,14,2.537652627714643e-16,5,5,0.0005400674417614937,0.0024082399904727936,1,0,1
tropical,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.02566517051309347,0.02838724944740534,0.00184636190533638,15,3.5527136788004996e-16,5,5,0.0006918078288435936,0.0025381697341799736,1,0,1
tropical,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.017546826042234898,0.020212173461914062,0.0018805516883730888,11,0.0,5,5,0.0005842680111527443,0.002464819699525833,1,0,1
tropical,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.02543857041746378,0.02817095909267664,0.0018629319965839386,34,0.0,5,5,0.0006690863519906998,0.0025320183485746384,0,2,0
tropical,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.021797407418489456,0.024648104794323444,0.0023825597018003464,18,0.0,5,5,0.0006438577547669411,0.0030264174565672874,1,0,1
tropical,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,14,0.2631578947368421,2,0,0,1,1,0.01806554291397333,0.02108606044203043,0.00190042145550251,19,0.0,5,5,0.0005586165934801102,0.0024590380489826202,1,0,1
tropical,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,30,0.0,2,0,0,1,1,0.016896658577024937,0.01964601594954729,0.0018561920151114464,30,0.0,5,5,0.0006071273237466812,0.0024633193388581276,0,2,0
tropical,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.0140727199614048,0.01679460797458887,0.001835002563893795,48,0.0,5,5,0.0006642667576670647,0.0024992693215608597,1,0,1
tropical,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,20,0.0,0,1,1,1,1,0.01695064641535282,0.0196420568972826,0.0018255533650517464,20,0.0,5,5,0.0005725082010030746,0.002398061566054821,1,0,1
tropical,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.018182511441409588,0.020880792289972305,0.001841922290623188,27,0.0,5,5,0.0007194569334387779,0.002561379224061966,1,0,1
tropical,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,38,0.0,0,1,1,1,1,0.01693214662373066,0.019684416241943836,0.0018360530957579613,38,0.0,5,5,0.002694247290492058,0.004530300386250019,1,0,1
tropical,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.017713313922286034,0.020368242636322975,0.001870422624051571,15,0.0,5,5,0.0005339281633496284,0.0024043507874011993,1,0,1
tropical,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,17,0.0,2,0,0,1,1,0.01694351714104414,0.0196682158857584,0.0018342817202210426,17,0.0,5,5,0.0005922680720686913,0.002426549792289734,0,2,0
tropical,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01726903673261404,0.019988114945590496,0.0018322523683309555,18,0.0,5,5,0.0005391975864768028,0.0023714499548077583,1,0,1
tropical,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,16,0.15789473684210525,2,0,0,1,1,0.022145395167171955,0.025614221580326557,0.0019837012514472008,19,0.0,5,5,0.0007433770224452019,0.0027270782738924026,1,0,1
tropical,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,19,0.05,2,0,0,1,1,0.033087038435041904,0.03656625375151634,0.0019074417650699615,20,0.0,5,5,0.000821906141936779,0.0027293479070067406,1,0,1
tropical,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,21,0.19230769230769232,2,0,0,1,1,0.022281374782323837,0.025794019922614098,0.0018647117540240288,26,0.0,5,5,0.0008698655292391777,0.0027345772832632065,1,0,1
tropical,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03546686843037605,0.038930353708565235,0.0018790019676089287,17,0.0,5,5,0.0008785966783761978,0.0027575986459851265,1,0,1
tropical,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,17,0.0,2,0,0,1,1,0.02967593353241682,0.03318680822849274,0.0018693320453166962,17,0.0,5,5,0.0008225170895457268,0.002691849134862423,0,2,0
tropical,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,16,0.0,0,1,1,1,1,0.022452245466411114,0.027730531990528107,0.0018810518085956573,16,0.0,5,5,0.000841757282614708,0.0027228090912103653,1,0,1
tropical,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,17,0.19047619047619047,2,0,0,1,1,0.022503074258565903,0.025978528894484043,0.0018692519515752792,21,0.0,5,5,0.0007774671539664268,0.002646719105541706,1,0,1
tropical,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.022307424806058407,0.025790231302380562,0.0018417919054627419,14,0.22222222222222238,5,5,0.0007855268195271492,0.002627318724989891,0,2,0
tropical,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.02320260088890791,0.026734416373074055,0.0018798913806676865,12,0.0,5,5,0.0008413959294557571,0.0027212873101234436,1,0,1
tropical,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,16,0.0,0,1,1,1,1,0.022437834180891514,0.027817142195999622,0.0018908921629190445,16,0.0,5,5,0.0007393062114715576,0.002630198374390602,1,0,1
tropical,shortest_path,id_new,,,3009015,30,90,3.0,10,0,29,1,13.0,13,0.0,0,1,1,1,1,0.022723042406141758,0.02620759792625904,0.001865762285888195,13,0.0,5,5,0.0007619354873895645,0.0026276977732777596,1,0,1
tropical,shortest_path,id_new,,,3009016,30,90,3.0,11,0,29,1,15.0,15,0.0,0,1,1,1,1,0.021059609949588776,0.02451145462691784,0.0018463414162397385,15,0.0,5,5,0.000773116946220398,0.0026194583624601364,1,0,1
tropical,shortest_path,id_new,,,3009017,30,90,3.0,12,0,29,1,2.0,2,0.0,0,1,1,1,1,0.019731716252863407,0.023243450559675694,0.0018402133136987686,2,0.0,5,5,0.0006738677620887756,0.0025140810757875443,1,0,1
tropical,shortest_path,id_new,,,3009018,30,90,3.0,13,0,29,1,21.0,21,0.0,0,1,1,1,1,0.02145582903176546,0.026773575693368912,0.001873181201517582,21,0.0,5,5,0.0007823072373867035,0.0026554884389042854,1,0,1
tropical,shortest_path,id_new,,,3009019,30,90,3.0,14,0,29,1,24.0,16,0.3333333333333333,2,0,0,1,1,0.02245036419481039,0.025901399552822113,0.0018429132178425789,24,0.0,5,5,0.0008634962141513824,0.0027064094319939613,0,2,0
