model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,11,0.0,0,1,1,1,1,0.18767886981368065,0.19265025574713945,0.17161963693797588,11,0.0,4,4,0.013073806650936604,0.1846934435889125,1,0,1
tropical,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.01866080053150654,0.021897144615650177,0.002396857365965843,23,0.28125,4,4,0.0018705613911151886,0.004267418757081032,0,2,0
tropical,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014920978806912899,0.017752865329384804,0.002215629443526268,35,0.0,4,4,0.0006506573408842087,0.0028662867844104767,1,0,1
tropical,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.0166506702080369,0.019784634932875633,0.002233428880572319,34,0.05555555555555555,4,4,0.0006876261904835701,0.002921055071055889,0,2,0
tropical,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.016864778473973274,0.020037983544170856,0.0021670395508408546,56,0.0,4,4,0.0006646066904067993,0.002831646241247654,1,0,1
tropical,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.0150497080758214,0.018195463344454765,0.002193738706409931,49,0.0,4,4,0.0006743669509887695,0.0028681056573987007,1,0,1
tropical,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.020626140758395195,0.02381336595863104,0.0023749694228172302,14,2.537652627714643e-16,4,4,0.000576116144657135,0.0029510855674743652,1,0,1
tropical,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,14,0.066666666666667,2,0,0,1,1,0.028658442199230194,0.03189104702323675,0.0022625690326094627,14,0.066666666666667,4,4,0.0007051760330796242,0.002967745065689087,0,2,0
tropical,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.017930333502590656,0.020890538580715656,0.002100410871207714,11,0.0,4,4,0.0005920268595218658,0.00269243773072958,1,0,1
tropical,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.028348224237561226,0.03152636904269457,0.0021619098260998726,34,0.0,4,4,0.0006781769916415215,0.002840086817741394,0,2,0
tropical,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.019515326246619225,0.022553212009370327,0.0021125301718711853,18,0.0,4,4,0.0006041368469595909,0.002716667018830776,1,0,1
tropical,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,14,0.2631578947368421,2,0,0,1,1,0.018250091932713985,0.021431396715343,0.0021506501361727715,19,0.0,4,4,0.0005643470212817192,0.0027149971574544907,1,0,1
tropical,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.017049558460712433,0.020221303217113018,0.002068581059575081,30,0.0,4,4,0.0006170365959405899,0.0026856176555156708,0,2,0
tropical,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.01439664140343666,0.017572985030710697,0.0020555295050144196,48,0.0,4,4,0.0006477870047092438,0.0027033165097236633,1,0,1
