model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,11,0.0,0,1,1,1,1,0.15908319130539894,0.16423601936548948,0.17018671240657568,11,0.0,5,5,0.012431235052645206,0.1826179474592209,1,0,1
tropical,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.01822292897850275,0.021510754711925983,0.002177090384066105,23,0.28125,5,5,0.0016811732202768326,0.0038582636043429375,0,2,0
tropical,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014373506419360638,0.017126543447375298,0.0019398210570216179,35,0.0,5,5,0.0006704870611429214,0.0026103081181645393,1,0,1
tropical,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015212081372737885,0.018050129525363445,0.0018638502806425095,34,0.05555555555555555,5,5,0.0006628073751926422,0.0025266576558351517,0,2,0
tropical,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.016326806508004665,0.01918641384691,0.0018591713160276413,56,0.0,5,5,0.0006560068577528,0.0025151781737804413,1,0,1
tropical,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014349766075611115,0.017158523201942444,0.001848822459578514,49,0.0,5,5,0.0006751976907253265,0.0025240201503038406,1,0,1
tropical,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.018932895734906197,0.021751622669398785,0.0018776319921016693,14,2.537652627714643e-16,5,5,0.0005315179005265236,0.002409149892628193,1,0,1
tropical,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,14,0.066666666666667,2,0,0,1,1,0.025371107272803783,0.028162194415926933,0.0018786508589982986,14,0.066666666666667,5,5,0.0006837770342826843,0.002562427893280983,0,2,0
tropical,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01760038174688816,0.020331529900431633,0.0018634507432579994,11,0.0,5,5,0.0005812179297208786,0.002444668672978878,1,0,1
tropical,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.025434907525777817,0.028255353681743145,0.00187631044536829,34,0.0,5,5,0.0006598671898245811,0.002536177635192871,0,2,0
tropical,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01834882888942957,0.021205665543675423,0.0018581608310341835,18,0.0,5,5,0.0006101382896304131,0.0024682991206645966,1,0,1
tropical,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,14,0.2631578947368421,2,0,0,1,1,0.017649371176958084,0.02052232902497053,0.0018882714211940765,19,0.0,5,5,0.00055666733533144,0.0024449387565255165,1,0,1
tropical,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.016529285348951817,0.01934074331074953,0.001852802000939846,30,0.0,5,5,0.0006046369671821594,0.0024574389681220055,0,2,0
