model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.16613402776420116,0.1711340108886361,0.24869936984032393,11,0.0,5,5,0.020555912517011166,0.2692552823573351,1,0,1
tropical,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,22,0.3125,2,0,0,1,1,0.01939255278557539,0.022612965665757656,0.0022691208869218826,23,0.28125,5,5,0.0005837799981236458,0.0028529008850455284,0,2,0
tropical,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.01491938903927803,0.017754901200532913,0.001871391199529171,35,0.0,5,5,0.0007020700722932816,0.0025734612718224525,1,0,1
tropical,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.016095060855150223,0.018895402550697327,0.0019157715141773224,34,0.05555555555555555,5,5,0.0007127411663532257,0.002628512680530548,0,2,0
tropical,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,56,0.0,0,1,1,1,1,0.01690017059445381,0.019689492881298065,0.001883980818092823,56,0.0,5,5,0.0006994809955358505,0.0025834618136286736,1,0,1
tropical,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014509609900414944,0.017215311527252197,0.001888602040708065,49,0.0,5,5,0.0020357901230454445,0.0039243921637535095,1,0,1
tropical,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.017433390952646732,0.02012886293232441,0.0019181407988071442,14,2.537652627714643e-16,5,5,0.0005387002602219582,0.0024568410590291023,1,0,1
tropical,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.026074206456542015,0.028764398768544197,0.0018714210018515587,15,3.5527136788004996e-16,5,5,0.0006351210176944733,0.002506542019546032,1,0,1
tropical,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.01733775157481432,0.02006121352314949,0.0018621915951371193,11,0.0,5,5,0.000568881630897522,0.0024310732260346413,1,0,1
tropical,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.025763656944036484,0.028594637289643288,0.0018823621794581413,34,0.0,5,5,0.0006734197959303856,0.002555781975388527,0,2,0
tropical,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.018548122607171535,0.02135737333446741,0.0018844623118638992,18,0.0,5,5,0.0006063003093004227,0.002490762621164322,1,0,1
tropical,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,14,0.2631578947368421,2,0,0,1,1,0.016104841604828835,0.020726644434034824,0.001931341364979744,19,0.0,5,5,0.0005640508607029915,0.0024953922256827354,1,0,1
tropical,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,30,0.0,2,0,0,1,1,0.016612420789897442,0.019301151856780052,0.0018793120980262756,30,0.0,5,5,0.000657680444419384,0.0025369925424456596,0,2,0
tropical,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.014020228758454323,0.016658461652696133,0.0018503312021493912,48,0.0,5,5,0.0007276497781276703,0.0025779809802770615,1,0,1
tropical,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.016682040877640247,0.019445733167231083,0.0018442608416080475,20,0.0,5,5,0.0005686413496732712,0.0024129021912813187,1,0,1
tropical,shortest_path,id_new,,,,,3006020,30,60,2.0,15,0,29,,,1,27.0,27,0.0,0,1,1,1,1,0.01820079144090414,0.02090029325336218,0.001857302151620388,27,0.0,5,5,0.0007089702412486076,0.0025662723928689957,1,0,1
tropical,shortest_path,id_new,,,,,3006021,30,60,2.0,16,0,29,,,1,38.0,34,0.10526315789473684,2,0,0,1,1,0.017072010785341263,0.021692974492907524,0.0018882416188716888,38,0.0,5,5,0.0006637200713157654,0.0025519616901874542,1,0,1
tropical,shortest_path,id_new,,,,,3006022,30,60,2.0,17,0,29,,,1,15.0,15,0.0,0,1,1,1,1,0.01729828119277954,0.019960863515734673,0.0018699010834097862,15,0.0,5,5,0.0005489299073815346,0.002418830990791321,1,0,1
tropical,shortest_path,id_new,,,,,3006023,30,60,2.0,18,0,29,,,1,17.0,17,0.0,2,0,0,1,1,0.01692650094628334,0.01965825166553259,0.0018567424267530441,17,0.0,5,5,0.0005953703075647354,0.0024521127343177795,0,2,0
tropical,shortest_path,id_new,,,,,3006024,30,60,2.0,19,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.01695351116359234,0.019699422642588615,0.0018842210993170738,18,0.0,5,5,0.0005405107513070107,0.0024247318506240845,1,0,1
tropical,shortest_path,id_new,,,,,3009005,30,90,3.0,0,0,29,,,1,19.0,19,0.0,0,1,1,1,1,0.021929044276475906,0.025446166284382343,0.0019510108977556229,19,0.0,5,5,0.0007549310103058815,0.0027059419080615044,1,0,1
tropical,shortest_path,id_new,,,,,3009006,30,90,3.0,1,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.03175443969666958,0.03709033410996199,0.0019469903782010078,20,0.0,5,5,0.000834491103887558,0.002781481482088566,1,0,1
tropical,shortest_path,id_new,,,,,3009007,30,90,3.0,2,0,29,,,1,26.0,21,0.19230769230769232,2,0,0,1,1,0.022148103453218937,0.025640967302024364,0.001920880749821663,26,0.0,5,5,0.000828051008284092,0.002748931758105755,1,0,1
tropical,shortest_path,id_new,,,,,3009008,30,90,3.0,3,0,29,,,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03660777397453785,0.04013748560100794,0.0019262805581092834,17,0.0,5,5,0.0008879518136382103,0.0028142323717474937,1,0,1
tropical,shortest_path,id_new,,,,,3009009,30,90,3.0,4,0,29,,,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.030492319725453854,0.034008922055363655,0.0018997015431523323,17,0.0,5,5,0.0008226698264479637,0.002722371369600296,0,2,0
tropical,shortest_path,id_new,,,,,3009010,30,90,3.0,5,0,29,,,1,16.0,16,0.0,0,1,1,1,1,0.022960174828767776,0.02834230847656727,0.0019911909475922585,16,0.0,5,5,0.0009023016318678856,0.002893492579460144,1,0,1
tropical,shortest_path,id_new,,,,,3009011,30,90,3.0,6,0,29,,,1,21.0,21,0.0,0,1,1,1,1,0.022786594927310944,0.026292726397514343,0.0018856925889849663,21,0.0,5,5,0.0008449191227555275,0.0027306117117404938,1,0,1
tropical,shortest_path,id_new,,,,,3009012,30,90,3.0,7,0,29,,,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.022840185090899467,0.02632724680006504,0.0018788417801260948,14,0.22222222222222238,5,5,0.000854790210723877,0.0027336319908499718,0,2,0
tropical,shortest_path,id_new,,,,,3009013,30,90,3.0,8,0,29,,,1,12.0,12,0.0,0,1,1,1,1,0.02539326623082161,0.028942248784005642,0.001937570981681347,12,0.0,5,5,0.0007949313148856163,0.002732502296566963,1,0,1
tropical,shortest_path,id_new,,,,,3009014,30,90,3.0,9,0,29,,,1,16.0,16,0.0,0,1,1,1,1,0.02236869465559721,0.025861525908112526,0.0018851812928915024,16,0.0,5,5,0.0007440503686666489,0.0026292316615581512,1,0,1
tropical,shortest_path,id_new,,,,,3009015,30,90,3.0,10,0,29,,,1,13.0,13,0.0,0,1,1,1,1,0.022867045365273952,0.026349146850407124,0.0019125612452626228,13,0.0,5,5,0.0007055113092064857,0.0026180725544691086,1,0,1
tropical,shortest_path,id_new,,,,,3009016,30,90,3.0,11,0,29,,,1,15.0,15,0.0,0,1,1,1,1,0.022161523811519146,0.025826826691627502,0.0018969504162669182,15,0.0,5,5,0.0007315706461668015,0.0026285210624337196,1,0,1
tropical,shortest_path,id_new,,,,,3009017,30,90,3.0,12,0,29,,,1,2.0,2,0.0,0,1,1,1,1,0.021825804375112057,0.025323186069726944,0.0019501009956002235,2,0.0,5,5,0.0007041106000542641,0.0026542115956544876,1,0,1
tropical,shortest_path,id_new,,,,,3009018,30,90,3.0,13,0,29,,,1,21.0,21,0.0,0,1,1,1,1,0.021169942803680897,0.02457012515515089,0.001862931065261364,21,0.0,5,5,0.0007708100602030754,0.0026337411254644394,1,0,1
tropical,shortest_path,id_new,,,,,3009019,30,90,3.0,14,0,29,,,1,24.0,24,0.0,2,0,0,1,1,0.02280261367559433,0.026272526010870934,0.001866951584815979,24,0.0,5,5,0.000875251367688179,0.002742202952504158,0,2,0
tropical,shortest_path,id_new,,,,,3009020,30,90,3.0,15,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.0240649851039052,0.027518327347934246,0.001919921487569809,18,0.0,5,5,0.0007888907566666603,0.0027088122442364693,1,0,1
