model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
tropical,shortest_path,ood_size,10025005,100,250,2.5,0,1,13.0,13,0.0,0,1,1,1,1,0.0602772650308907,0.08524096291512251,0.17439454700797796
tropical,shortest_path,ood_size,10025006,100,250,2.5,1,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.06600127508863807,0.07181969517841935,0.0024403599090874195
tropical,shortest_path,ood_size,10025007,100,250,2.5,2,1,22.0,22,0.0,0,1,1,1,1,0.05137484613806009,0.05701899575069547,0.00239846995100379
tropical,shortest_path,ood_size,10025008,100,250,2.5,3,1,20.0,20,0.0,0,1,1,1,1,0.07576969498768449,0.08137369388714433,0.0024884589947760105
tropical,shortest_path,ood_size,10025009,100,250,2.5,4,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.0505097359418869,0.05619540624320507,0.002334000077098608
tropical,shortest_path,ood_size,10025010,100,250,2.5,5,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.06490240478888154,0.07051968481391668,0.0023562400601804256
tropical,shortest_path,ood_size,10025011,100,250,2.5,6,1,15.0,15,0.0,0,1,1,1,1,0.05497981607913971,0.060706166084855795,0.002338569611310959
tropical,shortest_path,ood_size,10025012,100,250,2.5,7,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.06576486490666866,0.07141376473009586,0.0023592300713062286
tropical,shortest_path,ood_size,10025013,100,250,2.5,8,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.4342470788396895,0.43983792793005705,0.002396760042756796
tropical,shortest_path,ood_size,10025014,100,250,2.5,9,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.40185948088765144,0.40751734003424644,0.0023761396296322346
tropical,shortest_path,ood_size,10025015,100,250,2.5,10,1,24.0,24,0.0,0,1,1,1,1,0.2892302987165749,0.2948981490917504,0.0023802900686860085
tropical,shortest_path,ood_size,10025016,100,250,2.5,11,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.03948874678462744,0.04513729689642787,0.0023313090205192566
tropical,shortest_path,ood_size,10025017,100,250,2.5,12,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.039426157251000404,0.04498589690774679,0.0022988589480519295
tropical,shortest_path,ood_size,10025018,100,250,2.5,13,1,30.0,30,0.0,0,1,1,1,1,0.4061518800444901,0.41188357025384903,0.0023987703025341034
tropical,shortest_path,ood_size,10025019,100,250,2.5,14,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.03755737701430917,0.04326723702251911,0.002299200277775526
tropical,shortest_path,ood_size,10025020,100,250,2.5,15,1,24.0,24,0.0,0,1,1,1,1,0.3636349639855325,0.3692472130060196,0.0023883390240371227
tropical,shortest_path,ood_size,10025021,100,250,2.5,16,1,20.0,17,0.15,2,0,0,1,1,0.06801879499107599,0.07368312496691942,0.002349419053643942
tropical,shortest_path,ood_size,10025022,100,250,2.5,17,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.06378786498680711,0.06943937530741096,0.002343629952520132
tropical,shortest_path,ood_size,10025023,100,250,2.5,18,1,36.0,27,0.25,2,0,0,1,1,0.034925656858831644,0.04056578688323498,0.0023208698257803917
tropical,shortest_path,ood_size,10025024,100,250,2.5,19,1,31.0,31,0.0,0,1,1,1,1,0.06069574598222971,0.06630824506282806,0.002342329826205969
tropical,shortest_path,ood_size,10040005,100,400,4.0,0,1,22.0,16,0.2727272727272727,2,0,0,1,1,0.10162079194560647,0.10985353169962764,0.00372104998677969
tropical,shortest_path,ood_size,10040006,100,400,4.0,1,1,15.0,15,0.0,2,0,0,1,1,0.111448441632092,0.11988816177472472,0.0024343300610780716
tropical,shortest_path,ood_size,10040007,100,400,4.0,2,1,19.0,16,0.15789473684210525,2,0,0,1,1,0.1227152906358242,0.1310552000068128,0.0024583698250353336
