model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
tropical,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.18773942440748215,0.19713745452463627,0.17932339292019606
tropical,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04288159217685461,0.04988944064825773,0.0024163005873560905
tropical,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.046321927569806576,0.053345886059105396,0.0022010905668139458
tropical,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.04238962288945913,0.04916308354586363,0.0021160999312996864
tropical,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.043301439844071865,0.05034040845930576,0.0020957309752702713
tropical,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05626313295215368,0.06323282234370708,0.002121010795235634
tropical,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041703847236931324,0.049717712216079235,0.0021351808682084084
tropical,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04186274576932192,0.048802766017615795,0.002076871693134308
tropical,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04422719683498144,0.05238062050193548,0.00212716031819582
tropical,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04254845343530178,0.04948072228580713,0.002110760658979416
tropical,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.0433643888682127,0.050394718535244465,0.0020918510854244232
tropical,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.04098364058881998,0.04886529594659805,0.002108111046254635
tropical,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04403632692992687,0.0509890653192997,0.00210576131939888
tropical,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.044681583531200886,0.05308509711176157,0.002162669785320759
tropical,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.04712767340242863,0.054242271929979324,0.002120189368724823
tropical,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04560443013906479,0.052923607639968395,0.002128920517861843
tropical,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,19,0.05,2,0,0,1,1,0.05679106153547764,0.06503790523856878,0.0021660216152668
tropical,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.046083017252385616,0.053386885672807693,0.0021152114495635033
tropical,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.043178459629416466,0.051649454049766064,0.0021031107753515244
tropical,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.045755209401249886,0.05291571654379368,0.002103951759636402
tropical,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.05158472340553999,0.06003826577216387,0.0029633864760398865
tropical,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.056328522972762585,0.06555617228150368,0.0022042905911803246
tropical,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,22,0.0,0,1,1,1,1,0.05879407189786434,0.06747086253017187,0.002167370170354843
tropical,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.05779923591762781,0.06638205889612436,0.0021749399602413177
tropical,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.05977718811482191,0.06956207472831011,0.0024568792432546616
tropical,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.0753833893686533,0.08415254950523376,0.002215661108493805
tropical,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,11,0.2666666666666668,2,0,0,1,1,0.0628217551857233,0.0715119056403637,0.0021932898089289665
tropical,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05951959919184446,0.0691432561725378,0.0021916916593909264
tropical,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.06294899340718985,0.07153355609625578,0.002215140499174595
tropical,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06754767335951328,0.07602585665881634,0.0022342195734381676
tropical,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,24,0.0,0,1,1,1,1,0.06281543429940939,0.07228180207312107,0.002187470905482769
tropical,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.05396144278347492,0.06258237455040216,0.002167770639061928
tropical,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.07264839112758636,0.08115548267960548,0.0022272197529673576
tropical,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,30,0.0,0,1,1,1,1,0.07512723002582788,0.08484244626015425,0.002270020544528961
tropical,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.0643458366394043,0.07293888926506042,0.0025260290130972862
tropical,shortest_path,ood_size,,,10025020,100,250,2.5,15,0,99,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.061762998811900616,0.07027630135416985,0.002222069539129734
tropical,shortest_path,ood_size,,,10025021,100,250,2.5,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05900660157203674,0.06851209048181772,0.002190250903367996
tropical,shortest_path,ood_size,,,10025022,100,250,2.5,17,0,99,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.06320612132549286,0.07179367542266846,0.0022072000429034233
tropical,shortest_path,ood_size,,,10025023,100,250,2.5,18,0,99,1,36.0,27,0.25,2,0,0,1,1,0.05366449523717165,0.06238499563187361,0.0021729199215769768
tropical,shortest_path,ood_size,,,10025024,100,250,2.5,19,0,99,1,31.0,31,0.0,0,1,1,1,1,0.05712287873029709,0.06672881729900837,0.0021858997642993927
tropical,shortest_path,ood_size,,,10030005,100,300,3.0,0,0,99,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.06901457719504833,0.08014555834233761,0.0030959565192461014
tropical,shortest_path,ood_size,,,10030006,100,300,3.0,1,0,99,1,24.0,18,0.25,2,0,0,1,1,0.06802162155508995,0.07775258738547564,0.0022678300738334656
tropical,shortest_path,ood_size,,,10030007,100,300,3.0,2,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.1026769494637847,0.11283117439597845,0.0023038694635033607
tropical,shortest_path,ood_size,,,10030008,100,300,3.0,3,0,99,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.3326856503263116,0.3423645868897438,0.0023976294323801994
tropical,shortest_path,ood_size,,,10030009,100,300,3.0,4,0,99,1,50.0,49,0.02,2,0,0,1,1,0.06748621258884668,0.07723224256187677,0.0022098999470472336
tropical,shortest_path,ood_size,,,10030010,100,300,3.0,5,0,99,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.07390678580850363,0.08379214350134134,0.002231130376458168
tropical,shortest_path,ood_size,,,10030011,100,300,3.0,6,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.07055103033781052,0.08066461607813835,0.0022071804851293564
tropical,shortest_path,ood_size,,,10030012,100,300,3.0,7,0,99,1,26.0,17,0.34615384615384615,2,0,0,1,1,0.07393919583410025,0.08396864123642445,0.0022305017337203026
tropical,shortest_path,ood_size,,,10030013,100,300,3.0,8,0,99,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.06816671043634415,0.07809072732925415,0.0022024400532245636
tropical,shortest_path,ood_size,,,10030014,100,300,3.0,9,0,99,1,40.00000000000001,40,1.77635683940025e-16,2,0,0,1,1,0.1082107350230217,0.11822084058076143,0.00229744054377079
tropical,shortest_path,ood_size,,,10030015,100,300,3.0,10,0,99,1,21.0,15,0.2857142857142857,2,0,0,1,1,0.07334529794752598,0.08332129381597042,0.0022315997630357742
tropical,shortest_path,ood_size,,,10030016,100,300,3.0,11,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.08222468849271536,0.09198987670242786,0.0023245783522725105
tropical,shortest_path,ood_size,,,10030017,100,300,3.0,12,0,99,1,25.0,20,0.2,2,0,0,1,1,0.09425811655819416,0.10402598325163126,0.0022751400247216225
tropical,shortest_path,ood_size,,,10030018,100,300,3.0,13,0,99,1,51.0,43,0.1568627450980392,2,0,0,1,1,0.07004195265471935,0.07993635814636946,0.0022303303703665733
tropical,shortest_path,ood_size,,,10030019,100,300,3.0,14,0,99,1,18.0,18,0.0,0,1,1,1,1,0.0642277579754591,0.07400996517390013,0.002265789546072483
tropical,shortest_path,ood_size,,,10030020,100,300,3.0,15,0,99,1,16.0,8,0.5,2,0,0,1,1,0.07530954014509916,0.08498836681246758,0.002216750755906105
tropical,shortest_path,ood_size,,,10030021,100,300,3.0,16,0,99,1,27.0,25,0.07407407407407407,2,0,0,1,1,0.07165548577904701,0.0816348111256957,0.0022195307537913322
tropical,shortest_path,ood_size,,,10030022,100,300,3.0,17,0,99,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.09741744212806225,0.10739079862833023,0.002265079878270626
tropical,shortest_path,ood_size,,,10030023,100,300,3.0,18,0,99,1,20.0,15,0.25,2,0,0,1,1,0.06677762698382139,0.07673351280391216,0.002206060104072094
tropical,shortest_path,ood_size,,,10030024,100,300,3.0,19,0,99,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.0747532919049263,0.08465672750025988,0.006614900194108486
