model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,ood_size,,,,,10020005,100,200,2.0,0,0,99,,,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.18129942286759615,0.19087719917297363,0.1885764067992568,53,0.07017543859649122,5,5,0.014275849796831608,0.2028522565960884,0,2,0
tropical,shortest_path,ood_size,,,,,10020006,100,200,2.0,1,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.04314472712576389,0.05096951127052307,0.002393122762441635,18,0.0,5,5,0.001955261453986168,0.004348384216427803,1,0,1
tropical,shortest_path,ood_size,,,,,10020007,100,200,2.0,2,0,99,,,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.047317950055003166,0.0540232639759779,0.0022856518626213074,35,0.0,5,5,0.002276490442454815,0.004562142305076122,1,0,1
tropical,shortest_path,ood_size,,,,,10020008,100,200,2.0,3,0,99,,,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04312796704471111,0.049892581067979336,0.0022762417793273926,36,0.05263157894736842,5,5,0.0020197806879878044,0.004296022467315197,0,2,0
tropical,shortest_path,ood_size,,,,,10020009,100,200,2.0,4,0,99,,,1,28.0,28,0.0,0,1,1,1,1,0.04299331642687321,0.05057025235146284,0.0022285617887973785,28,0.0,5,5,0.0018051713705062866,0.004033733159303665,1,0,1
tropical,shortest_path,ood_size,,,,,10020010,100,200,2.0,5,0,99,,,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.057641515508294106,0.06435908004641533,0.0023054303601384163,34,0.0,5,5,0.0022947024554014206,0.004600132815539837,1,0,1
tropical,shortest_path,ood_size,,,,,10020011,100,200,2.0,6,0,99,,,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.042616636492311954,0.05044972151517868,0.0022077923640608788,33,0.0,5,5,0.0019643614068627357,0.0041721537709236145,1,0,1
tropical,shortest_path,ood_size,,,,,10020012,100,200,2.0,7,0,99,,,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04376479797065258,0.050443852320313454,0.002246241085231304,19,0.0,5,5,0.001761571504175663,0.004007812589406967,1,0,1
tropical,shortest_path,ood_size,,,,,10020013,100,200,2.0,8,0,99,,,1,47.0,47,0.0,2,0,0,1,1,0.045005218125879765,0.051957691088318825,0.00228866096585989,47,0.0,5,5,0.0021949922665953636,0.004483653232455254,0,2,0
tropical,shortest_path,ood_size,,,,,10020014,100,200,2.0,9,0,99,,,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04225883539766073,0.049937901087105274,0.002258380874991417,29,0.0,5,5,0.001986880786716938,0.004245261661708355,1,0,1
tropical,shortest_path,ood_size,,,,,10020015,100,200,2.0,10,0,99,,,1,21.0,21,0.0,0,1,1,1,1,0.0444596977904439,0.05129235237836838,0.002185862511396408,21,0.0,5,5,0.0017845313996076584,0.0039703939110040665,1,0,1
tropical,shortest_path,ood_size,,,,,10020016,100,200,2.0,11,0,99,,,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04268742632120848,0.05055893212556839,0.0022358009591698647,41,0.0,5,5,0.0021728910505771637,0.004408692009747028,1,0,1
tropical,shortest_path,ood_size,,,,,10020017,100,200,2.0,12,0,99,,,1,40.0,30,0.25,2,0,0,1,1,0.04563995823264122,0.05218615289777517,0.002244480885565281,37,0.075,5,5,0.0019041206687688828,0.004148601554334164,0,2,0
tropical,shortest_path,ood_size,,,,,10020018,100,200,2.0,13,0,99,,,1,40.0,40,0.0,0,1,1,1,1,0.0443351985886693,0.051118611358106136,0.002269362099468708,40,0.0,5,5,0.0019477810710668564,0.004217143170535564,1,0,1
tropical,shortest_path,ood_size,,,,,10020019,100,200,2.0,14,0,99,,,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.0444630878046155,0.05217925272881985,0.002247071824967861,31,0.0,5,5,0.002057231031358242,0.004304302856326103,1,0,1
tropical,shortest_path,ood_size,,,,,10020020,100,200,2.0,15,0,99,,,1,52.0,52,0.0,2,0,0,1,1,0.04434727691113949,0.05105613172054291,0.002320552244782448,52,0.0,5,5,0.002082621678709984,0.004403173923492432,0,2,0
tropical,shortest_path,ood_size,,,,,10020021,100,200,2.0,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.05502662435173988,0.06296296045184135,0.002304750494658947,20,0.0,5,5,0.002241182141005993,0.00454593263566494,1,0,1
tropical,shortest_path,ood_size,,,,,10020022,100,200,2.0,17,0,99,,,1,5.0,5,0.0,0,1,1,1,1,0.04505082778632641,0.05169943254441023,0.0023134415969252586,5,0.0,5,5,0.0016431408002972603,0.003956582397222519,1,0,1
tropical,shortest_path,ood_size,,,,,10020023,100,200,2.0,18,0,99,,,1,17.0,17,0.0,0,1,1,1,1,0.041595625691115856,0.04847308062016964,0.002192780375480652,17,0.0,5,5,0.001844070851802826,0.004036851227283478,1,0,1
tropical,shortest_path,ood_size,,,,,10020024,100,200,2.0,19,0,99,,,1,40.0,36,0.1,2,0,0,1,1,0.04330408666282892,0.050948381423950195,0.002227921038866043,36,0.1,5,5,0.002301321364939213,0.004529242403805256,0,2,0
tropical,shortest_path,ood_size,,,,,10025005,100,250,2.5,0,0,99,,,1,13.0,13,0.0,0,1,1,1,1,0.05126744136214256,0.059188286773860455,0.0031811119988560677,13,0.0,5,5,0.002013501711189747,0.0051946137100458145,1,0,1
tropical,shortest_path,ood_size,,,,,10025006,100,250,2.5,1,0,99,,,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05489618331193924,0.06293269898742437,0.0023206407204270363,31,0.06060606060606061,5,5,0.0026481319218873978,0.004968772642314434,0,2,0
tropical,shortest_path,ood_size,,,,,10025007,100,250,2.5,2,0,99,,,1,22.0,22,0.0,0,1,1,1,1,0.05539264529943466,0.06396062951534986,0.0023094210773706436,22,0.0,5,5,0.0024384818971157074,0.004747902974486351,1,0,1
tropical,shortest_path,ood_size,,,,,10025008,100,250,2.5,3,0,99,,,1,20.0,20,0.0,2,0,0,1,1,0.05627152509987354,0.06417347956448793,0.0023619718849658966,20,0.0,5,5,0.0024314410984516144,0.004793412983417511,0,2,0
tropical,shortest_path,ood_size,,,,,10025009,100,250,2.5,4,0,99,,,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.0518463933840394,0.05975796654820442,0.002268422394990921,31,0.08823529411764706,5,5,0.002246001735329628,0.004514424130320549,0,2,0
tropical,shortest_path,ood_size,,,,,10025010,100,250,2.5,5,0,99,,,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.08136615063995123,0.08932516537606716,0.0024845516309142113,26,0.0,5,5,0.0023962510749697685,0.00488080270588398,0,2,0
tropical,shortest_path,ood_size,,,,,10025011,100,250,2.5,6,0,99,,,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.06079556792974472,0.06878120265901089,0.0022697215899825096,15,1.1842378929335e-16,5,5,0.002299591898918152,0.0045693134889006615,1,0,1
tropical,shortest_path,ood_size,,,,,10025012,100,250,2.5,7,0,99,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.05811480525881052,0.06598481070250273,0.0023009618744254112,11,0.0,5,5,0.0031914720311760902,0.0054924339056015015,1,0,1
tropical,shortest_path,ood_size,,,,,10025013,100,250,2.5,8,0,99,,,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05955137778073549,0.0671555818989873,0.0022695213556289673,22,0.0,5,5,0.0025657424703240395,0.004835263825953007,0,2,0
tropical,shortest_path,ood_size,,,,,10025014,100,250,2.5,9,0,99,,,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06436085049062967,0.07339402567595243,0.0023087216541171074,29,0.0,5,5,0.0025865714997053146,0.004895293153822422,1,0,1
tropical,shortest_path,ood_size,,,,,10025015,100,250,2.5,10,0,99,,,1,24.0,24,0.0,2,0,0,1,1,0.062346029095351696,0.07019765395671129,0.0023713409900665283,24,0.0,5,5,0.002437521703541279,0.004808862693607807,0,2,0
tropical,shortest_path,ood_size,,,,,10025016,100,250,2.5,11,0,99,,,1,14.0,11,0.21428571428571427,2,0,0,1,1,0.05116346199065447,0.059076917357742786,0.0022802110761404037,11,0.21428571428571427,5,5,0.003106561489403248,0.005386772565543652,0,2,0
tropical,shortest_path,ood_size,,,,,10025017,100,250,2.5,12,0,99,,,1,38.0,38,0.0,0,1,1,1,1,0.07017257437109947,0.07785759773105383,0.0023112809285521507,38,0.0,5,5,0.002415652386844158,0.004726933315396309,1,0,1
tropical,shortest_path,ood_size,,,,,10025018,100,250,2.5,13,0,99,,,1,30.0,29,0.03333333333333333,2,0,0,1,1,0.07274855673313141,0.08177869021892548,0.0022997623309493065,30,0.0,5,5,0.0026549817994236946,0.004954744130373001,1,0,1
tropical,shortest_path,ood_size,,,,,10025019,100,250,2.5,14,0,99,,,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.38321781903505325,0.39108242467045784,0.002536221407353878,45,0.0,5,5,0.002698982134461403,0.005235203541815281,1,0,1
tropical,shortest_path,ood_size,,,,,10025020,100,250,2.5,15,0,99,,,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.06064668856561184,0.06856435164809227,0.0023102611303329468,24,0.0,5,5,0.003531811758875847,0.005842072889208794,0,2,0
tropical,shortest_path,ood_size,,,,,10025021,100,250,2.5,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.05794911552220583,0.0657672006636858,0.0023628100752830505,17,0.15,5,5,0.0021563908085227013,0.004519200883805752,0,2,0
tropical,shortest_path,ood_size,,,,,10025022,100,250,2.5,17,0,99,,,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.06070968694984913,0.06972209457308054,0.002266990952193737,43,0.0,5,5,0.0021145716309547424,0.0043815625831484795,1,0,1
tropical,shortest_path,ood_size,,,,,10025023,100,250,2.5,18,0,99,,,1,36.0,27,0.25,2,0,0,1,1,0.05220420192927122,0.05992112774401903,0.0022536003962159157,31,0.1388888888888889,5,5,0.002373010851442814,0.0046266112476587296,0,2,0
tropical,shortest_path,ood_size,,,,,10025024,100,250,2.5,19,0,99,,,1,31.0,31,0.0,0,1,1,1,1,0.055421583354473114,0.06318764016032219,0.002334381453692913,31,0.0,5,5,0.0032865218818187714,0.005620903335511684,1,0,1
