model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.16169846523553133,0.17045139893889427,0.17017337027937174,53,0.07017543859649122,4,4,0.013832242228090763,0.1840056125074625,0,2,0
tropical,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04371942766010761,0.05073030851781368,0.002391689456999302,18,0.0,4,4,0.001560823991894722,0.003952513448894024,1,0,1
tropical,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04619504697620869,0.052903419360518456,0.002197621390223503,35,0.0,4,4,0.0027245385572314262,0.004922159947454929,1,0,1
tropical,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04264840204268694,0.04916556552052498,0.002187649719417095,35,0.07894736842105263,4,4,0.0016698231920599937,0.003857472911477089,0,2,0
tropical,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,21,0.25,2,0,0,1,1,0.044114685617387295,0.050820077769458294,0.0022205710411071777,28,0.0,4,4,0.001512862741947174,0.003733433783054352,1,0,1
tropical,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05772831849753857,0.06449702102690935,0.0022625215351581573,34,0.0,4,4,0.001789592206478119,0.004052113741636276,1,0,1
tropical,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04320203885436058,0.05092263873666525,0.002173950895667076,33,0.0,4,4,0.0015382226556539536,0.0037121735513210297,1,0,1
tropical,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.041961864568293095,0.04857458733022213,0.002190321683883667,19,0.0,4,4,0.0013889241963624954,0.0035792458802461624,1,0,1
tropical,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.044727012515068054,0.0526390103623271,0.0022063814103603363,47,0.0,4,4,0.0018215635791420937,0.00402794498950243,0,2,0
tropical,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.043455127626657486,0.05008765123784542,0.00222708098590374,29,0.0,4,4,0.0015472546219825745,0.0037743356078863144,1,0,1
tropical,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,12,0.42857142857142855,2,0,0,1,1,0.04477819334715605,0.051479085348546505,0.002172260545194149,21,0.0,4,4,0.0014147544279694557,0.0035870149731636047,1,0,1
tropical,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.041673606261610985,0.04937443416565657,0.0022176001220941544,41,0.0,4,4,0.001741332933306694,0.003958933055400848,1,0,1
tropical,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.044757572934031487,0.05147840455174446,0.0021949615329504013,37,0.075,4,4,0.001561913639307022,0.0037568751722574234,0,2,0
tropical,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04293080046772957,0.05088025704026222,0.0022078407928347588,40,0.0,4,4,0.0015887627378106117,0.0037966035306453705,1,0,1
tropical,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04449720401316881,0.051107787527143955,0.0022044405341148376,31,0.0,4,4,0.0016204332932829857,0.0038248738273978233,1,0,1
tropical,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04339805897325277,0.05012816097587347,0.0022668112069368362,52,0.0,4,4,0.0016989326104521751,0.003965743817389011,0,2,0
tropical,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05426964443176985,0.061825571581721306,0.0022300006821751595,20,0.0,4,4,0.0017460230737924576,0.003976023755967617,1,0,1
tropical,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.044075336307287216,0.05070827808231115,0.0021766507998108864,5,0.0,4,4,0.0014068232849240303,0.0035834740847349167,1,0,1
tropical,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.041434126906096935,0.049370624125003815,0.0021880101412534714,17,0.0,4,4,0.00148103479295969,0.0036690449342131615,1,0,1
