model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.17854057904332876,0.18724877201020718,0.16788653377443552,53,0.07017543859649122,5,5,0.013849280774593353,0.18173581454902887,0,2,0
tropical,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04288190882652998,0.04987494833767414,0.002371540293097496,18,0.0,5,5,0.001861572265625,0.004233112558722496,1,0,1
tropical,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04528743773698807,0.05194036848843098,0.0022041993215680122,35,0.0,5,5,0.0030488865450024605,0.005253085866570473,1,0,1
tropical,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.041626131162047386,0.04800860583782196,0.0021384311839938164,35,0.07894736842105263,5,5,0.0020355405285954475,0.004173971712589264,0,2,0
tropical,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,21,0.25,2,0,0,1,1,0.0428471677005291,0.04949348885565996,0.0021497514098882675,28,0.0,5,5,0.0017338525503873825,0.00388360396027565,1,0,1
tropical,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.055497183464467525,0.062104965560138226,0.0021669901907444,34,0.0,5,5,0.0021590804681181908,0.004326070658862591,1,0,1
tropical,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04127815458923578,0.048859262838959694,0.002168731763958931,33,0.0,5,5,0.0018541719764471054,0.004022903740406036,1,0,1
tropical,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04133286327123642,0.0479391859844327,0.00216464139521122,19,0.0,5,5,0.0016881311312317848,0.0038527725264430046,1,0,1
tropical,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04357719421386719,0.05139159131795168,0.0021849311888217926,47,0.0,5,5,0.002204420045018196,0.004389351233839989,0,2,0
tropical,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04193466156721115,0.04844144359230995,0.0021732402965426445,29,0.0,5,5,0.0019184611737728119,0.004091701470315456,1,0,1
tropical,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,12,0.42857142857142855,2,0,0,1,1,0.04290622752159834,0.049612377770245075,0.002162160351872444,21,0.0,5,5,0.001735982485115528,0.0038981428369879723,1,0,1
tropical,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04055199772119522,0.048113844357430935,0.002158891409635544,41,0.0,5,5,0.002107241190969944,0.004266132600605488,1,0,1
tropical,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04326844587922096,0.04981673788279295,0.0021654311567544937,37,0.075,5,5,0.0018562627956271172,0.004021693952381611,0,2,0
tropical,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.0420600101351738,0.049800788052380085,0.0021963315084576607,40,0.0,5,5,0.0018719825893640518,0.0040683140978217125,1,0,1
tropical,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04420928284525871,0.05083094350993633,0.0022005094215273857,31,0.0,5,5,0.0019845208153128624,0.004185030236840248,1,0,1
tropical,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.042752658016979694,0.04939326923340559,0.002202371135354042,52,0.0,5,5,0.002056271769106388,0.00425864290446043,0,2,0
tropical,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05322070326656103,0.06074198056012392,0.0022272802889347076,20,0.0,5,5,0.002130621112883091,0.004357901401817799,1,0,1
