model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.16162060853093863,0.17047912813723087,0.1712401546537876,53,0.07017543859649122,5,5,0.014262654818594456,0.18550280947238207,0,2,0
tropical,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04345046915113926,0.0507930563762784,0.0027226172387599945,18,0.0,5,5,0.001942540518939495,0.00466515775769949,1,0,1
tropical,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.045578391291201115,0.05225485097616911,0.00222637876868248,35,0.0,5,5,0.003125375136733055,0.005351753905415535,1,0,1
tropical,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04197500832378864,0.04842666815966368,0.0021781399846076965,36,0.05263157894736842,5,5,0.002091950736939907,0.004270090721547604,0,2,0
tropical,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,18,0.35714285714285715,2,0,0,1,1,0.04326212219893932,0.050045560114085674,0.0021785497665405273,28,0.0,5,5,0.0018056416884064674,0.003984191454946995,1,0,1
tropical,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05597583390772343,0.06264454312622547,0.0022253403440117836,34,0.0,5,5,0.0022324398159980774,0.004457780160009861,1,0,1
tropical,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.0412416011095047,0.048905935138463974,0.0021992092952132225,33,0.0,5,5,0.001899811439216137,0.0040990207344293594,1,0,1
tropical,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04136701952666044,0.04801736958324909,0.002144729718565941,19,0.0,5,5,0.0017452314496040344,0.0038899611681699753,1,0,1
tropical,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04379473906010389,0.05165115371346474,0.002215989865362644,47,0.0,5,5,0.0022779488936066628,0.004493938758969307,0,2,0
tropical,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04222378600388765,0.0488191656768322,0.0021768491715192795,29,0.0,5,5,0.001964930444955826,0.004141779616475105,1,0,1
tropical,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04315964225679636,0.049933530390262604,0.0021765101701021194,21,0.0,5,5,0.0018088612705469131,0.003985371440649033,1,0,1
tropical,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04070217255502939,0.04834903869777918,0.0021787695586681366,41,0.0,5,5,0.002153320237994194,0.004332089796662331,1,0,1
tropical,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,35,0.125,2,0,0,1,1,0.04345998074859381,0.050072009675204754,0.0021939296275377274,37,0.075,5,5,0.0018937205895781517,0.004087650217115879,0,2,0
tropical,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04219493642449379,0.050047519616782665,0.002213580533862114,40,0.0,5,5,0.0019125612452626228,0.004126141779124737,1,0,1
tropical,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.0440894765779376,0.05077578779309988,0.002205350436270237,31,0.0,5,5,0.0020457804203033447,0.004251130856573582,1,0,1
tropical,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04295949265360832,0.04970229137688875,0.002209269441664219,52,0.0,5,5,0.002131420187652111,0.00434068962931633,0,2,0
tropical,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.0533180246129632,0.060922710224986076,0.0022301189601421356,20,0.0,5,5,0.0021825702860951424,0.004412689246237278,1,0,1
