model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.17477221507579088,0.18349611293524504,0.1900502098724246,53,0.07017543859649122,4,4,0.01391415111720562,0.20396436098963022,0,2,0
tropical,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.043720543384552,0.050926207564771175,0.00279251579195261,18,0.0,4,4,0.0015448816120624542,0.004337397404015064,1,0,1
tropical,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,27,0.22857142857142856,2,0,0,1,1,0.04615068156272173,0.052812788635492325,0.002227379009127617,34,0.02857142857142857,4,4,0.002664417028427124,0.004891796037554741,0,2,0
tropical,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.042025032453238964,0.0484299398958683,0.0021614190191030502,36,0.05263157894736842,4,4,0.0016716914251446724,0.0038331104442477226,0,2,0
tropical,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,21,0.25,2,0,0,1,1,0.04327038675546646,0.04995011258870363,0.0021623997017741203,28,0.0,4,4,0.0014204736799001694,0.0035828733816742897,1,0,1
tropical,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05609193164855242,0.0627132598310709,0.002211988903582096,34,0.0,4,4,0.0017971014603972435,0.00400909036397934,1,0,1
tropical,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04170512314885855,0.049285096116364,0.002174149267375469,32,0.030303030303030304,4,4,0.0015079723671078682,0.0036821216344833374,0,2,0
tropical,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04176281299442053,0.048390031792223454,0.002177278511226177,19,0.0,4,4,0.0014029936864972115,0.0035802721977233887,1,0,1
tropical,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.044085562229156494,0.05193053279072046,0.002195330336689949,47,0.0,4,4,0.0018154904246330261,0.004010820761322975,0,2,0
tropical,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.042816027998924255,0.04944641515612602,0.002156199887394905,27,0.06896551724137931,4,4,0.0015065735206007957,0.003662773407995701,0,2,0
tropical,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04319318663328886,0.049982812255620956,0.002129138447344303,21,0.0,4,4,0.0014119725674390793,0.0035411110147833824,1,0,1
tropical,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04088137671351433,0.048451609909534454,0.0021760882809758186,41,0.0,4,4,0.0017466507852077484,0.003922739066183567,1,0,1
tropical,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04401187226176262,0.050631389021873474,0.0021707890555262566,37,0.075,4,4,0.0015330919995903969,0.0037038810551166534,0,2,0
tropical,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04238475952297449,0.05018077231943607,0.0022076591849327087,40,0.0,4,4,0.0015380317345261574,0.003745690919458866,1,0,1
tropical,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04457470960915089,0.05128439608961344,0.002223338931798935,31,0.0,4,4,0.0016308212652802467,0.0038541601970791817,1,0,1
tropical,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.043706463649868965,0.05046478100121021,0.0022007394582033157,52,0.0,4,4,0.0016699610278010368,0.0038707004860043526,0,2,0
tropical,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05378282442688942,0.061317007057368755,0.00222844909876585,20,0.0,4,4,0.001755381003022194,0.003983830101788044,1,0,1
tropical,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04366115480661392,0.0502416817471385,0.002143898978829384,5,0.0,4,4,0.0013586143031716347,0.0035025132820010185,1,0,1
