model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.17077173944562674,0.1794497212395072,0.17123379837721586,53,0.07017543859649122,5,5,0.013168931938707829,0.1844027303159237,0,2,0
tropical,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.043065087869763374,0.049991956911981106,0.002379058860242367,18,0.0,5,5,0.0018677515909075737,0.0042468104511499405,1,0,1
tropical,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,27,0.22857142857142856,2,0,0,1,1,0.04523578938096762,0.051869398914277554,0.0021937303245067596,35,0.0,5,5,0.0030326256528496742,0.005226355977356434,1,0,1
tropical,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04153146501630545,0.047842186875641346,0.0021661100909113884,36,0.05263157894736842,5,5,0.002034410834312439,0.004200520925223827,0,2,0
tropical,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,21,0.25,2,0,0,1,1,0.04285154864192009,0.04942553024739027,0.0021867500618100166,28,0.0,5,5,0.001745801419019699,0.003932551480829716,1,0,1
tropical,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05672918725758791,0.06336691789329052,0.0021874699741601944,34,0.0,5,5,0.0021571898832917213,0.004344659857451916,1,0,1
tropical,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04112894553691149,0.04869430232793093,0.0022234804928302765,32,0.030303030303030304,5,5,0.0018169116228818893,0.004040392115712166,0,2,0
tropical,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.041327446699142456,0.04790653754025698,0.002197209745645523,19,0.0,5,5,0.001681712456047535,0.003878922201693058,1,0,1
tropical,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04359516594558954,0.051307120360434055,0.0022270502522587776,47,0.0,5,5,0.002201789990067482,0.00442884024232626,0,2,0
tropical,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04216111171990633,0.04864657297730446,0.002196339890360832,29,0.0,5,5,0.0019006617367267609,0.004097001627087593,1,0,1
tropical,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04290273878723383,0.04950351919978857,0.002187030389904976,21,0.0,5,5,0.0017314720898866653,0.003918502479791641,1,0,1
tropical,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04072907939553261,0.04823423456400633,0.002207220532000065,41,0.0,5,5,0.0021076202392578125,0.004314840771257877,1,0,1
tropical,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04344850592315197,0.04997951630502939,0.002184201031923294,37,0.075,5,5,0.0018453123047947884,0.004029513336718082,0,2,0
tropical,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.041969253681600094,0.0496918885037303,0.0022125598043203354,40,0.0,5,5,0.0018574325367808342,0.00406999234110117,1,0,1
tropical,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04422568250447512,0.050785062834620476,0.002214849926531315,31,0.0,5,5,0.0019739316776394844,0.004188781604170799,1,0,1
tropical,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04292105883359909,0.04955157823860645,0.0022389497607946396,52,0.0,5,5,0.0020536817610263824,0.004292631521821022,0,2,0
tropical,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05343248229473829,0.06092417798936367,0.002247910015285015,20,0.0,5,5,0.002123751677572727,0.004371661692857742,1,0,1
tropical,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04315172787755728,0.049695578403770924,0.0021782713010907173,5,0.0,5,5,0.001664622686803341,0.0038428939878940582,1,0,1
tropical,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,17,0.0,0,1,1,1,1,0.04045888036489487,0.04825798515230417,0.0022135498002171516,17,0.0,5,5,0.0017731329426169395,0.003986682742834091,1,0,1
tropical,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.0429877582937479,0.049559879116714,0.0021957391873002052,36,0.1,5,5,0.0021575093269348145,0.00435324851423502,0,2,0
tropical,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.04828941449522972,0.05608716979622841,0.0030010659247636795,13,0.0,5,5,0.0019238116219639778,0.004924877546727657,1,0,1
tropical,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05320704262703657,0.06176625471562147,0.0023148199543356895,31,0.06060606060606061,5,5,0.002614198252558708,0.004929018206894398,0,2,0
tropical,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05579257104545832,0.0635652169585228,0.0022804690524935722,22,0.0,5,5,0.0022785402834415436,0.004559009335935116,1,0,1
tropical,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.0543901277706027,0.06479723192751408,0.002709818072617054,20,0.0,5,5,0.002410690300166607,0.005120508372783661,0,2,0
tropical,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.05014330707490444,0.059212067164480686,0.002263389527797699,31,0.08823529411764706,5,5,0.002269260585308075,0.004532650113105774,0,2,0
tropical,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07101442385464907,0.07875660993158817,0.0022797901183366776,25,0.038461538461538464,5,5,0.002208130434155464,0.004487920552492142,0,2,0
tropical,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.058594428934156895,0.06667704321444035,0.0022616200149059296,15,1.1842378929335e-16,5,5,0.0020853010937571526,0.004346921108663082,1,0,1
tropical,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05604272987693548,0.06477694027125835,0.002294289879500866,11,0.0,5,5,0.0021885009482502937,0.00448279082775116,1,0,1
tropical,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05941873509436846,0.06717055104672909,0.002297649160027504,22,0.0,5,5,0.0025010695680975914,0.004798718728125095,0,2,0
tropical,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.06347309704869986,0.07121071312576532,0.002276109531521797,29,0.0,5,5,0.002426168881356716,0.004702278412878513,1,0,1
tropical,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,24,0.0,2,0,0,1,1,0.059170035645365715,0.06792371813207865,0.0022958703339099884,24,0.0,5,5,0.002492888830602169,0.0047887591645121574,0,2,0
tropical,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.05034592468291521,0.05806465074419975,0.0022584199905395508,9,0.35714285714285715,5,5,0.0019698012620210648,0.0042282212525606155,0,2,0
tropical,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.06850256491452456,0.07622243091464043,0.0022824183106422424,38,0.0,5,5,0.0022711800411343575,0.0045535983517766,1,0,1
tropical,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,30,0.0,0,1,1,1,1,0.07038207724690437,0.0791872376576066,0.002276340499520302,30,0.0,5,5,0.0025948481634259224,0.004871188662946224,1,0,1
tropical,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.05780172348022461,0.06550776865333319,0.0022466499358415604,45,0.0,5,5,0.0025557372719049454,0.004802387207746506,1,0,1
tropical,shortest_path,ood_size,,,10025020,100,250,2.5,15,0,99,1,24.0,24,0.0,2,0,0,1,1,0.05816179048269987,0.06580944638699293,0.0022644903510808945,24,0.0,5,5,0.00239631999284029,0.0046608103439211845,0,2,0
tropical,shortest_path,ood_size,,,10025021,100,250,2.5,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.055962580256164074,0.06472120154649019,0.0022803591564297676,20,0.0,5,5,0.002264479175209999,0.004544838331639767,1,0,1
