model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,ood_size,,,,,10020005,100,200,2.0,0,0,99,,,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.16054857429116964,0.17015173006802797,0.19001890253275633,53,0.07017543859649122,5,5,0.01419597864151001,0.20421488117426634,0,2,0
tropical,shortest_path,ood_size,,,,,10020006,100,200,2.0,1,0,99,,,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04203962720930576,0.05000114254653454,0.0024313218891620636,18,0.0,5,5,0.0018458710983395576,0.004277192987501621,1,0,1
tropical,shortest_path,ood_size,,,,,10020007,100,200,2.0,2,0,99,,,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.046059529297053814,0.05283063370734453,0.002267361618578434,34,0.02857142857142857,5,5,0.002277570776641369,0.004544932395219803,0,2,0
tropical,shortest_path,ood_size,,,,,10020008,100,200,2.0,3,0,99,,,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04190698638558388,0.04878722131252289,0.002242020331323147,36,0.05263157894736842,5,5,0.002025442197918892,0.004267462529242039,0,2,0
tropical,shortest_path,ood_size,,,,,10020009,100,200,2.0,4,0,99,,,1,28.0,28,0.0,0,1,1,1,1,0.04241921752691269,0.04991910234093666,0.002195931039750576,28,0.0,5,5,0.001779451034963131,0.003975382074713707,1,0,1
tropical,shortest_path,ood_size,,,,,10020010,100,200,2.0,5,0,99,,,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05669444613158703,0.06348548177629709,0.0022696610540151596,34,0.0,5,5,0.0021668104454874992,0.004436471499502659,1,0,1
tropical,shortest_path,ood_size,,,,,10020011,100,200,2.0,6,0,99,,,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04163198731839657,0.04948743153363466,0.002303832210600376,33,0.0,5,5,0.0018432512879371643,0.0041470834985375404,1,0,1
tropical,shortest_path,ood_size,,,,,10020012,100,200,2.0,7,0,99,,,1,19.0,19,0.0,0,1,1,1,1,0.04241999797523022,0.04908039141446352,0.0022090524435043335,19,0.0,5,5,0.0016897208988666534,0.003898773342370987,1,0,1
tropical,shortest_path,ood_size,,,,,10020013,100,200,2.0,8,0,99,,,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04417241923511028,0.05095828231424093,0.002225501462817192,47,0.0,5,5,0.002229701727628708,0.0044552031904459,0,2,0
tropical,shortest_path,ood_size,,,,,10020014,100,200,2.0,9,0,99,,,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04126512538641691,0.048879312351346016,0.002302151173353195,29,0.0,5,5,0.0019992319867014885,0.004301383160054684,1,0,1
tropical,shortest_path,ood_size,,,,,10020015,100,200,2.0,10,0,99,,,1,21.0,21,0.0,0,1,1,1,1,0.0432716878131032,0.04999046213924885,0.0022297007963061333,21,0.0,5,5,0.0017478205263614655,0.003977521322667599,1,0,1
tropical,shortest_path,ood_size,,,,,10020016,100,200,2.0,11,0,99,,,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04112391732633114,0.04904124140739441,0.0022443607449531555,41,0.0,5,5,0.0021585114300251007,0.004402872174978256,1,0,1
tropical,shortest_path,ood_size,,,,,10020017,100,200,2.0,12,0,99,,,1,40.0,35,0.125,2,0,0,1,1,0.04455620888620615,0.05110783316195011,0.002228721044957638,37,0.075,5,5,0.0018945811316370964,0.004123302176594734,0,2,0
tropical,shortest_path,ood_size,,,,,10020018,100,200,2.0,13,0,99,,,1,40.0,40,0.0,0,1,1,1,1,0.04276949819177389,0.04954921267926693,0.0021822424605488777,40,0.0,5,5,0.0018291212618350983,0.004011363722383976,1,0,1
tropical,shortest_path,ood_size,,,,,10020019,100,200,2.0,14,0,99,,,1,31.0,31,0.0,0,1,1,1,1,0.04338033776730299,0.051060003228485584,0.0022804206237196922,31,0.0,5,5,0.0020355014130473137,0.004315922036767006,1,0,1
tropical,shortest_path,ood_size,,,,,10020020,100,200,2.0,15,0,99,,,1,52.0,52,0.0,2,0,0,1,1,0.048455771058797836,0.055227626115083694,0.0026444122195243835,52,0.0,5,5,0.002282390370965004,0.0049268025904893875,0,2,0
tropical,shortest_path,ood_size,,,,,10020021,100,200,2.0,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.05403634533286095,0.06245010066777468,0.002262490801513195,20,0.0,5,5,0.0021206913515925407,0.004383182153105736,1,0,1
tropical,shortest_path,ood_size,,,,,10020022,100,200,2.0,17,0,99,,,1,5.0,5,0.0,0,1,1,1,1,0.0442765187472105,0.05091426242142916,0.0022993022575974464,5,0.0,5,5,0.0016535604372620583,0.003952862694859505,1,0,1
tropical,shortest_path,ood_size,,,,,10020023,100,200,2.0,18,0,99,,,1,17.0,17,0.0,0,1,1,1,1,0.040711166337132454,0.047564201056957245,0.002212950959801674,17,0.0,5,5,0.0018697110936045647,0.0040826620534062386,1,0,1
tropical,shortest_path,ood_size,,,,,10020024,100,200,2.0,19,0,99,,,1,40.0,36,0.1,2,0,0,1,1,0.04223033785820007,0.04986017197370529,0.0022234320640563965,36,0.1,5,5,0.002250322140753269,0.004473754204809666,0,2,0
tropical,shortest_path,ood_size,,,,,10025005,100,250,2.5,0,0,99,,,1,13.0,13,0.0,0,1,1,1,1,0.049952222034335136,0.05787122715264559,0.003202972002327442,13,0.0,5,5,0.0020971111953258514,0.005300083197653294,1,0,1
tropical,shortest_path,ood_size,,,,,10025006,100,250,2.5,1,0,99,,,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05492026451975107,0.06323002092540264,0.0022858018055558205,31,0.06060606060606061,5,5,0.0026551615446805954,0.004940963350236416,0,2,0
tropical,shortest_path,ood_size,,,,,10025007,100,250,2.5,2,0,99,,,1,22.0,22,0.0,0,1,1,1,1,0.054893504828214645,0.06357602216303349,0.002282151021063328,22,0.0,5,5,0.0023800907656550407,0.0046622417867183685,1,0,1
tropical,shortest_path,ood_size,,,,,10025008,100,250,2.5,3,0,99,,,1,20.0,20,0.0,2,0,0,1,1,0.05554307531565428,0.06357522122561932,0.0022852011024951935,20,0.0,5,5,0.002494530752301216,0.00477973185479641,0,2,0
tropical,shortest_path,ood_size,,,,,10025009,100,250,2.5,4,0,99,,,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.052505613304674625,0.06058831978589296,0.002291632816195488,31,0.08823529411764706,5,5,0.002248680219054222,0.00454031303524971,0,2,0
tropical,shortest_path,ood_size,,,,,10025010,100,250,2.5,5,0,99,,,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07150677591562271,0.07955238129943609,0.0023026522248983383,26,0.0,5,5,0.002277510240674019,0.004580162465572357,0,2,0
tropical,shortest_path,ood_size,,,,,10025011,100,250,2.5,6,0,99,,,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.060200318694114685,0.06924795359373093,0.002511311322450638,15,1.1842378929335e-16,5,5,0.0022565312683582306,0.004767842590808868,1,0,1
tropical,shortest_path,ood_size,,,,,10025012,100,250,2.5,7,0,99,,,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05737725831568241,0.0654360931366682,0.002281821332871914,11,0.0,5,5,0.0031562019139528275,0.005438023246824741,1,0,1
tropical,shortest_path,ood_size,,,,,10025013,100,250,2.5,8,0,99,,,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05848534870892763,0.06622557248920202,0.0023283902555704117,22,0.0,5,5,0.002542661502957344,0.004871051758527756,0,2,0
tropical,shortest_path,ood_size,,,,,10025014,100,250,2.5,9,0,99,,,1,29.0,29,0.0,0,1,1,1,1,0.0634118216112256,0.07239501737058163,0.0022825906053185463,29,0.0,5,5,0.0024972427636384964,0.004779833368957043,1,0,1
tropical,shortest_path,ood_size,,,,,10025015,100,250,2.5,10,0,99,,,1,24.0,24,0.0,2,0,0,1,1,0.061199930496513844,0.06915990449488163,0.002346022054553032,24,0.0,5,5,0.002453140914440155,0.004799162968993187,0,2,0
tropical,shortest_path,ood_size,,,,,10025016,100,250,2.5,11,0,99,,,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.04991427157074213,0.05789085756987333,0.002228730358183384,11,0.21428571428571427,5,5,0.0030325325205922127,0.005261262878775597,0,2,0
tropical,shortest_path,ood_size,,,,,10025017,100,250,2.5,12,0,99,,,1,38.0,38,0.0,0,1,1,1,1,0.06934156455099583,0.0771817285567522,0.002326752059161663,38,0.0,5,5,0.002338421531021595,0.004665173590183258,1,0,1
tropical,shortest_path,ood_size,,,,,10025018,100,250,2.5,13,0,99,,,1,30.0,30,0.0,0,1,1,1,1,0.0715768663212657,0.08085347153246403,0.0023174816742539406,30,0.0,5,5,0.0026207519695162773,0.004938233643770218,1,0,1
tropical,shortest_path,ood_size,,,,,10025019,100,250,2.5,14,0,99,,,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.34993350598961115,0.35799679066985846,0.00278417207300663,45,0.0,5,5,0.0027110017836093903,0.00549517385661602,1,0,1
tropical,shortest_path,ood_size,,,,,10025020,100,250,2.5,15,0,99,,,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.05998226907104254,0.06792700383812189,0.0022865207865834236,24,0.0,5,5,0.0034284424036741257,0.005714963190257549,0,2,0
tropical,shortest_path,ood_size,,,,,10025021,100,250,2.5,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.056596675887703896,0.0645778514444828,0.0023272624239325523,17,0.15,5,5,0.0022351304069161415,0.004562392830848694,0,2,0
tropical,shortest_path,ood_size,,,,,10025022,100,250,2.5,17,0,99,,,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.05910194851458073,0.06830354407429695,0.0022965408861637115,35,0.18604651162790697,5,5,0.002122180536389351,0.0044187214225530624,0,2,0
tropical,shortest_path,ood_size,,,,,10025023,100,250,2.5,18,0,99,,,1,36.0,27,0.25,2,0,0,1,1,0.05180365405976772,0.059746379032731056,0.0022760415449738503,31,0.1388888888888889,5,5,0.002323811873793602,0.004599853418767452,0,2,0
tropical,shortest_path,ood_size,,,,,10025024,100,250,2.5,19,0,99,,,1,31.0,31,0.0,0,1,1,1,1,0.05537262465804815,0.06331813056021929,0.0023647816851735115,31,0.0,5,5,0.003302481956779957,0.005667263641953468,1,0,1
tropical,shortest_path,ood_size,,,,,10030005,100,300,3.0,0,0,99,,,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.06565312203019857,0.07467584870755672,0.0032337624579668045,22,0.0,5,5,0.0027521923184394836,0.005985954776406288,1,0,1
tropical,shortest_path,ood_size,,,,,10030006,100,300,3.0,1,0,99,,,1,24.0,18,0.25,2,0,0,1,1,0.06280160043388605,0.07299924734979868,0.002329721115529537,24,0.0,5,5,0.0028267819434404373,0.0051565030589699745,1,0,1
tropical,shortest_path,ood_size,,,,,10030007,100,300,3.0,2,0,99,,,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.09659209195524454,0.10668388847261667,0.0023907115682959557,31,0.0,5,5,0.002917042002081871,0.005307753570377827,1,0,1
tropical,shortest_path,ood_size,,,,,10030008,100,300,3.0,3,0,99,,,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.07166677620261908,0.08150307275354862,0.002355022355914116,19,0.0,5,5,0.0026372913271188736,0.0049923136830329895,1,0,1
tropical,shortest_path,ood_size,,,,,10030009,100,300,3.0,4,0,99,,,1,50.0,49,0.02,2,0,0,1,1,0.06703716330230236,0.07674369029700756,0.0025244010612368584,49,0.02,5,5,0.0028739916160702705,0.005398392677307129,0,2,0
tropical,shortest_path,ood_size,,,,,10030010,100,300,3.0,5,0,99,,,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.06925429496914148,0.07926918100565672,0.00230611115694046,23,0.0,5,5,0.0026551317423582077,0.004961242899298668,1,0,1
tropical,shortest_path,ood_size,,,,,10030011,100,300,3.0,6,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.06653670314699411,0.07632424961775541,0.0023373309522867203,18,0.0,5,5,0.0024677617475390434,0.004805092699825764,1,0,1
tropical,shortest_path,ood_size,,,,,10030012,100,300,3.0,7,0,99,,,1,26.0,17,0.34615384615384615,2,0,0,1,1,0.0689961751922965,0.07878668140619993,0.0023206910118460655,26,0.0,5,5,0.00290888175368309,0.005229572765529156,1,0,1
tropical,shortest_path,ood_size,,,,,10030013,100,300,3.0,8,0,99,,,1,17.0,17,0.0,0,1,1,1,1,0.0639913808554411,0.0736448373645544,0.002288270741701126,17,0.0,5,5,0.002581561915576458,0.004869832657277584,1,0,1
tropical,shortest_path,ood_size,,,,,10030014,100,300,3.0,9,0,99,,,1,40.00000000000001,40,1.77635683940025e-16,2,0,0,1,1,0.10225369594991207,0.1120275016874075,0.0023857709020376205,40,1.77635683940025e-16,5,5,0.0029155220836400986,0.005301292985677719,0,2,0
tropical,shortest_path,ood_size,,,,,10030015,100,300,3.0,10,0,99,,,1,21.0,21,0.0,2,0,0,1,1,0.06896131485700607,0.07871819008141756,0.002356632612645626,21,0.0,5,5,0.0027477815747261047,0.005104414187371731,0,2,0
tropical,shortest_path,ood_size,,,,,10030016,100,300,3.0,11,0,99,,,1,31.0,31,0.0,0,1,1,1,1,0.07683593966066837,0.08657369576394558,0.0023320410400629044,31,0.0,5,5,0.0030803419649600983,0.005412383005023003,1,0,1
tropical,shortest_path,ood_size,,,,,10030017,100,300,3.0,12,0,99,,,1,25.0,20,0.2,2,0,0,1,1,0.08955949824303389,0.09944343473762274,0.002436901442706585,25,0.0,5,5,0.0029146019369363785,0.005351503379642963,0,2,0
tropical,shortest_path,ood_size,,,,,10030018,100,300,3.0,13,0,99,,,1,51.0,47,0.0784313725490196,2,0,0,1,1,0.06612114235758781,0.07586172875016928,0.0023179519921541214,48,0.058823529411764705,5,5,0.0027625616639852524,0.005080513656139374,0,2,0
tropical,shortest_path,ood_size,,,,,10030019,100,300,3.0,14,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.06415228173136711,0.0740322582423687,0.002420972101390362,18,0.0,5,5,0.0025477325543761253,0.004968704655766487,1,0,1
tropical,shortest_path,ood_size,,,,,10030020,100,300,3.0,15,0,99,,,1,16.0,8,0.5,2,0,0,1,1,0.07171636540442705,0.08174537308514118,0.002343902364373207,16,0.0,5,5,0.0025819214060902596,0.004925823770463467,1,0,1
tropical,shortest_path,ood_size,,,,,10030021,100,300,3.0,16,0,99,,,1,27.0,25,0.07407407407407407,2,0,0,1,1,0.06821380369365215,0.07807312067598104,0.002340220846235752,27,0.0,5,5,0.002861342392861843,0.005201563239097595,1,0,1
tropical,shortest_path,ood_size,,,,,10030022,100,300,3.0,17,0,99,,,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.0924588292837143,0.10234849713742733,0.002348080277442932,24,0.0,5,5,0.0026695616543293,0.005017641931772232,0,2,0
tropical,shortest_path,ood_size,,,,,10030023,100,300,3.0,18,0,99,,,1,20.0,13,0.35,2,0,0,1,1,0.06263435073196888,0.0725869070738554,0.0023184912279248238,15,0.25,5,5,0.0025168713182210922,0.004835362546145916,0,2,0
tropical,shortest_path,ood_size,,,,,10030024,100,300,3.0,19,0,99,,,1,19.0,19,0.0,0,1,1,1,1,0.0701298862695694,0.0798352612182498,0.0023327916860580444,19,0.0,5,5,0.002420972101390362,0.004753763787448406,1,0,1
tropical,shortest_path,ood_size,,,,,10040005,100,400,4.0,0,0,99,,,1,22.0,16,0.2727272727272727,2,0,0,1,1,0.10241260565817356,0.11485056485980749,0.0033529717475175858,22,0.0,5,5,0.004444562830030918,0.007797534577548504,1,0,1
tropical,shortest_path,ood_size,,,,,10040006,100,400,4.0,1,0,99,,,1,15.0,15,0.0,2,0,0,1,1,0.09061335865408182,0.1023814370855689,0.002417132258415222,15,0.0,5,5,0.003295901231467724,0.005713033489882946,0,2,0
tropical,shortest_path,ood_size,,,,,10040007,100,400,4.0,2,0,99,,,1,19.000000000000004,16,0.15789473684210542,2,0,0,1,1,0.14009041991084814,0.15207168832421303,0.002507640980184078,19,1.8698493046318422e-16,5,5,0.0037370016798377037,0.006244642660021782,1,0,1
tropical,shortest_path,ood_size,,,,,10040008,100,400,4.0,3,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.0927750701084733,0.10479214787483215,0.0024921316653490067,18,0.0,5,5,0.0038809916004538536,0.00637312326580286,1,0,1
tropical,shortest_path,ood_size,,,,,10040009,100,400,4.0,4,0,99,,,1,17.0,17,0.0,0,1,1,1,1,0.10150161478668451,0.11319409310817719,0.0024499408900737762,17,0.0,5,5,0.0036998819559812546,0.006149822846055031,1,0,1
tropical,shortest_path,ood_size,,,,,10040010,100,400,4.0,5,0,99,,,1,29.000000000000007,23,0.20689655172413812,2,0,0,1,1,0.1335020363330841,0.1450180234387517,0.002436760812997818,24,0.17241379310344848,5,5,0.0035938620567321777,0.006030622869729996,0,2,0
tropical,shortest_path,ood_size,,,,,10040011,100,400,4.0,6,0,99,,,1,23.0,20,0.13043478260869565,2,0,0,1,1,0.1288213236257434,0.1408772710710764,0.0024666721001267433,23,0.0,5,5,0.004237272776663303,0.006703944876790047,0,2,0
tropical,shortest_path,ood_size,,,,,10040012,100,400,4.0,7,0,99,,,1,21.0,21,0.0,0,1,1,1,1,0.09319290984421968,0.10486784763634205,0.0024419911205768585,21,0.0,5,5,0.00432010181248188,0.006762092933058739,1,0,1
tropical,shortest_path,ood_size,,,,,10040013,100,400,4.0,8,0,99,,,1,26.0,24,0.07692307692307693,2,0,0,1,1,0.09818595368415117,0.10960331093519926,0.0024312110617756844,26,0.0,5,5,0.003912793472409248,0.006344004534184933,1,0,1
tropical,shortest_path,ood_size,,,,,10040014,100,400,4.0,9,0,99,,,1,17.0,10,0.4117647058823529,2,0,0,1,1,0.09434133116155863,0.10634864866733551,0.0025142524391412735,16,0.058823529411764705,5,5,0.0032895421609282494,0.005803794600069523,0,2,0
tropical,shortest_path,ood_size,,,,,10040015,100,400,4.0,10,0,99,,,1,34.0,29,0.14705882352941177,2,0,0,1,1,0.08925922866910696,0.10121627524495125,0.002393851988017559,31,0.08823529411764706,5,5,0.004325633868575096,0.006719485856592655,0,2,0
tropical,shortest_path,ood_size,,,,,10040016,100,400,4.0,11,0,99,,,1,10.0,8,0.2,2,0,0,1,1,0.09649073332548141,0.10824286937713623,0.002430112101137638,10,0.0,5,5,0.0032220222055912018,0.00565213430672884,0,2,0
tropical,shortest_path,ood_size,,,,,10040017,100,400,4.0,12,0,99,,,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.12959687318652868,0.14187071193009615,0.002446351572871208,19,0.0,5,5,0.0036380626261234283,0.0060844141989946365,1,0,1
tropical,shortest_path,ood_size,,,,,10040018,100,400,4.0,13,0,99,,,1,18.0,17,0.05555555555555555,2,0,0,1,1,0.08728082571178675,0.09932317491620779,0.002455132082104683,18,0.0,5,5,0.003951991908252239,0.006407123990356922,1,0,1
tropical,shortest_path,ood_size,,,,,10040019,100,400,4.0,14,0,99,,,1,20.0,18,0.1,2,0,0,1,1,0.09668821189552546,0.10838133003562689,0.0024295514449477196,19,0.05,5,5,0.003590802662074566,0.0060203541070222855,0,2,0
tropical,shortest_path,ood_size,,,,,10040020,100,400,4.0,15,0,99,,,1,19.0,11,0.42105263157894735,2,0,0,1,1,0.3677163580432534,0.37929651513695717,0.002570481039583683,19,0.0,5,5,0.0035488028079271317,0.006119283847510815,1,0,1
tropical,shortest_path,ood_size,,,,,10040021,100,400,4.0,16,0,99,,,1,22.0,22,0.0,2,0,0,1,1,0.12109439820051193,0.13298636581748724,0.0024500414729118347,22,0.0,5,5,0.004283693619072437,0.006733735091984272,0,2,0
tropical,shortest_path,ood_size,,,,,10040022,100,400,4.0,17,0,99,,,1,20.0,20,0.0,0,1,1,1,1,0.09804313350468874,0.11008281074464321,0.0024144118651747704,20,0.0,5,5,0.00418862234801054,0.00660303421318531,1,0,1
tropical,shortest_path,ood_size,,,,,10040023,100,400,4.0,18,0,99,,,1,28.0,23,0.17857142857142858,2,0,0,1,1,0.09276282973587513,0.10426739696413279,0.0023896312341094017,28,0.0,5,5,0.0037138424813747406,0.006103473715484142,1,0,1
tropical,shortest_path,ood_size,,,,,10040024,100,400,4.0,19,0,99,,,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.10018770396709442,0.11198032181710005,0.002443050965666771,23,0.041666666666666664,5,5,0.0036217626184225082,0.006064813584089279,0,2,0
tropical,shortest_path,ood_size,,,,,10050005,100,500,5.0,0,0,99,,,1,15.000000000000002,13,0.13333333333333344,2,0,0,1,1,0.16361629590392113,0.1780426250770688,0.004021183587610722,15,1.1842378929335e-16,5,5,0.0036518825218081474,0.007673066109418869,1,0,1
tropical,shortest_path,ood_size,,,,,10050006,100,500,5.0,1,0,99,,,1,17.0,17,0.0,2,0,0,1,1,0.1642842059955001,0.17857879493385553,0.0031400322914123535,17,0.0,5,5,0.004130463115870953,0.007270495407283306,0,2,0
