model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
tropical,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.19733095075935125,0.20614362880587578,0.17706197127699852
tropical,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04284277372062206,0.04988514259457588,0.0024155499413609505
tropical,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.0459138099104166,0.05310807842761278,0.0021841097623109818
tropical,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.041570340283215046,0.048356189392507076,0.0021252911537885666
tropical,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.042789604514837265,0.04996160138398409,0.0021125013008713722
tropical,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.055963064543902874,0.06290046311914921,0.0021371198818087578
tropical,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04115487262606621,0.04908649530261755,0.0021230699494481087
tropical,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.041418530978262424,0.04832649976015091,0.002095739357173443
tropical,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04370701126754284,0.051809524185955524,0.0021304795518517494
tropical,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.04190847836434841,0.04882609657943249,0.0021240804344415665
tropical,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.042971814051270485,0.05001931171864271,0.002113720402121544
tropical,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.0407863138243556,0.04868779797106981,0.0021257400512695312
tropical,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04693963471800089,0.053900353610515594,0.002618747763335705
tropical,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04244869761168957,0.050735319033265114,0.00216600950807333
tropical,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.04429393820464611,0.05126553773880005,0.002153560519218445
tropical,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04314966220408678,0.050233771093189716,0.002148970030248165
tropical,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,19,0.05,2,0,0,1,1,0.053565485402941704,0.06159897893667221,0.0021544303745031357
tropical,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.043262992054224014,0.05024568922817707,0.00210524071007967
tropical,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.040328966453671455,0.048406608402729034,0.00212722085416317
tropical,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.04322801157832146,0.050151411443948746,0.002122781239449978
tropical,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.04853047803044319,0.05682647135108709,0.0030710864812135696
tropical,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05305476766079664,0.06197703629732132,0.0022221198305487633
tropical,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,22,0.0,0,1,1,1,1,0.05884518101811409,0.06738546304404736,0.0022092703729867935
tropical,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.057942754589021206,0.06649086717516184,0.002179820090532303
tropical,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.05270345974713564,0.06217394582927227,0.002209870144724846
tropical,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07511140685528517,0.08355007879436016,0.0022501200437545776
tropical,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.06279939319938421,0.07146813441067934,0.002198389731347561
tropical,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05914514046162367,0.06863411702215672,0.00220698956400156
tropical,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.06261892430484295,0.07126053515821695,0.00219167023897171
tropical,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06741771195083857,0.07583788316696882,0.002211000770330429
