model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,value_ood,,,,,3006005,30,60,2.0,0,0,29,,,1,60.0,57,0.05,2,0,0,1,1,0.15173940267413855,0.15665095578879118,0.18599101342260838,57,0.05,5,5,0.013441497460007668,0.19943251088261604,0,2,0
tropical,shortest_path,value_ood,,,,,3006006,30,60,2.0,1,0,29,,,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.01933584176003933,0.0226754043251276,0.0021885307505726814,128,0.2727272727272727,5,5,0.0005422001704573631,0.0027307309210300446,0,2,0
tropical,shortest_path,value_ood,,,,,3006007,30,60,2.0,2,0,29,,,1,214.0,166,0.22429906542056074,2,0,0,1,1,0.01627315953373909,0.01915729232132435,0.0019174208864569664,166,0.22429906542056074,5,5,0.0007677013054490089,0.0026851221919059753,0,2,0
tropical,shortest_path,value_ood,,,,,3006008,30,60,2.0,3,0,29,,,1,191.0,166,0.13089005235602094,2,0,0,1,1,0.014749279245734215,0.01755676046013832,0.0020071202889084816,166,0.13089005235602094,5,5,0.000768790952861309,0.0027759112417697906,0,2,0
tropical,shortest_path,value_ood,,,,,3006009,30,60,2.0,4,0,29,,,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.015406300313770771,0.018277231603860855,0.0019200807437300682,245,0.15807560137457044,5,5,0.0007033906877040863,0.0026234714314341545,0,2,0
tropical,shortest_path,value_ood,,,,,3006010,30,60,2.0,5,0,29,,,1,275.0,229,0.16727272727272727,2,0,0,1,1,0.017100811004638672,0.01985386200249195,0.001931801438331604,229,0.16727272727272727,5,5,0.001987720839679241,0.003919522278010845,0,2,0
tropical,shortest_path,value_ood,,,,,3006011,30,60,2.0,6,0,29,,,1,75.0,59,0.21333333333333335,2,0,0,1,1,0.018999332562088966,0.02171346265822649,0.0020337020978331566,75,0.0,5,5,0.0005669901147484779,0.0026006922125816345,0,2,0
tropical,shortest_path,value_ood,,,,,3006012,30,60,2.0,7,0,29,,,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.026417146436870098,0.029259737581014633,0.0019287914037704468,79,0.05952380952380952,5,5,0.0006368095055222511,0.002565600909292698,0,2,0
tropical,shortest_path,value_ood,,,,,3006013,30,60,2.0,8,0,29,,,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.0184231111779809,0.021183363161981106,0.00197508092969656,44,0.2903225806451613,5,5,0.0005764001980423927,0.0025514811277389526,0,2,0
tropical,shortest_path,value_ood,,,,,3006014,30,60,2.0,9,0,29,,,1,191.0,165,0.13612565445026178,2,0,0,1,1,0.020901151932775974,0.02375648356974125,0.0019839107990264893,165,0.13612565445026178,5,5,0.000668390654027462,0.0026523014530539513,0,2,0
tropical,shortest_path,value_ood,,,,,3006015,30,60,2.0,10,0,29,,,1,107.0,74,0.308411214953271,2,0,0,1,1,0.019166622310876846,0.022110622376203537,0.0020257215946912766,74,0.308411214953271,5,5,0.0006586993113160133,0.00268442090600729,0,2,0
tropical,shortest_path,value_ood,,,,,3006016,30,60,2.0,11,0,29,,,1,101.0,66,0.3465346534653465,2,0,0,1,1,0.017606480978429317,0.022102033719420433,0.0019710706546902657,101,0.0,5,5,0.0005547711625695229,0.0025258418172597885,1,0,1
tropical,shortest_path,value_ood,,,,,3006017,30,60,2.0,12,0,29,,,1,163.0,122,0.25153374233128833,2,0,0,1,1,0.015650310553610325,0.01840562094002962,0.0019351914525032043,163,0.0,5,5,0.0006793299689888954,0.0026145214214920998,1,0,1
tropical,shortest_path,value_ood,,,,,3006018,30,60,2.0,13,0,29,,,1,243.0,196,0.1934156378600823,2,0,0,1,1,0.018071182072162628,0.0207466222345829,0.0021521011367440224,216,0.1111111111111111,5,5,0.0006704917177557945,0.002822592854499817,0,2,0
tropical,shortest_path,value_ood,,,,,3006019,30,60,2.0,14,0,29,,,1,104.99999999999999,65,0.3809523809523809,2,0,0,1,1,0.01756272092461586,0.020317421294748783,0.0019745510071516037,105,-1.3534147347811433e-16,5,5,0.0005855001509189606,0.0025600511580705643,1,0,1
tropical,shortest_path,value_ood,,,,,3006020,30,60,2.0,15,0,29,,,1,153.0,127,0.16993464052287582,2,0,0,1,1,0.02032817155122757,0.02316285390406847,0.002117510885000229,127,0.16993464052287582,5,5,0.0007783304899930954,0.0028958413749933243,0,2,0
tropical,shortest_path,value_ood,,,,,3006021,30,60,2.0,16,0,29,,,1,201.0,166,0.17412935323383086,2,0,0,1,1,0.016949640586972237,0.021472993306815624,0.0019480213522911072,166,0.17412935323383086,5,5,0.0006619207561016083,0.0026099421083927155,0,2,0
tropical,shortest_path,value_ood,,,,,3006022,30,60,2.0,17,0,29,,,1,78.0,78,0.0,0,1,1,1,1,0.01741344016045332,0.020301331765949726,0.001931171864271164,78,0.0,5,5,0.000543590635061264,0.002474762499332428,1,0,1
tropical,shortest_path,value_ood,,,,,3006023,30,60,2.0,18,0,29,,,1,102.0,61,0.4019607843137255,2,0,0,1,1,0.0182155417278409,0.021054493263363838,0.001959751360118389,102,0.0,5,5,0.0005723396316170692,0.0025320909917354584,1,0,1
tropical,shortest_path,value_ood,,,,,3006024,30,60,2.0,19,0,29,,,1,100.0,51,0.49,2,0,0,1,1,0.015513279475271702,0.018306960351765156,0.0019326815381646156,100,0.0,5,5,0.0005283402279019356,0.002461021766066551,1,0,1
tropical,shortest_path,value_ood,,,,,3009005,30,90,3.0,0,0,29,,,1,104.0,104,0.0,0,1,1,1,1,0.02326150517910719,0.026915976777672768,0.0019992906600236893,104,0.0,5,5,0.0007407106459140778,0.002740001305937767,1,0,1
tropical,shortest_path,value_ood,,,,,3009006,30,90,3.0,1,0,29,,,1,107.0,107,0.0,0,1,1,1,1,0.03127480950206518,0.03672145213931799,0.0020234007388353348,107,0.0,5,5,0.0008540097624063492,0.002877410501241684,1,0,1
tropical,shortest_path,value_ood,,,,,3009007,30,90,3.0,2,0,29,,,1,135.0,110,0.18518518518518517,2,0,0,1,1,0.0226406529545784,0.026236376725137234,0.0019428012892603874,135,0.0,5,5,0.0008380105718970299,0.0027808118611574173,1,0,1
tropical,shortest_path,value_ood,,,,,3009008,30,90,3.0,3,0,29,,,1,103.0,87,0.1553398058252427,2,0,0,1,1,0.023304004222154617,0.026800616644322872,0.0019761519506573677,103,0.0,5,5,0.0008559394627809525,0.00283209141343832,0,2,0
tropical,shortest_path,value_ood,,,,,3009009,30,90,3.0,4,0,29,,,1,103.0,97,0.05825242718446602,2,0,0,1,1,0.03389632049947977,0.037379203364253044,0.0019929325208067894,97,0.05825242718446602,5,5,0.0027153613045811653,0.004708293825387955,0,2,0
tropical,shortest_path,value_ood,,,,,3009010,30,90,3.0,5,0,29,,,1,101.0,69,0.31683168316831684,2,0,0,1,1,0.024147944524884224,0.027668267488479614,0.001980590634047985,69,0.31683168316831684,5,5,0.0008704811334609985,0.0028510717675089836,0,2,0
tropical,shortest_path,value_ood,,,,,3009011,30,90,3.0,6,0,29,,,1,107.00000000000003,86,0.19626168224299087,2,0,0,1,1,0.0232705045491457,0.026841266080737114,0.001943572424352169,107,2.6562345262059813e-16,5,5,0.0008011301979422569,0.002744702622294426,0,2,0
tropical,shortest_path,value_ood,,,,,3009012,30,90,3.0,7,0,29,,,1,96.0,96,0.0,2,0,0,1,1,0.02235732413828373,0.025912625715136528,0.002031872048974037,96,0.0,5,5,0.0007972000166773796,0.0028290720656514168,0,2,0
tropical,shortest_path,value_ood,,,,,3009013,30,90,3.0,8,0,29,,,1,77.0,65,0.15584415584415584,2,0,0,1,1,0.024912044405937195,0.02858010772615671,0.0020881611853837967,65,0.15584415584415584,5,5,0.0008528297767043114,0.002940990962088108,0,2,0
tropical,shortest_path,value_ood,,,,,3009014,30,90,3.0,9,0,29,,,1,90.0,65,0.2777777777777778,2,0,0,1,1,0.023958785459399223,0.027669617906212807,0.0019437605515122414,65,0.2777777777777778,5,5,0.0008256593719124794,0.0027694199234247208,0,2,0
tropical,shortest_path,value_ood,,,,,3009015,30,90,3.0,10,0,29,,,1,82.0,47,0.4268292682926829,2,0,0,1,1,0.021865684539079666,0.02538281586021185,0.0019221212714910507,82,0.0,5,5,0.0007574316114187241,0.0026795528829097748,1,0,1
tropical,shortest_path,value_ood,,,,,3009016,30,90,3.0,11,0,29,,,1,84.0,37,0.5595238095238095,2,0,0,1,1,0.021041573025286198,0.024579035118222237,0.002014530822634697,37,0.5595238095238095,5,5,0.000699271447956562,0.002713802270591259,0,2,0
tropical,shortest_path,value_ood,,,,,3009017,30,90,3.0,12,0,29,,,1,23.0,23,0.0,0,1,1,1,1,0.019887162372469902,0.024912545457482338,0.001999272033572197,23,0.0,5,5,0.0006572799757122993,0.0026565520092844963,1,0,1
tropical,shortest_path,value_ood,,,,,3009018,30,90,3.0,13,0,29,,,1,110.0,80,0.2727272727272727,2,0,0,1,1,0.02181561291217804,0.025237586349248886,0.001980050466954708,80,0.2727272727272727,5,5,0.0007069110870361328,0.002686961553990841,0,2,0
tropical,shortest_path,value_ood,,,,,3009019,30,90,3.0,14,0,29,,,1,129.00000000000006,98,0.2403100775193802,2,0,0,1,1,0.02400911506265402,0.027454406954348087,0.002041161060333252,129,4.4064665783572084e-16,5,5,0.0008302107453346252,0.002871371805667877,1,0,1
tropical,shortest_path,value_ood,,,,,3009020,30,90,3.0,15,0,29,,,1,108.0,97,0.10185185185185185,2,0,0,1,1,0.023924175649881363,0.0275277066975832,0.0019886912778019905,97,0.10185185185185185,5,5,0.0008060913532972336,0.002794782631099224,0,2,0
tropical,shortest_path,value_ood,,,,,3009021,30,90,3.0,16,0,29,,,1,127.0,125,0.015748031496062992,2,0,0,1,1,0.025686795823276043,0.030986838974058628,0.0019862810149788857,125,0.015748031496062992,5,5,0.0008466904982924461,0.002832971513271332,0,2,0
tropical,shortest_path,value_ood,,,,,3009022,30,90,3.0,17,0,29,,,1,171.0,171,0.0,0,1,1,1,1,0.02263531368225813,0.02621619589626789,0.0019444115459918976,171,0.0,5,5,0.0008775005117058754,0.002821912057697773,1,0,1
tropical,shortest_path,value_ood,,,,,3009023,30,90,3.0,18,0,29,,,1,72.0,60,0.16666666666666666,2,0,0,1,1,0.023625855334103107,0.027137926779687405,0.0019377907738089561,60,0.16666666666666666,5,5,0.0008025709539651871,0.0027403617277741432,0,2,0
tropical,shortest_path,value_ood,,,,,3009024,30,90,3.0,19,0,29,,,1,115.0,86,0.25217391304347825,2,0,0,1,1,0.024090944789350033,0.027735887095332146,0.0019716108217835426,115,0.0,5,5,0.0007949406281113625,0.002766551449894905,1,0,1
tropical,shortest_path,value_ood,,,,,3012005,30,120,4.0,0,0,29,,,1,128.0,89,0.3046875,2,0,0,1,1,0.02501045446842909,0.03085883893072605,0.0025439122691750526,110,0.140625,5,5,0.001006990671157837,0.0035509029403328896,0,2,0
tropical,shortest_path,value_ood,,,,,3012006,30,120,4.0,1,0,29,,,1,117.0,92,0.21367521367521367,2,0,0,1,1,0.028507797978818417,0.03277121018618345,0.002013181336224079,92,0.21367521367521367,5,5,0.0010709213092923164,0.0030841026455163956,0,2,0
tropical,shortest_path,value_ood,,,,,3012007,30,120,4.0,2,0,29,,,1,61.0,58,0.04918032786885246,2,0,0,1,1,0.036423142068088055,0.04071114491671324,0.002008841373026371,58,0.04918032786885246,5,5,0.0009023100137710571,0.002911151386797428,0,2,0
tropical,shortest_path,value_ood,,,,,3012008,30,120,4.0,3,0,29,,,1,82.0,46,0.43902439024390244,2,0,0,1,1,0.0277688167989254,0.03400212060660124,0.002080840989947319,46,0.43902439024390244,5,5,0.0008969297632575035,0.0029777707532048225,0,2,0
tropical,shortest_path,value_ood,,,,,3012009,30,120,4.0,4,0,29,,,1,171.0,125,0.26900584795321636,2,0,0,1,1,0.02844103705137968,0.03277194034308195,0.0019654911011457443,133,0.2222222222222222,5,5,0.0011592116206884384,0.0031247027218341827,0,2,0
tropical,shortest_path,value_ood,,,,,3012010,30,120,4.0,5,0,29,,,1,142.0,94,0.3380281690140845,2,0,0,1,1,0.024694505147635937,0.02899310737848282,0.001937011256814003,94,0.3380281690140845,5,5,0.0010194508358836174,0.0029564620926976204,0,2,0
tropical,shortest_path,value_ood,,,,,3012011,30,120,4.0,6,0,29,,,1,89.0,47,0.47191011235955055,2,0,0,1,1,0.024901004508137703,0.03073548898100853,0.001967080868780613,47,0.47191011235955055,5,5,0.0008594207465648651,0.002826501615345478,0,2,0
tropical,shortest_path,value_ood,,,,,3012012,30,120,4.0,7,0,29,,,1,67.0,48,0.2835820895522388,2,0,0,1,1,0.027493505738675594,0.031667500734329224,0.0020068716257810593,48,0.2835820895522388,5,5,0.001013660803437233,0.0030205324292182922,0,2,0
tropical,shortest_path,value_ood,,,,,3012013,30,120,4.0,8,0,29,,,1,87.0,87,0.0,2,0,0,1,1,0.028026786632835865,0.03229320980608463,0.0019715111702680588,87,0.0,5,5,0.0010321103036403656,0.0030036214739084244,0,2,0
tropical,shortest_path,value_ood,,,,,3012014,30,120,4.0,9,0,29,,,1,112.0,66,0.4107142857142857,2,0,0,1,1,0.027112786658108234,0.03301665000617504,0.0020048217847943306,66,0.4107142857142857,5,5,0.000921119935810566,0.0029259417206048965,0,2,0
tropical,shortest_path,value_ood,,,,,3012015,30,120,4.0,10,0,29,,,1,98.0,74,0.24489795918367346,2,0,0,1,1,0.027803136967122555,0.03209669888019562,0.002033381722867489,74,0.24489795918367346,5,5,0.0010303203016519547,0.0030637020245194435,0,2,0
tropical,shortest_path,value_ood,,,,,3012016,30,120,4.0,11,0,29,,,1,96.00000000000001,93,0.031250000000000146,2,0,0,1,1,0.028363666497170925,0.032706149853765965,0.0019681109115481377,93,0.031250000000000146,5,5,0.001039980910718441,0.0030080918222665787,0,2,0
tropical,shortest_path,value_ood,,,,,3012017,30,120,4.0,12,0,29,,,1,97.0,58,0.4020618556701031,2,0,0,1,1,0.028337247669696808,0.03423875104635954,0.002037481404840946,97,0.0,5,5,0.0009607700631022453,0.0029982514679431915,1,0,1
tropical,shortest_path,value_ood,,,,,3012018,30,120,4.0,13,0,29,,,1,114.0,86,0.24561403508771928,2,0,0,1,1,0.028112667612731457,0.03241422958672047,0.00201296154409647,114,0.0,5,5,0.0010503800585865974,0.0030633416026830673,0,2,0
tropical,shortest_path,value_ood,,,,,3012019,30,120,4.0,14,0,29,,,1,130.0,130,0.0,0,1,1,1,1,0.028901967220008373,0.0331683112308383,0.0020177913829684258,130,0.0,5,5,0.0010569104924798012,0.003074701875448227,1,0,1
tropical,shortest_path,value_ood,,,,,3012020,30,120,4.0,15,0,29,,,1,91.0,85,0.06593406593406594,2,0,0,1,1,0.02935496624559164,0.03525788243860006,0.001989210955798626,91,0.0,5,5,0.000995410606265068,0.002984621562063694,0,2,0
tropical,shortest_path,value_ood,,,,,3012021,30,120,4.0,16,0,29,,,1,63.0,56,0.1111111111111111,2,0,0,1,1,0.029227428138256073,0.03344743046909571,0.0019967714324593544,63,0.0,5,5,0.0009863516315817833,0.0029831230640411377,1,0,1
tropical,shortest_path,value_ood,,,,,3012022,30,120,4.0,17,0,29,,,1,112.00000000000003,112,2.537652627714643e-16,0,1,1,1,1,0.03760055359452963,0.04189401492476463,0.0019981907680630684,112,2.537652627714643e-16,5,5,0.000990031287074089,0.0029882220551371574,1,0,1
tropical,shortest_path,value_ood,,,,,3012023,30,120,4.0,18,0,29,,,1,80.0,62,0.225,2,0,0,1,1,0.03943239338696003,0.045382676646113396,0.00200515054166317,62,0.225,5,5,0.0009043309837579727,0.0029094815254211426,0,2,0
tropical,shortest_path,value_ood,,,,,3012024,30,120,4.0,19,0,29,,,1,91.0,74,0.18681318681318682,2,0,0,1,1,0.04403205681592226,0.04829202871769667,0.0019947709515690804,89,0.02197802197802198,5,5,0.0010017910972237587,0.002996562048792839,0,2,0
tropical,shortest_path,value_ood,,,,,3018005,30,180,6.0,0,0,29,,,1,64.0,37,0.421875,2,0,0,1,1,0.03939252346754074,0.04526164662092924,0.007396594621241093,37,0.421875,5,5,0.0012512905523180962,0.008647885173559189,0,2,0
tropical,shortest_path,value_ood,,,,,3018006,30,180,6.0,1,0,29,,,1,87.0,87,0.0,0,1,1,1,1,0.05178611073642969,0.05787970591336489,0.0020990613847970963,87,0.0,5,5,0.0013943212106823921,0.0034933825954794884,1,0,1
tropical,shortest_path,value_ood,,,,,3018007,30,180,6.0,2,0,29,,,1,86.0,84,0.023255813953488372,2,0,0,1,1,0.05711670499294996,0.06298724841326475,0.0021027522161602974,86,0.0,5,5,0.001414990983903408,0.0035177432000637054,0,2,0
tropical,shortest_path,value_ood,,,,,3018008,30,180,6.0,3,0,29,,,1,71.0,50,0.29577464788732394,2,0,0,1,1,0.03885369375348091,0.04458631668239832,0.0020132707431912422,50,0.29577464788732394,5,5,0.0013965712860226631,0.0034098420292139053,0,2,0
