model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,value_ood,,,3006005,30,60,2.0,0,0,29,1,60.0,57,0.05,2,0,0,1,1,0.13614383153617382,0.14096473809331656,0.1722913794219494,57,0.05,5,5,0.013406036421656609,0.185697415843606,0,2,0
tropical,shortest_path,value_ood,,,3006006,30,60,2.0,1,0,29,1,176.0,142,0.19318181818181818,2,0,0,1,1,0.01777880545705557,0.021036529913544655,0.0021626194939017296,142,0.19318181818181818,5,5,0.0016847727820277214,0.003847392275929451,0,2,0
tropical,shortest_path,value_ood,,,3006007,30,60,2.0,2,0,29,1,214.0,166,0.22429906542056074,2,0,0,1,1,0.016191232949495316,0.018895319662988186,0.0019869497045874596,214,0.0,5,5,0.0006730053573846817,0.0026599550619721413,1,0,1
tropical,shortest_path,value_ood,,,3006008,30,60,2.0,3,0,29,1,191.0,183,0.041884816753926704,2,0,0,1,1,0.014764930121600628,0.017548976466059685,0.0019393311813473701,183,0.041884816753926704,5,5,0.0006810268387198448,0.002620358020067215,0,2,0
tropical,shortest_path,value_ood,,,3006009,30,60,2.0,4,0,29,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.01524592749774456,0.01803374383598566,0.0019151708111166954,274,0.058419243986254296,5,5,0.0006791763007640839,0.0025943471118807793,0,2,0
tropical,shortest_path,value_ood,,,3006010,30,60,2.0,5,0,29,1,275.0,229,0.16727272727272727,2,0,0,1,1,0.017082378268241882,0.019864684902131557,0.0019160211086273193,229,0.16727272727272727,5,5,0.0006751753389835358,0.002591196447610855,0,2,0
tropical,shortest_path,value_ood,,,3006011,30,60,2.0,6,0,29,1,75.0,75,0.0,2,0,0,1,1,0.01989931520074606,0.022667442448437214,0.002038240432739258,75,0.0,5,5,0.0005592973902821541,0.002597537823021412,0,2,0
tropical,shortest_path,value_ood,,,3006012,30,60,2.0,7,0,29,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.026364794000983238,0.029122781939804554,0.0019652703776955605,84,0.0,5,5,0.0007328270003199577,0.002698097378015518,1,0,1
tropical,shortest_path,value_ood,,,3006013,30,60,2.0,8,0,29,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.018253153190016747,0.02092481032013893,0.0019390210509300232,44,0.2903225806451613,5,5,0.000581047497689724,0.002520068548619747,0,2,0
tropical,shortest_path,value_ood,,,3006014,30,60,2.0,9,0,29,1,191.0,191,0.0,0,1,1,1,1,0.019751084968447685,0.022505883127450943,0.0019525503739714622,191,0.0,5,5,0.0006722277030348778,0.00262477807700634,1,0,1
tropical,shortest_path,value_ood,,,3006015,30,60,2.0,10,0,29,1,107.0,93,0.1308411214953271,2,0,0,1,1,0.019332177005708218,0.02214436512440443,0.0019382312893867493,93,0.1308411214953271,5,5,0.0006227269768714905,0.0025609582662582397,0,2,0
tropical,shortest_path,value_ood,,,3006016,30,60,2.0,11,0,29,1,101.0,66,0.3465346534653465,2,0,0,1,1,0.019326237961649895,0.02215262409299612,0.002012200653553009,66,0.3465346534653465,5,5,0.0005498481914401054,0.0025620488449931145,0,2,0
tropical,shortest_path,value_ood,,,3006017,30,60,2.0,12,0,29,1,163.0,122,0.25153374233128833,2,0,0,1,1,0.01483152899891138,0.01765657588839531,0.0019185412675142288,122,0.25153374233128833,5,5,0.0006170663982629776,0.0025356076657772064,0,2,0
tropical,shortest_path,value_ood,,,3006018,30,60,2.0,13,0,29,1,243.0,196,0.1934156378600823,2,0,0,1,1,0.016946738585829735,0.01970017608255148,0.0019720708951354027,196,0.1934156378600823,5,5,0.0006645377725362778,0.0026366086676716805,0,2,0
tropical,shortest_path,value_ood,,,3006019,30,60,2.0,14,0,29,1,104.99999999999999,65,0.3809523809523809,2,0,0,1,1,0.01734333671629429,0.020088814198970795,0.00191580131649971,87,0.17142857142857132,5,5,0.0006035575643181801,0.00251935888081789,0,2,0
tropical,shortest_path,value_ood,,,3006020,30,60,2.0,15,0,29,1,153.0,127,0.16993464052287582,2,0,0,1,1,0.019861954264342785,0.022613272070884705,0.0019359514117240906,127,0.16993464052287582,5,5,0.0007178373634815216,0.002653788775205612,0,2,0
tropical,shortest_path,value_ood,,,3006021,30,60,2.0,16,0,29,1,201.0,166,0.17412935323383086,2,0,0,1,1,0.016761649399995804,0.019526447169482708,0.0019090715795755386,184,0.0845771144278607,5,5,0.002574487589299679,0.0044835591688752174,0,2,0
tropical,shortest_path,value_ood,,,3006022,30,60,2.0,17,0,29,1,78.0,30,0.6153846153846154,2,0,0,1,1,0.017024599015712738,0.019714255817234516,0.0019670408219099045,78,0.0,5,5,0.0005392972379922867,0.002506338059902191,1,0,1
tropical,shortest_path,value_ood,,,3006023,30,60,2.0,18,0,29,1,102.0,61,0.4019607843137255,2,0,0,1,1,0.01837531290948391,0.02110299002379179,0.001947031356394291,61,0.4019607843137255,5,5,0.0005663475021719933,0.002513378858566284,0,2,0
tropical,shortest_path,value_ood,,,3006024,30,60,2.0,19,0,29,1,100.0,51,0.49,2,0,0,1,1,0.015669175423681736,0.01843188237398863,0.0019243108108639717,76,0.24,5,5,0.0005440087988972664,0.002468319609761238,0,2,0
tropical,shortest_path,value_ood,,,3009005,30,90,3.0,0,0,29,1,104.0,98,0.057692307692307696,2,0,0,1,1,0.02227768301963806,0.02575461659580469,0.0020141098648309708,98,0.057692307692307696,5,5,0.0007690265774726868,0.0027831364423036575,0,2,0
tropical,shortest_path,value_ood,,,3009006,30,90,3.0,1,0,29,1,107.0,101,0.056074766355140186,2,0,0,1,1,0.032686663791537285,0.036200108006596565,0.0020230794325470924,101,0.056074766355140186,5,5,0.0008411761373281479,0.0028642555698752403,0,2,0
tropical,shortest_path,value_ood,,,3009007,30,90,3.0,2,0,29,1,135.0,110,0.18518518518518517,2,0,0,1,1,0.02299473062157631,0.026619323529303074,0.0019722403958439827,110,0.18518518518518517,5,5,0.0008828165009617805,0.0028550568968057632,0,2,0
tropical,shortest_path,value_ood,,,3009008,30,90,3.0,3,0,29,1,103.0,87,0.1553398058252427,2,0,0,1,1,0.022879530675709248,0.026339834555983543,0.001957060769200325,87,0.1553398058252427,5,5,0.000850415788590908,0.002807476557791233,0,2,0
tropical,shortest_path,value_ood,,,3009009,30,90,3.0,4,0,29,1,103.0,96,0.06796116504854369,2,0,0,1,1,0.033873057924211025,0.03733748197555542,0.0020131515339016914,96,0.06796116504854369,5,5,0.0008578458800911903,0.0028709974139928818,0,2,0
tropical,shortest_path,value_ood,,,3009010,30,90,3.0,5,0,29,1,101.0,69,0.31683168316831684,2,0,0,1,1,0.02460438199341297,0.029780237935483456,0.0020072506740689278,69,0.31683168316831684,5,5,0.0008253660053014755,0.0028326166793704033,0,2,0
tropical,shortest_path,value_ood,,,3009011,30,90,3.0,6,0,29,1,107.00000000000003,86,0.19626168224299087,2,0,0,1,1,0.0226828521117568,0.02616112492978573,0.0019685113802552223,86,0.19626168224299087,5,5,0.0007365765050053596,0.002705087885260582,0,2,0
tropical,shortest_path,value_ood,,,3009012,30,90,3.0,7,0,29,1,96.0,95,0.010416666666666666,2,0,0,1,1,0.021650747396051884,0.02514050994068384,0.0019574612379074097,95,0.010416666666666666,5,5,0.0008011264726519585,0.002758587710559368,0,2,0
tropical,shortest_path,value_ood,,,3009013,30,90,3.0,8,0,29,1,77.0,65,0.15584415584415584,2,0,0,1,1,0.022343913093209267,0.02591286599636078,0.001973330043256283,65,0.15584415584415584,5,5,0.0008189752697944641,0.002792305313050747,0,2,0
tropical,shortest_path,value_ood,,,3009014,30,90,3.0,9,0,29,1,90.0,68,0.24444444444444444,2,0,0,1,1,0.02302910014986992,0.028210066258907318,0.0020066797733306885,68,0.24444444444444444,5,5,0.0007440261542797089,0.0027507059276103973,0,2,0
tropical,shortest_path,value_ood,,,3009015,30,90,3.0,10,0,29,1,82.0,47,0.4268292682926829,2,0,0,1,1,0.021238538436591625,0.024746482260525227,0.0019442001357674599,47,0.4268292682926829,5,5,0.0007519852370023727,0.0026961853727698326,0,2,0
tropical,shortest_path,value_ood,,,3009016,30,90,3.0,11,0,29,1,84.0,84,0.0,0,1,1,1,1,0.020741190761327744,0.02419122401624918,0.0019422397017478943,84,0.0,5,5,0.0007760860025882721,0.0027183257043361664,1,0,1
tropical,shortest_path,value_ood,,,3009017,30,90,3.0,12,0,29,1,23.0,12,0.4782608695652174,2,0,0,1,1,0.02003589365631342,0.023526538163423538,0.0019348300993442535,12,0.4782608695652174,5,5,0.000678657554090023,0.0026134876534342766,0,2,0
tropical,shortest_path,value_ood,,,3009018,30,90,3.0,13,0,29,1,110.0,80,0.2727272727272727,2,0,0,1,1,0.02053760178387165,0.02563523780554533,0.001979040913283825,80,0.2727272727272727,5,5,0.0007633771747350693,0.002742418088018894,0,2,0
tropical,shortest_path,value_ood,,,3009019,30,90,3.0,14,0,29,1,129.00000000000006,129,4.4064665783572084e-16,0,1,1,1,1,0.023715957067906857,0.02717621996998787,0.0019583608955144882,129,4.4064665783572084e-16,5,5,0.0008651157841086388,0.002823476679623127,1,0,1
tropical,shortest_path,value_ood,,,3009020,30,90,3.0,15,0,29,1,108.0,97,0.10185185185185185,2,0,0,1,1,0.02295789122581482,0.026425493881106377,0.0019738608971238136,106,0.018518518518518517,5,5,0.0008321264758706093,0.002805987372994423,0,2,0
tropical,shortest_path,value_ood,,,3009021,30,90,3.0,16,0,29,1,127.0,105,0.1732283464566929,2,0,0,1,1,0.027441768907010555,0.030956032685935497,0.0020049307495355606,117,0.07874015748031496,5,5,0.0008262265473604202,0.002831157296895981,0,2,0
tropical,shortest_path,value_ood,,,3009022,30,90,3.0,17,0,29,1,171.0,134,0.21637426900584794,2,0,0,1,1,0.022572113201022148,0.02608675602823496,0.001963871531188488,146,0.14619883040935672,5,5,0.0008292766287922859,0.002793148159980774,0,2,0
tropical,shortest_path,value_ood,,,3009023,30,90,3.0,18,0,29,1,72.0,60,0.16666666666666666,2,0,0,1,1,0.023267429322004318,0.026758892461657524,0.0019624410197138786,60,0.16666666666666666,5,5,0.0007142769172787666,0.0026767179369926453,0,2,0
tropical,shortest_path,value_ood,,,3009024,30,90,3.0,19,0,29,1,115.0,86,0.25217391304347825,2,0,0,1,1,0.02396527584642172,0.027447128668427467,0.001947890967130661,102,0.11304347826086956,5,5,0.0008133454248309135,0.0027612363919615746,0,2,0
tropical,shortest_path,value_ood,,,3012005,30,120,4.0,0,0,29,1,128.0,89,0.3046875,2,0,0,1,1,0.024645372293889523,0.03051423467695713,0.002513747662305832,128,0.0,5,5,0.0010663652792572975,0.0035801129415631294,1,0,1
tropical,shortest_path,value_ood,,,3012006,30,120,4.0,1,0,29,1,117.0,92,0.21367521367521367,2,0,0,1,1,0.028591913171112537,0.03282849304378033,0.0019882917404174805,92,0.21367521367521367,5,5,0.0010117348283529282,0.0030000265687704086,0,2,0
tropical,shortest_path,value_ood,,,3012007,30,120,4.0,2,0,29,1,61.0,44,0.2786885245901639,2,0,0,1,1,0.03703019395470619,0.04134105332195759,0.0020204316824674606,44,0.2786885245901639,5,5,0.0008864756673574448,0.0029069073498249054,0,2,0
tropical,shortest_path,value_ood,,,3012008,30,120,4.0,3,0,29,1,82.0,46,0.43902439024390244,2,0,0,1,1,0.0283459248021245,0.03431153669953346,0.0020260801538825035,76,0.07317073170731707,5,5,0.000983704812824726,0.0030097849667072296,0,2,0
tropical,shortest_path,value_ood,,,3012009,30,120,4.0,4,0,29,1,171.0,150,0.12280701754385964,2,0,0,1,1,0.02783804666250944,0.03201794810593128,0.0019788099452853203,150,0.12280701754385964,5,5,0.0010277749970555305,0.003006584942340851,0,2,0
