model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,value_ood,,,,,3006005,30,60,2.0,0,0,29,,,1,60.0,57,0.05,2,0,0,1,1,0.16133837401866913,0.16619091667234898,0.24848850909620523,60,0.0,5,5,0.02567896619439125,0.2741674752905965,1,0,1
tropical,shortest_path,value_ood,,,,,3006006,30,60,2.0,1,0,29,,,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.019628501497209072,0.023129564709961414,0.002687741070985794,128,0.2727272727272727,5,5,0.0005586296319961548,0.003246370702981949,0,2,0
tropical,shortest_path,value_ood,,,,,3006007,30,60,2.0,2,0,29,,,1,214.0,166,0.22429906542056074,2,0,0,1,1,0.0162949301302433,0.01921107340604067,0.0020211003720760345,214,0.0,5,5,0.0007341410964727402,0.0027552414685487747,1,0,1
tropical,shortest_path,value_ood,,,,,3006008,30,60,2.0,3,0,29,,,1,191.0,166,0.13089005235602094,2,0,0,1,1,0.015411321073770523,0.01818318199366331,0.002027250826358795,188,0.015706806282722512,5,5,0.0007517607882618904,0.0027790116146206856,0,2,0
tropical,shortest_path,value_ood,,,,,3006009,30,60,2.0,4,0,29,,,1,291.0,291,0.0,0,1,1,1,1,0.015860339626669884,0.018787691369652748,0.0019188616424798965,291,0.0,5,5,0.0007036002352833748,0.0026224618777632713,1,0,1
tropical,shortest_path,value_ood,,,,,3006010,30,60,2.0,5,0,29,,,1,275.0,250,0.09090909090909091,2,0,0,1,1,0.017547461204230785,0.020303702913224697,0.0018986724317073822,273,0.007272727272727273,5,5,0.0019955309107899666,0.003894203342497349,0,2,0
tropical,shortest_path,value_ood,,,,,3006011,30,60,2.0,6,0,29,,,1,75.0,75,0.0,0,1,1,1,1,0.01813796255737543,0.020801404491066933,0.0020113512873649597,75,0.0,5,5,0.0005623111501336098,0.0025736624374985695,1,0,1
tropical,shortest_path,value_ood,,,,,3006012,30,60,2.0,7,0,29,,,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.026513957418501377,0.029302208684384823,0.001992550678551197,82,0.023809523809523808,5,5,0.0006435001268982887,0.0026360508054494858,0,2,0
tropical,shortest_path,value_ood,,,,,3006013,30,60,2.0,8,0,29,,,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.018560102209448814,0.02132269460707903,0.0019006412476301193,62,0.0,5,5,0.000616811215877533,0.0025174524635076523,1,0,1
tropical,shortest_path,value_ood,,,,,3006014,30,60,2.0,9,0,29,,,1,191.0,165,0.13612565445026178,2,0,0,1,1,0.01954395230859518,0.022340684197843075,0.0019508907571434975,185,0.031413612565445025,5,5,0.0006717508658766747,0.002622641623020172,0,2,0
tropical,shortest_path,value_ood,,,,,3006015,30,60,2.0,10,0,29,,,1,107.0,107,0.0,0,1,1,1,1,0.01943128276616335,0.02228959370404482,0.0019229715690016747,107,0.0,5,5,0.0006678905338048935,0.002590862102806568,1,0,1
tropical,shortest_path,value_ood,,,,,3006016,30,60,2.0,11,0,29,,,1,101.0,66,0.3465346534653465,2,0,0,1,1,0.017527171410620213,0.022040383890271187,0.0019516507163643837,82,0.18811881188118812,5,5,0.0005574896931648254,0.002509140409529209,0,2,0
tropical,shortest_path,value_ood,,,,,3006017,30,60,2.0,12,0,29,,,1,163.0,163,0.0,0,1,1,1,1,0.014768620021641254,0.01750073116272688,0.0018881810829043388,163,0.0,5,5,0.0006596902385354042,0.002547871321439743,1,0,1
tropical,shortest_path,value_ood,,,,,3006018,30,60,2.0,13,0,29,,,1,243.0,196,0.1934156378600823,2,0,0,1,1,0.017336460761725903,0.020019873045384884,0.0019317707046866417,243,0.0,5,5,0.000665850006043911,0.0025976207107305527,1,0,1
tropical,shortest_path,value_ood,,,,,3006019,30,60,2.0,14,0,29,,,1,104.99999999999999,105,-1.3534147347811433e-16,0,1,1,1,1,0.016737311147153378,0.019453642889857292,0.0019110608845949173,105,-1.3534147347811433e-16,5,5,0.0005975505337119102,0.0025086114183068275,1,0,1
tropical,shortest_path,value_ood,,,,,3006020,30,60,2.0,15,0,29,,,1,153.0,127,0.16993464052287582,2,0,0,1,1,0.019460362382233143,0.022254444658756256,0.0020219413563609123,127,0.16993464052287582,5,5,0.0007124505937099457,0.002734391950070858,0,2,0
tropical,shortest_path,value_ood,,,,,3006021,30,60,2.0,16,0,29,,,1,201.0,201,0.0,0,1,1,1,1,0.016435391269624233,0.02082903403788805,0.0019596805796027184,201,0.0,5,5,0.0007039206102490425,0.002663601189851761,1,0,1
tropical,shortest_path,value_ood,,,,,3006022,30,60,2.0,17,0,29,,,1,78.0,78,0.0,0,1,1,1,1,0.01677890121936798,0.019548033364117146,0.0018757712095975876,78,0.0,5,5,0.000526730902493,0.0024025021120905876,1,0,1
tropical,shortest_path,value_ood,,,,,3006023,30,60,2.0,18,0,29,,,1,102.0,61,0.4019607843137255,2,0,0,1,1,0.01827505137771368,0.020991673693060875,0.001919921487569809,94,0.0784313725490196,5,5,0.0005724402144551277,0.0024923617020249367,0,2,0
tropical,shortest_path,value_ood,,,,,3006024,30,60,2.0,19,0,29,,,1,100.0,100,0.0,0,1,1,1,1,0.015482960268855095,0.01820232067257166,0.001965622417628765,100,0.0,5,5,0.0005411598831415176,0.0025067823007702827,1,0,1
tropical,shortest_path,value_ood,,,,,3009005,30,90,3.0,0,0,29,,,1,104.0,77,0.25961538461538464,2,0,0,1,1,0.022326644510030746,0.025790007784962654,0.002103501930832863,98,0.057692307692307696,5,5,0.0007418598979711533,0.002845361828804016,0,2,0
