model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,13,0.2777777777777937,8,0,1,5,5,0.9082556534558535,0.9166335798799992,0.21001714374870062,15,0.1666666666666851,9,126,0.03346592653542757,0.2434830702841282,0,10,0
tropical,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,14,0.1764705882352943,6,0,2,5,5,0.2063425127416849,0.21321828849613667,0.0024480968713760376,14,0.1764705882352943,9,126,0.033514637500047684,0.03596273437142372,0,6,2
tropical,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,14,0.2631578947368883,7,0,1,5,4,0.8806571066379547,0.8881117971614003,0.002919284626841545,14,0.2631578947368883,9,126,0.032972509041428566,0.03589179366827011,0,7,1
tropical,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,15,0.21052631578947367,4,0,3,5,5,0.05444758851081133,0.06110070366412401,0.0022566579282283783,15,0.21052631578947367,9,126,0.03413872420787811,0.03639538213610649,0,4,3
tropical,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,12,0.2941176470588492,7,0,1,5,4,0.6742602037265897,0.6805145805701613,0.0023990580812096596,15,0.1176470588235615,9,126,0.03347427770495415,0.03587333578616381,0,7,1
tropical,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,15,0.2500000000000141,10,0,0,5,5,0.9850776363164186,0.9914704822003841,0.002401466481387615,18,0.10000000000001695,9,126,0.033880733884871006,0.03628220036625862,0,8,1
tropical,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,13,0.23529411764706154,8,0,1,5,5,0.9050890197977424,0.9114578468725085,0.002520756796002388,13,0.23529411764706154,9,126,0.03268116153776646,0.035201918333768845,0,8,1
tropical,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,14,0.22222222222222698,10,0,0,5,5,0.6346411285921931,0.6410950142890215,0.0024285977706313133,14,0.22222222222222698,9,126,0.0328711299225688,0.03529972769320011,0,10,0
tropical,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,14,0.26315789473685025,8,0,1,5,5,0.5494551695883274,0.5558356065303087,0.002373858354985714,16,0.15789473684211455,9,126,0.033041358925402164,0.03541521728038788,0,8,1
tropical,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,15,0.2500000000000417,9,0,0,5,4,0.9204756896942854,0.9277564333751798,0.002396627329289913,15,0.2500000000000417,9,126,0.03313394822180271,0.035530575551092625,0,9,0
