model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,14,0.22222222222223942,8,0,1,5,5,0.9113177666440606,0.9196300469338894,0.17700552847236395,14,0.22222222222223942,9,126,0.034184033051133156,0.2111895615234971,0,8,1
tropical,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,12,0.29411764705882365,10,0,0,5,5,0.2011187318712473,0.20776419062167406,0.0024255281314253807,12,0.29411764705882365,9,126,0.033321768045425415,0.035747296176850796,0,10,0
tropical,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,16,0.15789473684215802,7,0,1,5,4,0.8771338723599911,0.8843419877812266,0.0028908057138323784,16,0.15789473684215802,9,126,0.03371830563992262,0.036609111353755,0,7,1
tropical,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,11,0.42105263157894735,10,0,0,5,5,0.0540818776935339,0.06056773569434881,0.002233068458735943,12,0.3684210526315789,9,126,0.03488168027251959,0.03711474873125553,0,10,0
tropical,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,10,0.41176470588237435,7,0,1,5,4,0.6716805128380656,0.6777970129624009,0.0023660091683268547,10,0.41176470588237435,9,126,0.033372717909514904,0.03573872707784176,0,7,1
tropical,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,15,0.2500000000000141,8,0,1,5,5,0.9834068659693003,0.9896370964124799,0.0023555681109428406,16,0.20000000000001505,9,126,0.03412808384746313,0.03648365195840597,0,8,1
tropical,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,15,0.11764705882353255,8,0,1,5,5,0.8999985624104738,0.9063073806464672,0.0024906573817133904,16,0.05882352941176805,9,126,0.0338576752692461,0.03634833265095949,0,8,1
tropical,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,13,0.2777777777777822,10,0,0,5,5,0.6317145274952054,0.6379496874287724,0.002393648959696293,13,0.2777777777777822,9,126,0.03355295769870281,0.035946606658399105,0,10,0
tropical,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,15,0.2105263157894824,6,0,2,5,5,0.5503691425547004,0.5566720813512802,0.0023445477709174156,15,0.2105263157894824,9,126,0.03375232499092817,0.03609687276184559,0,6,2
tropical,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,18,0.10000000000005003,7,0,1,5,4,0.9205370415002108,0.9279050966724753,0.002403457649052143,18,0.10000000000005003,9,126,0.03396539483219385,0.036368852481245995,0,7,1
tropical,shortest_path,wood,13,7,7,,13015,51,188,3.6862745098039214,10,0,50,,,5,15.000000000000018,11,0.26666666666666755,10,0,0,5,5,0.12202629633247852,0.12837079633027315,0.002287588082253933,13,0.13333333333333436,9,126,0.033734225668013096,0.03602181375026703,0,10,0
tropical,shortest_path,wood,13,7,7,,13016,51,188,3.6862745098039214,11,0,50,,,5,20.00000000000065,14,0.30000000000002275,10,0,0,5,5,0.5736829992383718,0.5812548222020268,0.0023783575743436813,16,0.20000000000002602,9,126,0.03392454516142607,0.03630290273576975,0,10,0
tropical,shortest_path,wood,13,7,7,,13017,51,188,3.6862745098039214,12,0,50,,,5,18.000000000011784,9,0.5000000000003273,8,0,1,5,5,0.5356646748259664,0.5419581038877368,0.0023481687530875206,9,0.5000000000003273,9,126,0.03222657274454832,0.03457474149763584,0,8,1
tropical,shortest_path,wood,13,7,7,,13018,51,188,3.6862745098039214,13,0,50,,,5,17.000000000000394,14,0.17647058823531322,8,0,1,5,5,0.5165990367531776,0.5243083694949746,0.0023764483630657196,15,0.11764705882354988,9,126,0.03444563318043947,0.03682208154350519,0,8,1
tropical,shortest_path,wood,13,7,7,,13019,51,188,3.6862745098039214,14,0,50,,,5,16.0,9,0.4375,10,0,0,5,5,0.0618477389216423,0.06810840871185064,0.0022471388801932335,10,0.375,9,126,0.033097829669713974,0.03534496854990721,0,10,0
tropical,shortest_path,wood,13,7,7,,13020,51,188,3.6862745098039214,15,0,50,,,5,16.00000000000117,9,0.4375000000000411,10,0,0,5,5,0.9443854168057442,0.952206177636981,0.002809366211295128,10,0.37500000000004563,9,126,0.03285306040197611,0.035662426613271236,0,10,0
tropical,shortest_path,wood,13,7,7,,13021,51,188,3.6862745098039214,16,0,50,,,5,20.000000000000092,17,0.15000000000000394,8,0,1,5,5,0.41560336761176586,0.4225549250841141,0.0023184893652796745,19,0.05000000000000439,9,126,0.0349022401496768,0.037220729514956474,0,8,1
tropical,shortest_path,wood,13,7,7,,13022,51,188,3.6862745098039214,17,0,50,,,5,19.000000000006096,14,0.2631578947370785,10,0,0,5,5,1.2631318354979157,1.2692512460052967,0.0029038460925221443,15,0.210526315789727,9,126,0.033402957022190094,0.03630680311471224,0,10,0
tropical,shortest_path,wood,13,7,7,,13023,51,188,3.6862745098039214,18,0,50,,,5,17.0,13,0.23529411764705882,8,0,1,5,5,0.1280810358002782,0.13450397551059723,0.0023570386692881584,13,0.23529411764705882,9,126,0.03343743644654751,0.03579447511583567,0,8,1
tropical,shortest_path,wood,13,7,7,,13024,51,188,3.6862745098039214,19,0,50,,,5,18.000000000023764,15,0.16666666666776686,10,0,0,5,5,0.9348858837038279,0.9413442024961114,0.0027004871517419815,15,0.16666666666776686,9,126,0.03381702583283186,0.03651751298457384,0,10,0
tropical,shortest_path,wood,13,7,7,,13025,51,188,3.6862745098039214,20,0,50,,,5,17.000000000009123,13,0.23529411764746921,8,0,1,5,5,1.1586241740733385,1.1653804006054997,0.0025411276146769524,13,0.23529411764746921,9,126,0.0328656705096364,0.035406798124313354,0,8,1
tropical,shortest_path,wood,13,7,7,,13026,51,188,3.6862745098039214,21,0,50,,,5,15.000000000000016,8,0.46666666666666723,10,0,0,5,5,0.7359209200367332,0.7423035390675068,0.0027844561263918877,9,0.40000000000000063,9,126,0.03342545870691538,0.036209914833307266,0,10,0
tropical,shortest_path,wood,13,7,7,,13027,51,188,3.6862745098039214,22,0,50,,,5,19.00000000000169,15,0.21052631578954395,10,0,0,5,5,1.2749541886150837,1.2813801169395447,0.002483157441020012,15,0.21052631578954395,9,126,0.03424885310232639,0.036732010543346405,0,10,0
tropical,shortest_path,wood,13,7,7,,13028,51,188,3.6862745098039214,23,0,50,,,5,16.000000000000025,9,0.4375000000000009,10,0,0,5,5,0.6539415493607521,0.6604080181568861,0.002666897140443325,11,0.31250000000000105,9,126,0.03310636896640062,0.03577326610684395,0,8,1
tropical,shortest_path,wood,13,7,7,,13029,51,188,3.6862745098039214,24,0,50,,,5,19.00000000001029,16,0.15789473684256128,8,0,1,5,5,0.38070462830364704,0.38868461921811104,0.002390247769653797,16,0.15789473684256128,9,126,0.034596932120621204,0.036987179890275,0,8,1
tropical,shortest_path,wood,13,7,7,,13030,51,188,3.6862745098039214,25,0,50,,,5,18.000000000000004,13,0.2777777777777779,10,0,0,5,5,0.8837137324735522,0.8901365399360657,0.0025250371545553207,14,0.22222222222222238,9,126,0.03428204357624054,0.03680708073079586,0,10,0
tropical,shortest_path,wood,13,7,7,,13031,51,188,3.6862745098039214,26,0,50,,,5,17.0,10,0.4117647058823529,10,0,0,5,5,0.23985528387129307,0.24786515440791845,0.0023621488362550735,11,0.35294117647058826,9,126,0.03304740879684687,0.03540955763310194,0,10,0
