n_nodes,n_edges,density,replication,attack_limit,interdiction_penalty,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
30,75,2.5,0,1,1,24.0,24,0.0,2,0,73,1,1,0.057139502838253975,0.10493920464068651,0.5671417443081737
30,75,2.5,1,1,1,27.0,26,0.037037037037037035,2,0,73,1,1,0.008550882339477539,0.011263296008110046,0.004739055410027504
30,75,2.5,2,1,1,15.0,15,0.0,2,0,73,1,1,0.010221987962722778,0.012553161010146141,0.004599615931510925
30,75,2.5,3,1,1,17.0,17,0.0,0,1,75,1,1,0.01199688296765089,0.014328225515782833,0.004678124561905861
30,75,2.5,4,1,1,14.0,13,0.07142857142857142,2,0,73,1,1,0.010132139548659325,0.012580310925841331,0.0045586759224534035
30,75,2.5,5,1,1,17.0,17,0.0,2,0,73,1,1,0.009939129464328289,0.012308851815760136,0.004601606167852879
30,75,2.5,6,1,1,14.0,14,0.0,2,0,73,1,1,0.01020731870085001,0.012589750811457634,0.0045769959688186646
30,75,2.5,7,1,1,12.0,12,0.0,0,1,75,1,1,0.008764523081481457,0.011107576079666615,0.004491625353693962
30,75,2.5,8,1,1,11.0,11,0.0,0,1,75,1,1,0.009684639982879162,0.013162580318748951,0.004818154498934746
30,75,2.5,9,1,1,20.0,20,0.0,2,0,73,1,1,0.006929648108780384,0.009250850416719913,0.004276266321539879
30,75,2.5,10,1,1,33.0,33,0.0,2,0,73,1,1,0.009791688993573189,0.012013332918286324,0.004573174752295017
30,75,2.5,11,1,1,27.0,27,0.0,0,1,75,1,1,0.0108198756352067,0.013169999234378338,0.004719565622508526
30,75,2.5,12,1,1,22.0,22,0.0,2,0,73,1,1,0.010896955616772175,0.013264179229736328,0.004571516066789627
30,75,2.5,13,1,1,6.0,6,0.0,0,1,75,1,1,0.008454023860394955,0.010752305388450623,0.004451556131243706
30,75,2.5,14,1,1,14.0,13,0.07142857142857142,2,0,73,1,1,0.009904700331389904,0.012189521454274654,0.004517475143074989
30,75,2.5,15,1,1,13.0,13,0.0,0,1,75,1,1,0.009563169442117214,0.011847423389554024,0.00454044621437788
30,75,2.5,16,1,1,21.0,21,0.0,2,0,73,1,1,0.009622440673410892,0.011960123665630817,0.004523326642811298
30,75,2.5,17,1,1,19.0,19,0.0,2,0,73,1,1,0.008815012872219086,0.011118865571916103,0.004562726244330406
30,75,2.5,18,1,1,22.0,21,0.045454545454545456,2,0,73,1,1,0.01165053341537714,0.014012496918439865,0.004560725763440132
30,75,2.5,19,1,1,8.0,8,0.0,0,1,75,1,1,0.015885851345956326,0.01812618412077427,0.005037694238126278
30,120,4.0,0,1,1,10.0,10,0.0,0,1,120,1,1,0.016885078512132168,0.020199398510158062,0.004934945143759251
30,120,4.0,1,1,1,17.0,16,0.058823529411764705,2,0,118,1,1,0.008900451473891735,0.011967993341386318,0.004275105893611908
30,120,4.0,2,1,1,16.0,15,0.0625,2,0,118,1,1,0.00931606162339449,0.012267012149095535,0.004257817752659321
30,120,4.0,3,1,1,13.0,12,0.07692307692307693,2,0,118,1,1,0.015065873973071575,0.01799194421619177,0.004573605954647064
30,120,4.0,4,1,1,10.0,10,0.0,2,0,118,1,1,0.014788854867219925,0.01781226508319378,0.004631116054952145
30,120,4.0,5,1,1,14.0,14,0.0,2,0,118,1,1,0.01262982003390789,0.015774251893162727,0.00456896610558033
30,120,4.0,6,1,1,13.0,12,0.07692307692307693,2,0,118,1,1,0.019543729722499847,0.022653899155557156,0.004640375263988972
30,120,4.0,7,1,1,8.0,8,0.0,0,1,120,1,1,0.014588515274226665,0.01765365432947874,0.005013364367187023
30,120,4.0,8,1,1,17.0,17,0.0,2,0,118,1,1,0.009507070295512676,0.012502871453762054,0.004352916963398457
30,120,4.0,9,1,1,8.0,8,0.0,0,1,120,1,1,0.010057088918983936,0.01295527908951044,0.004356836900115013
30,120,4.0,10,1,1,8.0,8,0.0,0,1,120,1,1,0.014830394648015499,0.017810135148465633,0.004543516784906387
30,120,4.0,11,1,1,6.0,6,0.0,0,1,120,1,1,0.015222663059830666,0.01817541290074587,0.004562625661492348
30,120,4.0,12,1,1,11.0,11,0.0,0,1,120,1,1,0.011581853963434696,0.01459888368844986,0.004574356600642204
30,120,4.0,13,1,1,4.0,4,0.0,0,1,120,1,1,0.012543581426143646,0.015551021322607994,0.004616815596818924
30,120,4.0,14,1,1,18.0,18,0.0,2,0,118,1,1,0.023968026041984558,0.027033106423914433,0.004633516073226929
30,120,4.0,15,1,1,11.0,11,0.0,2,0,118,1,1,0.009067611768841743,0.012083092704415321,0.00432552769780159
30,120,4.0,16,1,1,8.0,8,0.0,2,0,118,1,1,0.019015470519661903,0.021965961903333664,0.004549316130578518
30,120,4.0,17,1,1,6.0,6,0.0,0,1,120,1,1,0.012193982489407063,0.015252373181283474,0.0045484257861971855
30,120,4.0,18,1,1,12.0,11,0.08333333333333333,2,0,118,1,1,0.01634573843330145,0.019360309466719627,0.0049298955127596855
30,120,4.0,19,1,1,16.0,16,0.0,0,1,120,1,1,0.009012541733682156,0.012000911869108677,0.004245356656610966
50,125,2.5,0,1,1,27.0,27,0.0,2,0,123,1,1,0.013148229569196701,0.016381549648940563,0.004621515981853008
50,125,2.5,1,1,1,24.0,24,0.0,2,0,123,1,1,0.01717015728354454,0.02031724713742733,0.004620605148375034
50,125,2.5,2,1,1,28.0,27,0.03571428571428571,2,0,123,1,1,0.013145419768989086,0.016364440321922302,0.0045966459438204765
