model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
tropical_v2,min_cost_flow,ood_size,10020005,100,200,2.0,0,1,171.0,150,0.12280701754385964,2,0,0,1,1,0.18231971748173237,0.19474143255501986,0.8494110023602843
tropical_v2,min_cost_flow,ood_size,10020006,100,200,2.0,1,1,194.0,166,0.14432989690721648,2,0,0,1,1,0.03837869968265295,0.05255900789052248,0.0056820036843419075
tropical_v2,min_cost_flow,ood_size,10020007,100,200,2.0,2,1,70.0,68,0.02857142857142857,2,0,0,1,1,0.04108979180455208,0.05572346970438957,0.005447623319923878
tropical_v2,min_cost_flow,ood_size,10020008,100,200,2.0,3,1,76.0,58,0.23684210526315788,2,0,0,1,1,0.037411450408399105,0.04808120522648096,0.005369353108108044
tropical_v2,min_cost_flow,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.03822044096887112,0.04917175602167845,0.005499653518199921
tropical_v2,min_cost_flow,ood_size,10020010,100,200,2.0,5,1,138.00000000000006,119,0.13768115942029022,2,0,0,1,1,0.048961807042360306,0.06015683151781559,0.005471842363476753
tropical_v2,min_cost_flow,ood_size,10020011,100,200,2.0,6,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.03484694845974445,0.045226904563605785,0.005367642268538475
tropical_v2,min_cost_flow,ood_size,10020012,100,200,2.0,7,1,76.0,76,0.0,0,1,1,1,1,0.036558570340275764,0.04791115503758192,0.005363172851502895
tropical_v2,min_cost_flow,ood_size,10020013,100,200,2.0,8,1,94.0,78,0.1702127659574468,2,0,0,1,1,0.042625381611287594,0.053722769021987915,0.005428622476756573
tropical_v2,min_cost_flow,ood_size,10020014,100,200,2.0,9,1,299.0,249,0.16722408026755853,2,0,0,1,1,0.041390303522348404,0.055348219349980354,0.005542532540857792
tropical_v2,min_cost_flow,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.03707375004887581,0.04806856531649828,0.005395933054387569
