model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,5,1,6,1,789.9782540400003,694.0540241159998,0.12142641830131104,2,0,0,1,1,3.3252129033207893,3.5026652039960027,0.7052591145038605,694.0540241159998,0.12142641830131104,5,5,0.04347676690667868,0.7487358814105392,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,6,1,7,1,280.08370324500004,184.159473321,0.342484153175065,2,0,0,1,1,3.539872841909528,3.6280365381389856,0.03919926006346941,184.159473321,0.342484153175065,5,5,0.0257063377648592,0.06490559782832861,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,7,1,8,1,255.830073369,159.905843445,0.3749529078453665,2,0,0,1,1,2.6575803784653544,2.745037365704775,0.03880567755550146,159.905843445,0.3749529078453665,5,5,0.02512250281870365,0.06392818037420511,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,8,1,9,1,256.58074938100003,160.656519457,0.3738559114641953,2,0,0,1,1,2.5383748719468713,2.626072311773896,0.03934036195278168,160.656519457,0.3738559114641953,5,5,0.025320113636553288,0.06466047558933496,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,974,1,1077,1,899.1750408960002,803.2508109719998,0.10668026308694555,2,0,0,1,1,3.794062743894756,4.055981263518333,0.03934754244983196,816.7692225699999,0.09164602505412674,5,5,0.030375746078789234,0.0697232885286212,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,5,2,6,1,514.9089634040001,418.98473348000005,0.18629357176044625,2,0,0,1,1,2.6415882632136345,2.8888739589601755,0.03890921827405691,418.98473348000005,0.18629357176044625,5,5,0.029451829381287098,0.06836104765534401,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,6,2,7,1,297.811966938,201.887737014,0.32209662664082933,2,0,0,1,1,3.581046437844634,3.675276320427656,0.03889804799109697,201.887737014,0.32209662664082933,5,5,0.02432994544506073,0.0632279934361577,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,7,2,8,1,370.4465909210001,274.522360997,0.2589421316727854,2,0,0,1,1,3.080866537988186,3.1677875509485602,0.039113109931349754,274.522360997,0.2589421316727854,5,5,0.026820465922355652,0.0659335758537054,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,8,2,9,1,370.83665136100007,274.912421437,0.25866976624869875,2,0,0,1,1,3.093871886841953,3.3313058000057936,0.0391970407217741,274.912421437,0.25866976624869875,5,5,0.026011399924755096,0.0652084406465292,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,974,2,1077,1,670.4066383000004,574.482408376,0.14308365168823892,2,0,0,1,1,2.776710942387581,3.0122318286448717,0.03905831929296255,574.482408376,0.14308365168823892,5,5,0.030420295894145966,0.06947861518710852,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,5,3,6,1,428.60041319900006,189.22622590600002,0.5585019984146822,2,0,0,1,1,2.7255864003673196,2.8121908120810986,0.038938689045608044,189.22622590600002,0.5585019984146822,5,5,0.022914663888514042,0.061853352934122086,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,6,3,7,1,464.7506309100203,368.8264009859999,0.20639935385605132,2,0,0,1,1,4.011174865067005,4.0988646652549505,0.03915765043348074,368.8264009859999,0.20639935385605132,5,5,0.0261814808472991,0.06533913128077984,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,7,3,8,1,573.7830633230004,477.85883339900016,0.16717856635304956,2,0,0,1,1,2.7200110843405128,2.808694272302091,0.039108019322156906,477.85883339900016,0.16717856635304956,5,5,0.027937935665249825,0.06704595498740673,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,8,3,9,1,574.173123763,478.2488938390001,0.1670649947795089,2,0,0,1,1,3.257013153284788,3.51811361964792,0.03896224498748779,478.2488938390001,0.1670649947795089,5,5,0.02804516814649105,0.06700741313397884,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,974,3,1077,1,584.0980880950001,344.72390080200006,0.409818474280072,2,0,0,1,1,2.603325848467648,2.8125682501122355,0.039080554619431496,344.72390080200006,0.409818474280072,5,5,0.025503826327621937,0.06458438094705343,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,3,5,4,6,1,630.1002453479999,534.176015424,0.1522364586146474,2,0,0,1,1,2.7876695934683084,2.8753646593540907,0.03894747421145439,534.176015424,0.1522364586146474,5,5,0.030024687759578228,0.06897216197103262,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,3,6,4,7,1,153.62551313900002,57.701283215000004,0.6244029911698846,2,0,0,1,1,2.9384640092030168,3.0248947329819202,0.039102005772292614,57.701283215000004,0.6244029911698846,5,5,0.02248886413872242,0.061590869911015034,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,3,7,4,8,1,211.68229524000003,115.75806531600003,0.45315187940136203,2,0,0,1,1,2.5266521712765098,2.7591463765129447,0.038899194449186325,115.75806531600003,0.45315187940136203,5,5,0.023599665611982346,0.06249886006116867,0,2,0
tropical_v2,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,3,8,4,9,1,212.07235568000002,116.14812575600001,0.45231840621764907,2,0,0,1,1,2.52407889906317,2.732009439729154,0.03875797335058451,116.14812575600001,0.45231840621764907,5,5,0.02349753398448229,0.062255507335066795,0,2,0
