model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.14286053366959095,0.147860967554152,0.7060877354815602,11,0.0,5,5,0.014097128994762897,0.7201848644763231,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,22,0.3125,2,0,0,1,1,0.019141371361911297,0.02266689296811819,0.005239773541688919,29,0.09375,5,5,0.0005680099129676819,0.005807783454656601,0,2,0
tropical_v2,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.01617196947336197,0.01906710024923086,0.0049809422343969345,35,0.0,5,5,0.0007823603227734566,0.005763302557170391,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,30,0.16666666666666666,2,0,0,1,1,0.016143408603966236,0.018938840366899967,0.004805232398211956,35,0.027777777777777776,5,5,0.0006795600056648254,0.0054847924038767815,0,2,0
tropical_v2,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,56,0.0,0,1,1,1,1,0.017033410258591175,0.01987702213227749,0.004726912826299667,56,0.0,5,5,0.0007103802636265755,0.005437293089926243,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.015271979384124279,0.018068901263177395,0.004826873540878296,49,0.0,5,5,0.0006786612793803215,0.005505534820258617,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.019671832211315632,0.022518073208630085,0.00487552210688591,14,2.537652627714643e-16,5,5,0.000542190857231617,0.005417712964117527,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.02676431555300951,0.029600707814097404,0.004935363307595253,15,3.5527136788004996e-16,5,5,0.0006286809220910072,0.00556404422968626,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.018112090416252613,0.020916451700031757,0.004748961888253689,11,0.0,5,5,0.0005732113495469093,0.005322173237800598,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,34,0.0,2,0,0,1,1,0.026630056090652943,0.02948415745049715,0.004866921342909336,34,0.0,5,5,0.0007162401452660561,0.005583161488175392,0,2,0
tropical_v2,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.01896446105092764,0.021839682944118977,0.004895723424851894,18,0.0,5,5,0.0006137508898973465,0.005509474314749241,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,14,0.2631578947368421,2,0,0,1,1,0.01936518121510744,0.02227915357798338,0.004818912595510483,19,0.0,5,5,0.0006078304722905159,0.005426743067800999,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,30,0.0,2,0,0,1,1,0.017290729098021984,0.020145341753959656,0.004692842252552509,30,0.0,5,5,0.0006610304117202759,0.005353872664272785,0,2,0
tropical_v2,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.014600078575313091,0.017549339681863785,0.004722602665424347,48,0.0,5,5,0.0006898613646626472,0.005412464030086994,1,0,1
tropical_v2,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.017727050930261612,0.02062660176306963,0.004626553505659103,20,0.0,5,5,0.0005712099373340607,0.005197763442993164,1,0,1
