model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,11,0.0,0,1,1,1,1,0.16545931156724691,0.17039732076227665,0.6035187486559153,11,0.0,5,5,0.01311786100268364,0.6166366096585989,1,0,1
tropical_v2,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.018917515873908997,0.022468149662017822,0.005263476632535458,22,0.3125,5,5,0.0006025964394211769,0.0058660730719566345,0,2,0
tropical_v2,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.015971548855304718,0.018900955095887184,0.004815638065338135,35,0.0,5,5,0.0006511872634291649,0.0054668253287673,1,0,1
tropical_v2,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015691890381276608,0.018584187142550945,0.004741009324789047,35,0.027777777777777776,5,5,0.000713166780769825,0.005454176105558872,0,2,0
tropical_v2,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.01630431693047285,0.01915543433278799,0.004653259180486202,56,0.0,5,5,0.0006710467860102654,0.005324305966496468,1,0,1
tropical_v2,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.01459200493991375,0.01745464187115431,0.00469810888171196,49,0.0,5,5,0.0006779870018362999,0.00537609588354826,1,0,1
tropical_v2,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.01766056101769209,0.020440349355340004,0.004674559459090233,14,2.537652627714643e-16,5,5,0.0005537886172533035,0.005228348076343536,1,0,1
tropical_v2,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025618924759328365,0.02991088666021824,0.004821718670427799,15,3.5527136788004996e-16,5,5,0.0006348779425024986,0.005456596612930298,1,0,1
tropical_v2,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01767533179372549,0.02050136774778366,0.004686909727752209,11,0.0,5,5,0.0005879569798707962,0.005274866707623005,1,0,1
tropical_v2,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.0255530858412385,0.028385153971612453,0.0047210585325956345,34,0.0,5,5,0.000748717226088047,0.0054697757586836815,0,2,0
tropical_v2,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01848598849028349,0.02122142445296049,0.004684858955442905,18,0.0,5,5,0.0006338171660900116,0.005318676121532917,1,0,1
tropical_v2,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,14,0.2631578947368421,2,0,0,1,1,0.016191418282687664,0.01903997454792261,0.0046483296900987625,19,0.0,5,5,0.0005745170637965202,0.005222846753895283,1,0,1
tropical_v2,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,30,0.0,2,0,0,1,1,0.016675756312906742,0.02150371391326189,0.004778308793902397,30,0.0,5,5,0.0006117867305874825,0.00539009552448988,0,2,0
tropical_v2,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,41,0.14583333333333334,2,0,0,1,1,0.014234287664294243,0.017094984650611877,0.004675009287893772,48,0.0,5,5,0.0006694067269563675,0.00534441601485014,1,0,1
tropical_v2,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,20,0.0,0,1,1,1,1,0.016968125477433205,0.019749431870877743,0.004640609957277775,20,0.0,5,5,0.0005807466804981232,0.005221356637775898,1,0,1
tropical_v2,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.0183930778875947,0.021221835166215897,0.0047099292278289795,27,0.0,5,5,0.0006708176806569099,0.0053807469084858894,1,0,1
tropical_v2,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,34,0.10526315789473684,2,0,0,1,1,0.01707033347338438,0.019922451116144657,0.004694919101893902,38,0.0,5,5,0.0007368661463260651,0.005431785248219967,1,0,1
tropical_v2,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.01962144300341606,0.022367150522768497,0.004693498834967613,15,0.0,5,5,0.0005612475797533989,0.005254746414721012,1,0,1
tropical_v2,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,17,0.0,2,0,0,1,1,0.017133504152297974,0.01998446136713028,0.004669070243835449,17,0.0,5,5,0.0005841078236699104,0.00525317806750536,0,2,0
tropical_v2,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01729556266218424,0.02016833983361721,0.0046755289658904076,18,0.0,5,5,0.0006046276539564133,0.005280156619846821,1,0,1
tropical_v2,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.021988782100379467,0.025498555973172188,0.004769668914377689,16,0.15789473684210525,5,5,0.0008082175627350807,0.00557788647711277,0,2,0
tropical_v2,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,19,0.05,2,0,0,1,1,0.03149112034589052,0.03504234366118908,0.004722069017589092,20,0.0,5,5,0.0008299360051751137,0.005552005022764206,1,0,1
tropical_v2,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,21,0.19230769230769232,2,0,0,1,1,0.022345670498907566,0.02791427541524172,0.004806768149137497,26,0.0,5,5,0.0009311065077781677,0.005737874656915665,1,0,1
tropical_v2,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03544599190354347,0.03903505578637123,0.004753028973937035,17,0.0,5,5,0.0009109657257795334,0.005663994699716568,1,0,1
tropical_v2,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.029887325130403042,0.033501630648970604,0.004833487793803215,17,0.0,5,5,0.000896945595741272,0.005730433389544487,0,2,0
tropical_v2,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,16,0.0,0,1,1,1,1,0.024466220289468765,0.028074814938008785,0.004781179130077362,16,0.0,5,5,0.0008878055959939957,0.005668984726071358,1,0,1
tropical_v2,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,21,0.0,0,1,1,1,1,0.02342790551483631,0.1260827062651515,0.0051820967346429825,21,0.0,5,5,0.0007951967418193817,0.005977293476462364,1,0,1
tropical_v2,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.022405249997973442,0.02599070407450199,0.004771827720105648,17,0.05555555555555574,5,5,0.000798066146671772,0.00556989386677742,0,2,0
tropical_v2,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.023453105241060257,0.027029679156839848,0.004750429652631283,12,0.0,5,5,0.0007912758737802505,0.005541705526411533,1,0,1
tropical_v2,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,16,0.0,0,1,1,1,1,0.02259874902665615,0.027614555321633816,0.004807177931070328,16,0.0,5,5,0.0007748175412416458,0.005581995472311974,1,0,1
tropical_v2,shortest_path,id_new,,,3009015,30,90,3.0,10,0,29,1,13.0,13,0.0,0,1,1,1,1,0.022880488075315952,0.026477872394025326,0.004810187965631485,13,0.0,5,5,0.0007147770375013351,0.00552496500313282,1,0,1
tropical_v2,shortest_path,id_new,,,3009016,30,90,3.0,11,0,29,1,15.0,15,0.0,0,1,1,1,1,0.020943027921020985,0.024569041095674038,0.004663608968257904,15,0.0,5,5,0.0007682060822844505,0.005431815050542355,1,0,1
tropical_v2,shortest_path,id_new,,,3009017,30,90,3.0,12,0,29,1,2.0,2,0.0,0,1,1,1,1,0.021444824524223804,0.025027558207511902,0.004708489403128624,2,0.0,5,5,0.0006665270775556564,0.00537501648068428,1,0,1
tropical_v2,shortest_path,id_new,,,3009018,30,90,3.0,13,0,29,1,21.0,21,0.0,0,1,1,1,1,0.021600413136184216,0.025102589279413223,0.004666638560593128,21,0.0,5,5,0.0007197177037596703,0.0053863562643527985,1,0,1
tropical_v2,shortest_path,id_new,,,3009019,30,90,3.0,14,0,29,1,24.0,16,0.3333333333333333,2,0,0,1,1,0.02257497888058424,0.026140892878174782,0.004755028523504734,24,0.0,5,5,0.0008118357509374619,0.005566864274442196,0,2,0
tropical_v2,shortest_path,id_new,,,3009020,30,90,3.0,15,0,29,1,18.0,18,0.0,0,1,1,1,1,0.024264161475002766,0.027874824590981007,0.004707398824393749,18,0.0,5,5,0.0007913466542959213,0.0054987454786896706,1,0,1
tropical_v2,shortest_path,id_new,,,3009021,30,90,3.0,16,0,29,1,18.000000000000025,16,0.11111111111111234,2,0,0,1,1,0.045492117293179035,0.050978642888367176,0.004873418249189854,18,1.3816108750890817e-15,5,5,0.0008905567228794098,0.0057639749720692635,0,2,0
tropical_v2,shortest_path,id_new,,,3009022,30,90,3.0,17,0,29,1,31.0,24,0.22580645161290322,2,0,0,1,1,0.024106121622025967,0.02775565627962351,0.004721509292721748,31,0.0,5,5,0.0008329460397362709,0.005554455332458019,1,0,1
tropical_v2,shortest_path,id_new,,,3009023,30,90,3.0,18,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.02299368754029274,0.026590431109070778,0.004706069827079773,12,0.0,5,5,0.000710207037627697,0.00541627686470747,1,0,1
tropical_v2,shortest_path,id_new,,,3009024,30,90,3.0,19,0,29,1,18.0,15,0.16666666666666666,2,0,0,1,1,0.024205571971833706,0.027796565555036068,0.004713279195129871,18,0.0,5,5,0.0008708564564585686,0.00558413565158844,1,0,1
tropical_v2,shortest_path,id_new,,,3012005,30,120,4.0,0,0,29,1,22.0,14,0.36363636363636365,2,0,0,1,1,0.025368127040565014,0.031796847470104694,0.004928627982735634,22,0.0,5,5,0.001093994826078415,0.006022622808814049,1,0,1
tropical_v2,shortest_path,id_new,,,3012006,30,120,4.0,1,0,29,1,19.000000000000007,19,3.739698609263684e-16,0,1,1,1,1,0.028340382501482964,0.032627454958856106,0.004779119044542313,19,3.739698609263684e-16,5,5,0.0009828461334109306,0.005761965177953243,1,0,1
tropical_v2,shortest_path,id_new,,,3012007,30,120,4.0,2,0,29,1,11.0,11,0.0,0,1,1,1,1,0.028051545843482018,0.03245789464563131,0.0047586895525455475,11,0.0,5,5,0.0009422553703188896,0.005700944922864437,1,0,1
tropical_v2,shortest_path,id_new,,,3012008,30,120,4.0,3,0,29,1,14.0,14,0.0,0,1,1,1,1,0.027378427796065807,0.03364503011107445,0.004827069118618965,14,0.0,5,5,0.000974215567111969,0.005801284685730934,1,0,1
tropical_v2,shortest_path,id_new,,,3012009,30,120,4.0,4,0,29,1,31.0,22,0.2903225806451613,2,0,0,1,1,0.02629853319376707,0.030618542805314064,0.004774447530508041,26,0.16129032258064516,5,5,0.0010419152677059174,0.005816362798213959,0,2,0
tropical_v2,shortest_path,id_new,,,3012010,30,120,4.0,5,0,29,1,27.0,27,0.0,0,1,1,1,1,0.025109848007559776,0.02945489902049303,0.0047086793929338455,27,0.0,5,5,0.001216493546962738,0.0059251729398965836,1,0,1
tropical_v2,shortest_path,id_new,,,3012011,30,120,4.0,6,0,29,1,16.0,16,0.0,0,1,1,1,1,0.024812809191644192,0.030994721688330173,0.004800918512046337,16,0.0,5,5,0.000958404503762722,0.005759323015809059,1,0,1
tropical_v2,shortest_path,id_new,,,3012012,30,120,4.0,7,0,29,1,8.0,5,0.375,2,0,0,1,1,0.025632385164499283,0.029924556612968445,0.004713959060609341,5,0.375,5,5,0.0008531659841537476,0.005567125044763088,0,2,0
