model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.1808350281789899,0.18573795445263386,0.5751714473590255,11,0.0,4,4,0.012976269237697124,0.5881477165967226,1,0,1
tropical_v2,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.01878646109253168,0.022278394550085068,0.0052216146141290665,23,0.28125,4,4,0.0004757661372423172,0.005697380751371384,0,2,0
tropical_v2,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.015953845344483852,0.018820181488990784,0.004922357387840748,35,0.0,4,4,0.0005684765055775642,0.005490833893418312,1,0,1
tropical_v2,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015624286606907845,0.018517092801630497,0.004844376817345619,34,0.05555555555555555,4,4,0.0005742078647017479,0.005418584682047367,0,2,0
tropical_v2,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.016682681627571583,0.01954066753387451,0.004818386398255825,56,0.0,4,4,0.0005714576691389084,0.005389844067394733,1,0,1
tropical_v2,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.01473621092736721,0.017573687247931957,0.004823828116059303,49,0.0,4,4,0.0005909781903028488,0.005414806306362152,1,0,1
tropical_v2,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.017951966263353825,0.020778232254087925,0.004842246882617474,14,2.537652627714643e-16,4,4,0.0004978077486157417,0.005340054631233215,1,0,1
tropical_v2,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025963157415390015,0.030247637070715427,0.004910426214337349,14,0.066666666666667,4,4,0.0005442863330245018,0.005454712547361851,0,2,0
tropical_v2,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.018186064437031746,0.02103290054947138,0.005205774679780006,11,0.0,4,4,0.0004994170740246773,0.005705191753804684,1,0,1
tropical_v2,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.028409426100552082,0.031230952590703964,0.005229715257883072,34,0.0,4,4,0.0006538257002830505,0.0058835409581661224,0,2,0
tropical_v2,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.019674086943268776,0.022455654107034206,0.005277445539832115,18,0.0,4,4,0.000538247637450695,0.00581569317728281,1,0,1
tropical_v2,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,19,0.0,0,1,1,1,1,0.016705060377717018,0.019585438072681427,0.0052321963012218475,19,0.0,4,4,0.0005064886063337326,0.00573868490755558,1,0,1
tropical_v2,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.01734230760484934,0.022001275792717934,0.005316425114870071,30,0.0,4,4,0.0005273083224892616,0.005843733437359333,0,2,0
tropical_v2,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.014918879605829716,0.017784105613827705,0.005202646367251873,48,0.0,4,4,0.0005771787837147713,0.005779825150966644,1,0,1
tropical_v2,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,20,0.0,0,1,1,1,1,0.01764114759862423,0.02050736267119646,0.00519474595785141,20,0.0,4,4,0.0004945481196045876,0.0056892940774559975,1,0,1
