model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
tropical_v2,shortest_path,ood_size,10020005,100,200,2.0,0,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.1720087118446827,0.17866554204374552,0.6431071772240102
tropical_v2,shortest_path,ood_size,10020006,100,200,2.0,1,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.03531768172979355,0.04103771597146988,0.00571796391159296
tropical_v2,shortest_path,ood_size,10020007,100,200,2.0,2,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.11826050188392401,0.12358689773827791,0.0056920950300991535
tropical_v2,shortest_path,ood_size,10020008,100,200,2.0,3,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.03683873591944575,0.04237382113933563,0.005263795610517263
tropical_v2,shortest_path,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.036818064749240875,0.041941683273762465,0.0053441161289811134
tropical_v2,shortest_path,ood_size,10020010,100,200,2.0,5,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.047854647040367126,0.05299369432032108,0.005443876143544912
tropical_v2,shortest_path,ood_size,10020011,100,200,2.0,6,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.032347514759749174,0.03750070324167609,0.005337676033377647
tropical_v2,shortest_path,ood_size,10020012,100,200,2.0,7,1,19.0,19,0.0,0,1,1,1,1,0.03638399671763182,0.04141513491049409,0.005249856039881706
tropical_v2,shortest_path,ood_size,10020013,100,200,2.0,8,1,47.0,47,0.0,2,0,0,1,1,0.03660699585452676,0.041632364038378,0.005317825824022293
tropical_v2,shortest_path,ood_size,10020014,100,200,2.0,9,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.034871093928813934,0.03996766125783324,0.005416936241090298
tropical_v2,shortest_path,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.0363390170969069,0.04134171595796943,0.0052830870263278484
tropical_v2,shortest_path,ood_size,10020016,100,200,2.0,11,1,41.0,41,0.0,0,1,1,1,1,0.03252397431060672,0.03759538196027279,0.00530407577753067
tropical_v2,shortest_path,ood_size,10020017,100,200,2.0,12,1,40.0,30,0.25,2,0,0,1,1,0.03586812922731042,0.04091270826756954,0.0052605061791837215
tropical_v2,shortest_path,ood_size,10020018,100,200,2.0,13,1,40.0,40,0.0,0,1,1,1,1,0.03733626427128911,0.042401441372931004,0.005294785834848881
tropical_v2,shortest_path,ood_size,10020019,100,200,2.0,14,1,31.0,31,0.0,0,1,1,1,1,0.03628167835995555,0.04138308623805642,0.005346836056560278
tropical_v2,shortest_path,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.037651280872523785,0.042684289161115885,0.005409836303442717
tropical_v2,shortest_path,ood_size,10020021,100,200,2.0,16,1,20.0,17,0.15,2,0,0,1,1,0.04763130797073245,0.05266030505299568,0.005420865956693888
tropical_v2,shortest_path,ood_size,10020022,100,200,2.0,17,1,5.0,5,0.0,0,1,1,1,1,0.034846053924411535,0.03996913181617856,0.005262616090476513
tropical_v2,shortest_path,ood_size,10020023,100,200,2.0,18,1,17.0,17,0.0,0,1,1,1,1,0.03419102681800723,0.039277543779462576,0.0054145860485732555
tropical_v2,shortest_path,ood_size,10020024,100,200,2.0,19,1,40.0,36,0.1,2,0,0,1,1,0.03577095968648791,0.0408173780888319,0.005286346189677715
tropical_v2,shortest_path,ood_size,10025005,100,250,2.5,0,1,13.0,13,0.0,0,1,1,1,1,0.03917197464033961,0.04506041808053851,0.005771544296294451
tropical_v2,shortest_path,ood_size,10025006,100,250,2.5,1,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.04458360094577074,0.05057053407654166,0.005471755750477314
