model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
tropical_v2,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.16871284693479538,0.1777541395276785,0.6563130086287856
tropical_v2,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04351067543029785,0.05173274036496878,0.005718149244785309
tropical_v2,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04687935579568148,0.05350094102323055,0.005381841212511063
tropical_v2,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04282723739743233,0.04935096297413111,0.005319120362401009
tropical_v2,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04256206005811691,0.04995978996157646,0.005292622372508049
tropical_v2,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05695915222167969,0.06352572701871395,0.005374301224946976
tropical_v2,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04226553253829479,0.0501170689240098,0.005284780636429787
tropical_v2,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04284039791673422,0.04930214397609234,0.005300851538777351
tropical_v2,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.044887217693030834,0.05142067186534405,0.005326130427420139
tropical_v2,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.046138969250023365,0.05372467078268528,0.005935877561569214
tropical_v2,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.043828423134982586,0.05053498595952988,0.005300590768456459
tropical_v2,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.041835544630885124,0.04964833054691553,0.005252561531960964
tropical_v2,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.044895648024976254,0.051302351988852024,0.005257051438093185
tropical_v2,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04348048474639654,0.05000155884772539,0.005249341018497944
tropical_v2,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.0440191924571991,0.05152842029929161,0.005278632044792175
tropical_v2,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04374622367322445,0.05028549861162901,0.005368060432374477
tropical_v2,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.0544045465067029,0.06226251367479563,0.0053796907886862755
tropical_v2,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04465992841869593,0.05118594318628311,0.005207371897995472
tropical_v2,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,17,0.0,0,1,1,1,1,0.04134161677211523,0.047892230562865734,0.005258682183921337
tropical_v2,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.04266884829849005,0.050141407176852226,0.005221391096711159
tropical_v2,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.05070682428777218,0.05842450354248285,0.005762768909335136
tropical_v2,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05438513495028019,0.062232863157987595,0.005439840257167816
tropical_v2,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,22,0.0,0,1,1,1,1,0.05502401199191809,0.0638275034725666,0.005389080382883549
tropical_v2,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.05576976854354143,0.06357588618993759,0.005370900966227055
tropical_v2,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.28308808896690607,0.2909404058009386,0.005686049349606037
tropical_v2,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07206911966204643,0.07993291690945625,0.005394061096012592
tropical_v2,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.059478478506207466,0.06723621767014265,0.00539816077798605
tropical_v2,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.056661322712898254,0.06539913639426231,0.005441050976514816
tropical_v2,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.059924536384642124,0.0678240330889821,0.005401549860835075
tropical_v2,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06475038919597864,0.07261836715042591,0.005420630797743797
