model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.18748048041015863,0.19616611767560244,0.5534538542851806,53,0.07017543859649122,4,4,0.013802699744701385,0.567256554029882,0,2,0
tropical_v2,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.042918588034808636,0.05085197743028402,0.005640801973640919,18,0.0,4,4,0.0013312678784132004,0.006972069852054119,1,0,1
tropical_v2,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04684411361813545,0.05339770298451185,0.0053775012493133545,35,0.0,4,4,0.0015638777986168861,0.006941379047930241,1,0,1
tropical_v2,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04238674882799387,0.048873189836740494,0.00524253211915493,36,0.05263157894736842,4,4,0.0014604078605771065,0.006702939979732037,0,2,0
tropical_v2,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04199538845568895,0.049203759990632534,0.0052927415817976,28,0.0,4,4,0.001293468289077282,0.006586209870874882,1,0,1
tropical_v2,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.0565465297549963,0.06298345886170864,0.005467521958053112,34,0.0,4,4,0.0015453686937689781,0.00701289065182209,1,0,1
tropical_v2,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04175233002752066,0.049347138963639736,0.005320923402905464,33,0.0,4,4,0.001324458047747612,0.006645381450653076,1,0,1
tropical_v2,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04255492892116308,0.048940240405499935,0.005333762615919113,19,0.0,4,4,0.0012113489210605621,0.006545111536979675,1,0,1
tropical_v2,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.044383617118000984,0.05086940713226795,0.00531645305454731,47,0.0,4,4,0.0015874383971095085,0.006903891451656818,0,2,0
tropical_v2,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.041393441148102283,0.04871139954775572,0.005315812304615974,27,0.06896551724137931,4,4,0.0014057978987693787,0.006721610203385353,0,2,0
tropical_v2,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.043876917101442814,0.05027144867926836,0.005298791453242302,21,0.0,4,4,0.0012465976178646088,0.006545389071106911,1,0,1
tropical_v2,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04141067061573267,0.04892602004110813,0.0053171031177043915,41,0.0,4,4,0.0015174783766269684,0.00683458149433136,1,0,1
tropical_v2,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04458535648882389,0.05093392636626959,0.005294842645525932,37,0.075,4,4,0.001386977732181549,0.006681820377707481,0,2,0
tropical_v2,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.0428807083517313,0.04939665924757719,0.0053016021847724915,40,0.0,4,4,0.001354738138616085,0.0066563403233885765,1,0,1
tropical_v2,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.04360212758183479,0.05093720741569996,0.005328272469341755,31,0.0,4,4,0.001498728059232235,0.00682700052857399,1,0,1
tropical_v2,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.0433569373562932,0.04977000784128904,0.005316713824868202,52,0.0,4,4,0.001490497961640358,0.00680721178650856,0,2,0
tropical_v2,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05382043309509754,0.061379280872642994,0.005390182137489319,20,0.0,4,4,0.0015101078897714615,0.00690029002726078,1,0,1
tropical_v2,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04439529590308666,0.05080145690590143,0.005286862142384052,5,0.0,4,4,0.0012122681364417076,0.00649913027882576,1,0,1
tropical_v2,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04098561033606529,0.047402472235262394,0.005256582051515579,17,0.0,4,4,0.001279318705201149,0.006535900756716728,1,0,1
tropical_v2,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.04574589338153601,0.05310420412570238,0.005867701955139637,36,0.1,4,4,0.001580878160893917,0.007448580116033554,0,2,0
tropical_v2,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.05039915628731251,0.05820080731064081,0.005838322453200817,13,0.0,4,4,0.0013585686683654785,0.007196891121566296,1,0,1
