model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.1663118675351143,0.1755462046712637,0.5783794308081269,53,0.07017543859649122,5,5,0.01401776447892189,0.5923971952870488,0,2,0
tropical_v2,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.042265720665454865,0.05027983337640762,0.005681384354829788,18,0.0,5,5,0.0015908917412161827,0.007272276096045971,1,0,1
tropical_v2,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04619953315705061,0.052716782316565514,0.0054235151037573814,35,0.0,5,5,0.0018842201679944992,0.007307735271751881,1,0,1
tropical_v2,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.042113522067666054,0.048620580695569515,0.0053128451108932495,36,0.05263157894736842,5,5,0.0017781509086489677,0.007090996019542217,0,2,0
tropical_v2,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04196739289909601,0.04919468890875578,0.005343655124306679,28,0.0,5,5,0.001542053185403347,0.006885708309710026,1,0,1
tropical_v2,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.05630062613636255,0.0627211146056652,0.005371044389903545,34,0.0,5,5,0.0018610814586281776,0.007232125848531723,1,0,1
tropical_v2,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04177490342408419,0.04935750737786293,0.005328824743628502,33,0.0,5,5,0.0015932116657495499,0.006922036409378052,1,0,1
tropical_v2,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04230476077646017,0.04869521036744118,0.005320435389876366,19,0.0,5,5,0.0014648828655481339,0.0067853182554244995,1,0,1
tropical_v2,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04428994096815586,0.05078628100454807,0.005370523780584335,47,0.0,5,5,0.0018994109705090523,0.007269934751093388,0,2,0
tropical_v2,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04144969489425421,0.048825521022081375,0.005308865569531918,29,0.0,5,5,0.001722661778330803,0.0070315273478627205,1,0,1
