model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.1743198586627841,0.1831204490736127,0.5788632528856397,53,0.07017543859649122,5,5,0.01338069885969162,0.5922439517453313,0,2,0
tropical_v2,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04263229388743639,0.050587947480380535,0.005682863295078278,18,0.0,5,5,0.0016106832772493362,0.007293546572327614,1,0,1
tropical_v2,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04655494634062052,0.05314450617879629,0.0054385848343372345,35,0.0,5,5,0.0018906621262431145,0.007329246960580349,1,0,1
tropical_v2,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04214891605079174,0.04869806580245495,0.0053710052743554115,36,0.05263157894736842,5,5,0.0017826519906520844,0.007153657265007496,0,2,0
tropical_v2,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,18,0.35714285714285715,2,0,0,1,1,0.04203682765364647,0.04930910374969244,0.00532748457044363,28,0.0,5,5,0.0015295129269361496,0.00685699749737978,1,0,1
tropical_v2,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05665208958089352,0.06314681004732847,0.00538252480328083,34,0.0,5,5,0.0018554814159870148,0.007238006219267845,1,0,1
tropical_v2,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.041786118410527706,0.049443213269114494,0.00535142607986927,33,0.0,5,5,0.0016264226287603378,0.006977848708629608,1,0,1
tropical_v2,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04279361292719841,0.04920360352844,0.00533844530582428,19,0.0,5,5,0.0014396226033568382,0.006778067909181118,1,0,1
tropical_v2,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04432917758822441,0.05085002724081278,0.00540834479033947,47,0.0,5,5,0.0019077509641647339,0.007316095754504204,0,2,0
tropical_v2,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.041700647212564945,0.049090404994785786,0.005322335287928581,29,0.0,5,5,0.0017431722953915596,0.007065507583320141,1,0,1
tropical_v2,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.043508569709956646,0.049976760521531105,0.005336785688996315,21,0.0,5,5,0.001488562673330307,0.006825348362326622,1,0,1
tropical_v2,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.041832707822322845,0.04949363227933645,0.005333135835826397,41,0.0,5,5,0.0018690619617700577,0.007202197797596455,1,0,1
tropical_v2,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04480281379073858,0.05126199498772621,0.005377596244215965,37,0.075,5,5,0.0016287332400679588,0.007006329484283924,0,2,0
tropical_v2,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04251134488731623,0.049067044630646706,0.005284006707370281,40,0.0,5,5,0.0016124434769153595,0.006896450184285641,1,0,1
tropical_v2,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.04350824933499098,0.05097454600036144,0.005409586243331432,31,0.0,5,5,0.0018183616921305656,0.007227947935461998,1,0,1
tropical_v2,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04337952099740505,0.04984793160110712,0.005369034595787525,52,0.0,5,5,0.0017813211306929588,0.007150355726480484,0,2,0
tropical_v2,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05428075138479471,0.06199898570775986,0.005409644916653633,20,0.0,5,5,0.0018427018076181412,0.007252346724271774,1,0,1
tropical_v2,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04425774700939655,0.05071849748492241,0.0053160954266786575,5,0.0,5,5,0.0014335643500089645,0.006749659776687622,1,0,1
tropical_v2,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,17,0.0,0,1,1,1,1,0.04096498154103756,0.047431361861526966,0.005265655927360058,17,0.0,5,5,0.0015313532203435898,0.006797009147703648,1,0,1
tropical_v2,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.042332795448601246,0.049699941650033,0.009267007932066917,39,0.025,5,5,0.001965581439435482,0.0112325893715024,0,2,0
tropical_v2,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.05038353893905878,0.05845117103308439,0.005906452424824238,13,0.0,5,5,0.0016429517418146133,0.007549404166638851,1,0,1
tropical_v2,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.0538697624579072,0.0616121469065547,0.005488864146173,31,0.06060606060606061,5,5,0.0022105099633336067,0.007699374109506607,0,2,0
tropical_v2,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,22,0.0,0,1,1,1,1,0.05460331030189991,0.06317443028092384,0.005435414612293243,22,0.0,5,5,0.0020199213176965714,0.007455335929989815,1,0,1
tropical_v2,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.05509413778781891,0.06275371182709932,0.005430464632809162,20,0.0,5,5,0.0020589912310242653,0.007489455863833427,0,2,0
tropical_v2,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.271558984182775,0.2793778469786048,0.005634893663227558,31,0.08823529411764706,5,5,0.0018334407359361649,0.007468334399163723,0,2,0
tropical_v2,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.0707426443696022,0.07843266986310482,0.00553988479077816,26,0.0,5,5,0.0019135009497404099,0.00745338574051857,0,2,0
tropical_v2,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.05886093992739916,0.06657322496175766,0.005421995185315609,15,1.1842378929335e-16,5,5,0.0027512768283486366,0.008173272013664246,1,0,1
tropical_v2,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05651292949914932,0.06413094606250525,0.00543325487524271,11,0.0,5,5,0.001862362027168274,0.007295616902410984,1,0,1
tropical_v2,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05871029011905193,0.06759187020361423,0.005452925339341164,22,0.0,5,5,0.002206810750067234,0.007659736089408398,0,2,0
tropical_v2,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06444177404046059,0.07212986890226603,0.005426215007901192,29,0.0,5,5,0.0021168598905205727,0.007543074898421764,1,0,1
tropical_v2,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,24,0.0,0,1,1,1,1,0.06008875463157892,0.06788305751979351,0.005413915030658245,24,0.0,5,5,0.003114165738224983,0.008528080768883228,1,0,1
tropical_v2,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.049916891381144524,0.057524326257407665,0.005446264520287514,11,0.21428571428571427,5,5,0.00178432185202837,0.007230586372315884,0,2,0
tropical_v2,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.06884711422026157,0.07776023261249065,0.005528855137526989,38,0.0,5,5,0.002006051130592823,0.007534906268119812,1,0,1
tropical_v2,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,28,0.06666666666666667,2,0,0,1,1,0.07258125673979521,0.08048532996326685,0.005491465330123901,30,0.0,5,5,0.0021511297672986984,0.0076425950974226,1,0,1
tropical_v2,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.05742368660867214,0.06518552079796791,0.005377074703574181,45,0.0,5,5,0.003338414244353771,0.008715488947927952,1,0,1
tropical_v2,shortest_path,ood_size,,,10025020,100,250,2.5,15,0,99,1,24.0,24,0.0,2,0,0,1,1,0.05825224332511425,0.06589311640709639,0.005400504916906357,24,0.0,5,5,0.002018590457737446,0.007419095374643803,0,2,0
tropical_v2,shortest_path,ood_size,,,10025021,100,250,2.5,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.056240322068333626,0.0651565408334136,0.005434324964880943,20,0.0,5,5,0.001931890845298767,0.00736621581017971,1,0,1
tropical_v2,shortest_path,ood_size,,,10025022,100,250,2.5,17,0,99,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.05976713541895151,0.06755585968494415,0.005471505224704742,43,0.0,5,5,0.001779661513864994,0.0072511667385697365,1,0,1
tropical_v2,shortest_path,ood_size,,,10025023,100,250,2.5,18,0,99,1,36.0,27,0.25,2,0,0,1,1,0.050245290622115135,0.057987432926893234,0.0053168851882219315,31,0.1388888888888889,5,5,0.002986106090247631,0.008302991278469563,0,2,0
tropical_v2,shortest_path,ood_size,,,10025024,100,250,2.5,19,0,99,1,31.0,22,0.2903225806451613,2,0,0,1,1,0.05377396289259195,0.06138904858380556,0.005425396375358105,31,0.0,5,5,0.001799282617866993,0.007224678993225098,1,0,1
tropical_v2,shortest_path,ood_size,,,10030005,100,300,3.0,0,0,99,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.06553245894610882,0.07554941345006227,0.005588124506175518,22,0.0,5,5,0.002358478493988514,0.007946603000164032,1,0,1
tropical_v2,shortest_path,ood_size,,,10030006,100,300,3.0,1,0,99,1,24.0,24,0.0,0,1,1,1,1,0.06386674754321575,0.07276806607842445,0.0054407063871622086,24,0.0,5,5,0.00235022883862257,0.007790935225784779,1,0,1
tropical_v2,shortest_path,ood_size,,,10030007,100,300,3.0,2,0,99,1,31.0,31,0.0,0,1,1,1,1,0.0990755446255207,0.10810213349759579,0.005794662982225418,31,0.0,5,5,0.0024574482813477516,0.00825211126357317,1,0,1
tropical_v2,shortest_path,ood_size,,,10030008,100,300,3.0,3,0,99,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.07198659982532263,0.08092919737100601,0.005566754378378391,19,0.0,5,5,0.0022179698571562767,0.007784724235534668,1,0,1
