model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.1739964922890067,0.18272137455642223,0.55900689214468,53,0.07017543859649122,4,4,0.013123732060194016,0.572130624204874,0,2,0
tropical_v2,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04247240163385868,0.05041338503360748,0.005896943621337414,18,0.0,4,4,0.0013789637014269829,0.007275907322764397,1,0,1
tropical_v2,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04689635057002306,0.053675021044909954,0.0068284496665000916,34,0.02857142857142857,4,4,0.0015217633917927742,0.008350213058292866,0,2,0
tropical_v2,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04235468152910471,0.04889291152358055,0.005296016111969948,36,0.05263157894736842,4,4,0.0014483248814940453,0.006744340993463993,0,2,0
tropical_v2,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,21,0.25,2,0,0,1,1,0.042052571661770344,0.049269589595496655,0.00528593547642231,28,0.0,4,4,0.0013293540105223656,0.0066152894869446754,1,0,1
tropical_v2,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.056475947611033916,0.06285591889172792,0.005318246781826019,34,0.0,4,4,0.0015388233587145805,0.0068570701405406,1,0,1
tropical_v2,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04174521379172802,0.04936920013278723,0.005297085270285606,32,0.030303030303030304,4,4,0.001280154101550579,0.0065772393718361855,0,2,0
tropical_v2,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04252193961292505,0.04885200038552284,0.005296576768159866,19,0.0,4,4,0.0012002047151327133,0.00649678148329258,1,0,1
tropical_v2,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04443970136344433,0.05087202321738005,0.005303296260535717,47,0.0,4,4,0.0015737824141979218,0.006877078674733639,0,2,0
tropical_v2,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04142127465456724,0.048777131363749504,0.005319296382367611,27,0.06896551724137931,4,4,0.0013938527554273605,0.0067131491377949715,0,2,0
