model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,value_ood,,,,,3006005,30,60,2.0,0,0,29,,,1,60.0,57,0.05,2,0,0,1,1,0.14986490365117788,0.154873576015234,0.6974389525130391,57,0.05,5,5,0.013125509954988956,0.7105644624680281,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006006,30,60,2.0,1,0,29,,,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.018249054439365864,0.02170724608004093,0.0052202846854925156,142,0.19318181818181818,5,5,0.00056472048163414,0.005785005167126656,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006007,30,60,2.0,2,0,29,,,1,214.0,192,0.102803738317757,2,0,0,1,1,0.017385533079504967,0.020262415520846844,0.004905423149466515,214,0.0,5,5,0.0007643206045031548,0.005669743753969669,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006008,30,60,2.0,3,0,29,,,1,191.0,188,0.015706806282722512,2,0,0,1,1,0.01503137219697237,0.017800424247980118,0.0047270022332668304,188,0.015706806282722512,5,5,0.0006974600255489349,0.005424462258815765,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006009,30,60,2.0,4,0,29,,,1,291.0,274,0.058419243986254296,2,0,0,1,1,0.015402662567794323,0.018210364505648613,0.0047346241772174835,274,0.058419243986254296,5,5,0.0006753597408533096,0.005409983918070793,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006010,30,60,2.0,5,0,29,,,1,275.0,229,0.16727272727272727,2,0,0,1,1,0.01741970330476761,0.020221465267241,0.004717173986136913,250,0.09090909090909091,5,5,0.0006914203986525536,0.005408594384789467,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006011,30,60,2.0,6,0,29,,,1,75.0,75,0.0,2,0,0,1,1,0.01980412472039461,0.022611087188124657,0.004716373048722744,75,0.0,5,5,0.0005346713587641716,0.005251044407486916,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006012,30,60,2.0,7,0,29,,,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.02592293918132782,0.028784791938960552,0.004746912978589535,79,0.05952380952380952,5,5,0.0006858203560113907,0.0054327333346009254,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006013,30,60,2.0,8,0,29,,,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.01756762247532606,0.02040876541286707,0.004725332371890545,44,0.2903225806451613,5,5,0.0005711410194635391,0.005296473391354084,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006014,30,60,2.0,9,0,29,,,1,191.0,191,0.0,0,1,1,1,1,0.01957025472074747,0.022438297048211098,0.004810404032468796,191,0.0,5,5,0.000677330419421196,0.005487734451889992,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006015,30,60,2.0,10,0,29,,,1,107.0,74,0.308411214953271,2,0,0,1,1,0.01859959401190281,0.0214715963229537,0.00471420306712389,107,0.0,5,5,0.0006165001541376114,0.005330703221261501,1,0,1
