model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,value_ood,,,3006005,30,60,2.0,0,0,29,1,60.0,57,0.05,2,0,0,1,1,0.1316056726500392,0.13645083829760551,0.4955519884824753,60,0.0,5,5,0.013087467290461063,0.5086394557729363,1,0,1
tropical_v2,shortest_path,value_ood,,,3006006,30,60,2.0,1,0,29,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.018509932793676853,0.02200152538716793,0.00525867473334074,128,0.2727272727272727,5,5,0.0005704276263713837,0.005829102359712124,0,2,0
tropical_v2,shortest_path,value_ood,,,3006007,30,60,2.0,2,0,29,1,214.0,166,0.22429906542056074,2,0,0,1,1,0.017414767295122147,0.02029982302337885,0.0050380658358335495,214,0.0,5,5,0.0006558578461408615,0.005693923681974411,1,0,1
tropical_v2,shortest_path,value_ood,,,3006008,30,60,2.0,3,0,29,1,191.0,183,0.041884816753926704,2,0,0,1,1,0.014729499816894531,0.01762551534920931,0.004831526428461075,183,0.041884816753926704,5,5,0.0007201256230473518,0.005551652051508427,0,2,0
tropical_v2,shortest_path,value_ood,,,3006009,30,60,2.0,4,0,29,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.01545790582895279,0.018337251618504524,0.004818187095224857,291,0.0,5,5,0.0006862971931695938,0.005504484288394451,1,0,1
tropical_v2,shortest_path,value_ood,,,3006010,30,60,2.0,5,0,29,1,275.0,229,0.16727272727272727,2,0,0,1,1,0.01718317810446024,0.02000462543219328,0.004812666215002537,273,0.007272727272727273,5,5,0.0006834762170910835,0.00549614243209362,0,2,0
tropical_v2,shortest_path,value_ood,,,3006011,30,60,2.0,6,0,29,1,75.0,59,0.21333333333333335,2,0,0,1,1,0.018753751181066036,0.021569617092609406,0.004863317124545574,75,0.0,5,5,0.0005628280341625214,0.0054261451587080956,0,2,0
tropical_v2,shortest_path,value_ood,,,3006012,30,60,2.0,7,0,29,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.026099545881152153,0.03030566591769457,0.004912407137453556,79,0.05952380952380952,5,5,0.0006364472210407257,0.005548854358494282,0,2,0
tropical_v2,shortest_path,value_ood,,,3006013,30,60,2.0,8,0,29,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.01776075456291437,0.020586621947586536,0.004900386556982994,44,0.2903225806451613,5,5,0.0005686972290277481,0.005469083786010742,0,2,0
tropical_v2,shortest_path,value_ood,,,3006014,30,60,2.0,9,0,29,1,191.0,191,0.0,0,1,1,1,1,0.01976055558770895,0.022584092803299427,0.004858336411416531,191,0.0,5,5,0.000765177421271801,0.005623513832688332,1,0,1
