model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,value_ood,,,3006005,30,60,2.0,0,0,29,1,60.0,57,0.05,2,0,0,1,1,0.15194706618785858,0.15686612203717232,0.649827872402966,57,0.05,5,5,0.013303406536579132,0.6631312789395452,0,2,0
tropical_v2,shortest_path,value_ood,,,3006006,30,60,2.0,1,0,29,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.018641121685504913,0.022145524621009827,0.00521890539675951,128,0.2727272727272727,5,5,0.0005543576553463936,0.005773263052105904,0,2,0
tropical_v2,shortest_path,value_ood,,,3006007,30,60,2.0,2,0,29,1,214.0,214,0.0,0,1,1,1,1,0.017269977368414402,0.02017953433096409,0.004955596290528774,214,0.0,5,5,0.0006500771269202232,0.0056056734174489975,1,0,1
tropical_v2,shortest_path,value_ood,,,3006008,30,60,2.0,3,0,29,1,191.0,183,0.041884816753926704,2,0,0,1,1,0.014815549366176128,0.01772167533636093,0.004816846922039986,183,0.041884816753926704,5,5,0.0006905775517225266,0.005507424473762512,0,2,0
tropical_v2,shortest_path,value_ood,,,3006009,30,60,2.0,4,0,29,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.015126587823033333,0.01800614409148693,0.004742986522614956,291,0.0,5,5,0.0006596073508262634,0.005402593873441219,1,0,1
tropical_v2,shortest_path,value_ood,,,3006010,30,60,2.0,5,0,29,1,275.0,250,0.09090909090909091,2,0,0,1,1,0.017155217938125134,0.019975624978542328,0.004768118262290955,273,0.007272727272727273,5,5,0.0006791874766349792,0.005447305738925934,0,2,0
tropical_v2,shortest_path,value_ood,,,3006011,30,60,2.0,6,0,29,1,75.0,75,0.0,2,0,0,1,1,0.018437701277434826,0.021263648755848408,0.004806537181138992,75,0.0,5,5,0.0005714269354939461,0.005377964116632938,0,2,0
tropical_v2,shortest_path,value_ood,,,3006012,30,60,2.0,7,0,29,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.026085096411406994,0.03024393506348133,0.005940372124314308,82,0.023809523809523808,5,5,0.0006282273679971695,0.006568599492311478,0,2,0
tropical_v2,shortest_path,value_ood,,,3006013,30,60,2.0,8,0,29,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.01767668593674898,0.020541132427752018,0.004742106422781944,44,0.2903225806451613,5,5,0.0005551772192120552,0.0052972836419939995,0,2,0
tropical_v2,shortest_path,value_ood,,,3006014,30,60,2.0,9,0,29,1,191.0,191,0.0,0,1,1,1,1,0.01942609716206789,0.02223487477749586,0.004815956577658653,191,0.0,5,5,0.0007285568863153458,0.005544513463973999,1,0,1
tropical_v2,shortest_path,value_ood,,,3006015,30,60,2.0,10,0,29,1,107.0,74,0.308411214953271,2,0,0,1,1,0.018695540726184845,0.021442538127303123,0.004795997403562069,107,0.0,5,5,0.0006141774356365204,0.005410174839198589,1,0,1
tropical_v2,shortest_path,value_ood,,,3006016,30,60,2.0,11,0,29,1,101.0,66,0.3465346534653465,2,0,0,1,1,0.017033868469297886,0.019878845661878586,0.004892946220934391,101,0.0,5,5,0.0005771182477474213,0.005470064468681812,1,0,1
tropical_v2,shortest_path,value_ood,,,3006017,30,60,2.0,12,0,29,1,163.0,122,0.25153374233128833,2,0,0,1,1,0.014916179701685905,0.01946220640093088,0.005013885907828808,146,0.10429447852760736,5,5,0.0006068069487810135,0.005620692856609821,0,2,0
tropical_v2,shortest_path,value_ood,,,3006018,30,60,2.0,13,0,29,1,243.0,196,0.1934156378600823,2,0,0,1,1,0.017481726594269276,0.020327922888100147,0.0048735858872532845,243,0.0,5,5,0.0006708772853016853,0.00554446317255497,1,0,1
tropical_v2,shortest_path,value_ood,,,3006019,30,60,2.0,14,0,29,1,104.99999999999999,65,0.3809523809523809,2,0,0,1,1,0.01720621809363365,0.02009060326963663,0.00476065743714571,65,0.3809523809523809,5,5,0.0005608070641756058,0.005321464501321316,0,2,0
