model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,value_ood,,,,,3006005,30,60,2.0,0,0,29,,,1,60.0,57,0.05,2,0,0,1,1,0.15447938069701195,0.1593705341219902,0.8050042390823364,60,0.0,5,5,0.013277621008455753,0.8182818600907922,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006006,30,60,2.0,1,0,29,,,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.018536505289375782,0.022036327049136162,0.005398564971983433,142,0.19318181818181818,5,5,0.0005588503554463387,0.005957415327429771,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006007,30,60,2.0,2,0,29,,,1,214.0,166,0.22429906542056074,2,0,0,1,1,0.017095783725380898,0.01999948639422655,0.0049881236627697945,214,0.0,5,5,0.0007893601432442665,0.005777483806014061,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006008,30,60,2.0,3,0,29,,,1,191.0,191,0.0,0,1,1,1,1,0.01602634321898222,0.0188061548396945,0.004916244186460972,191,0.0,5,5,0.0007024900987744331,0.005618734285235405,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006009,30,60,2.0,4,0,29,,,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.015256842598319054,0.018114013597369194,0.004791592247784138,245,0.15807560137457044,5,5,0.0006973808631300926,0.00548897311091423,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006010,30,60,2.0,5,0,29,,,1,275.0,229,0.16727272727272727,2,0,0,1,1,0.017273194156587124,0.02015954628586769,0.004857504740357399,273,0.007272727272727273,5,5,0.0006934907287359238,0.005550995469093323,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006011,30,60,2.0,6,0,29,,,1,75.0,75,0.0,0,1,1,1,1,0.020267865620553493,0.023085618391633034,0.005059094168245792,75,0.0,5,5,0.0005532102659344673,0.00561230443418026,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006012,30,60,2.0,7,0,29,,,1,84.0,82,0.023809523809523808,2,0,0,1,1,0.02678215131163597,0.029632183723151684,0.004841224290430546,82,0.023809523809523808,5,5,0.0006499709561467171,0.005491195246577263,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006013,30,60,2.0,8,0,29,,,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.01840865518897772,0.021240226924419403,0.0048303743824362755,44,0.2903225806451613,5,5,0.0005745496600866318,0.005404924042522907,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006014,30,60,2.0,9,0,29,,,1,191.0,191,0.0,0,1,1,1,1,0.020291415974497795,0.023162929341197014,0.004867624491453171,191,0.0,5,5,0.0006862897425889969,0.005553914234042168,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006015,30,60,2.0,10,0,29,,,1,107.0,107,0.0,0,1,1,1,1,0.01941788475960493,0.02230851724743843,0.004943003877997398,107,0.0,5,5,0.0006271209567785263,0.005570124834775925,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006016,30,60,2.0,11,0,29,,,1,101.0,101,0.0,0,1,1,1,1,0.019193614833056927,0.022002916783094406,0.004924153909087181,101,0.0,5,5,0.0006001107394695282,0.005524264648556709,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006017,30,60,2.0,12,0,29,,,1,163.0,163,0.0,0,1,1,1,1,0.015761351212859154,0.01856361422687769,0.004894813522696495,163,0.0,5,5,0.0006247200071811676,0.005519533529877663,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006018,30,60,2.0,13,0,29,,,1,243.0,216,0.1111111111111111,2,0,0,1,1,0.017255953513085842,0.020052106119692326,0.00493837334215641,216,0.1111111111111111,5,5,0.0007104501128196716,0.005648823454976082,0,2,0
tropical_v2,shortest_path,value_ood,,,,,3006019,30,60,2.0,14,0,29,,,1,104.99999999999999,65,0.3809523809523809,2,0,0,1,1,0.017914554104208946,0.02070058509707451,0.004782693460583687,105,-1.3534147347811433e-16,5,5,0.0005812700837850571,0.005363963544368744,1,0,1
tropical_v2,shortest_path,value_ood,,,,,3006020,30,60,2.0,15,0,29,,,1,153.0,127,0.16993464052287582,2,0,0,1,1,0.020865246653556824,0.02362056914716959,0.004849574528634548,137,0.10457516339869281,5,5,0.0006844606250524521,0.005534035153687,0,2,0
