model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,14,0.22222222222223942,8,0,1,5,5,0.8924359083175659,0.9007346974685788,0.6784827439114451,14,0.22222222222223942,9,126,0.033753154799342155,0.7122358987107873,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,12,0.29411764705882365,10,0,0,5,5,0.2009115982800722,0.20788331422954798,0.0057275621220469475,12,0.29411764705882365,9,126,0.03242802154272795,0.038155583664774895,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,16,0.15789473684215802,7,0,1,5,4,0.8747627651318908,0.8821141785010695,0.006263439543545246,16,0.15789473684215802,9,126,0.03271522931754589,0.03897866886109114,0,7,1
tropical_v2,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,12,0.3684210526315789,10,0,0,5,5,0.05399633664637804,0.060597472824156284,0.0054214028641581535,12,0.3684210526315789,9,126,0.0324922613799572,0.03791366424411535,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,10,0.41176470588237435,7,0,1,5,4,0.6707917209714651,0.6783458851277828,0.005685143172740936,10,0.41176470588237435,9,126,0.032324652187526226,0.03800979536026716,0,7,1
tropical_v2,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,15,0.2500000000000141,8,0,1,5,5,0.9830369474366307,0.9893067246302962,0.005660722032189369,16,0.20000000000001505,9,126,0.034283523447811604,0.03994424548000097,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,15,0.11764705882353255,8,0,1,5,5,0.8989718267694116,0.9050904074683785,0.005811851471662521,15,0.11764705882353255,9,126,0.03275621961802244,0.03856807108968496,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,13,0.2777777777777822,10,0,0,5,5,0.5380647303536534,0.5443660197779536,0.005788572132587433,13,0.2777777777777822,9,126,0.032537201419472694,0.03832577355206013,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,15,0.2105263157894824,6,0,2,5,5,0.5509072979912162,0.5573878763243556,0.005653412081301212,15,0.2105263157894824,9,126,0.032861899584531784,0.038515311665832996,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,18,0.10000000000005003,5,0,2,5,4,0.9204412521794438,0.9267959613353014,0.005708792246878147,18,0.10000000000005003,9,126,0.032892290502786636,0.038601082749664783,0,5,2
tropical_v2,shortest_path,wood,13,7,7,,13015,51,188,3.6862745098039214,10,0,50,,,5,15.000000000000018,11,0.26666666666666755,10,0,0,5,5,0.12260531075298786,0.1290536792948842,0.0055512236431241035,13,0.13333333333333436,9,126,0.032919409684836864,0.03847063332796097,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13016,51,188,3.6862745098039214,11,0,50,,,5,20.00000000000065,14,0.30000000000002275,10,0,0,5,5,0.5744753824546933,0.5808122921735048,0.0056716520339250565,16,0.20000000000002602,9,126,0.03301317896693945,0.038684831000864506,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13017,51,188,3.6862745098039214,12,0,50,,,5,18.000000000011784,9,0.5000000000003273,8,0,1,5,5,0.536431978456676,0.5427774181589484,0.005596342496573925,9,0.5000000000003273,9,126,0.03112613782286644,0.036722480319440365,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13018,51,188,3.6862745098039214,13,0,50,,,5,17.000000000000394,14,0.17647058823531322,8,0,1,5,5,0.5227600354701281,0.5305281281471252,0.00644023809581995,14,0.17647058823531322,9,126,0.03354824520647526,0.03998848330229521,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13019,51,188,3.6862745098039214,14,0,50,,,5,16.0,9,0.4375,10,0,0,5,5,0.06230989471077919,0.06910595204681158,0.005475892685353756,10,0.375,9,126,0.03245158027857542,0.037927472963929176,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13020,51,188,3.6862745098039214,15,0,50,,,5,16.00000000000117,10,0.37500000000004563,10,0,0,5,5,0.9445561142638326,0.9520462974905968,0.005871531553566456,10,0.37500000000004563,9,126,0.03151401598006487,0.037385547533631325,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13021,51,188,3.6862745098039214,16,0,50,,,5,20.000000000000092,17,0.15000000000000394,8,0,1,5,5,0.4182631364092231,0.4247031845152378,0.005587303079664707,19,0.05000000000000439,9,126,0.03265685960650444,0.03824416268616915,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13022,51,188,3.6862745098039214,17,0,50,,,5,19.000000000006096,15,0.210526315789727,10,0,0,5,5,1.2630640966817737,1.2706773495301604,0.0062453895807266235,15,0.210526315789727,9,126,0.032662149518728256,0.03890753909945488,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13023,51,188,3.6862745098039214,18,0,50,,,5,17.0,13,0.23529411764705882,6,0,2,5,5,0.12704589869827032,0.13347159791737795,0.0055884113535285,13,0.23529411764705882,9,126,0.032477982342243195,0.038066393695771694,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13024,51,188,3.6862745098039214,19,0,50,,,5,18.000000000023764,15,0.16666666666776686,10,0,0,5,5,0.9341008961200714,0.9416393479332328,0.005710073746740818,15,0.16666666666776686,9,126,0.03281980939209461,0.03852988313883543,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13025,51,188,3.6862745098039214,20,0,50,,,5,17.000000000009123,13,0.23529411764746921,8,0,1,5,5,1.1575840627774596,1.164039452560246,0.005708611570298672,13,0.23529411764746921,9,126,0.032115052454173565,0.03782366402447224,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13026,51,188,3.6862745098039214,21,0,50,,,5,15.000000000000016,9,0.40000000000000063,10,0,0,5,5,0.7371471477672458,0.745085989125073,0.005801692605018616,9,0.40000000000000063,9,126,0.03280317969620228,0.038604872301220894,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13027,51,188,3.6862745098039214,22,0,50,,,5,19.00000000000169,15,0.21052631578954395,10,0,0,5,5,1.2756658643484116,1.282209043391049,0.006135860458016396,16,0.15789473684218022,9,126,0.03533404693007469,0.04146990738809109,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13028,51,188,3.6862745098039214,23,0,50,,,5,16.000000000000025,11,0.31250000000000105,8,0,1,5,5,0.6543721919879317,0.6610700786113739,0.005843411199748516,11,0.31250000000000105,9,126,0.03204683307558298,0.0378902442753315,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13029,51,188,3.6862745098039214,24,0,50,,,5,19.00000000001029,13,0.31578947368458105,10,0,0,5,5,0.38350783567875624,0.38995029404759407,0.005699462257325649,16,0.15789473684256128,9,126,0.03352910652756691,0.03922856878489256,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13030,51,188,3.6862745098039214,25,0,50,,,5,18.000000000000004,14,0.22222222222222238,10,0,0,5,5,0.8841255391016603,0.8906646873801947,0.006153039634227753,14,0.22222222222222238,9,126,0.033476016484200954,0.03962905611842871,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13031,51,188,3.6862745098039214,26,0,50,,,5,17.0,10,0.4117647058823529,10,0,0,5,5,0.24087926279753447,0.24734710156917572,0.005659403279423714,11,0.35294117647058826,9,126,0.0321158729493618,0.037775276228785515,0,10,0
