model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,average_gradient_norm,maximum_gradient_norm,best_epoch_so_far,epoch_time_seconds
transformer,1,0.7812460625488294,0.6451315949269576,0.9848762292302475,0.4427860696517413,0.445,0.4438902743142145,3.328358208955224,0.09253731343283582,2.1498429915929202,11.831664085388184,True,4.544231197796762
transformer,2,0.6093883280333621,0.6326004861142118,0.9856358087487284,0.47064676616915424,0.473,0.4718204488778055,3.1611940298507464,0.10746268656716418,2.3254301865693883,16.00275421142578,True,4.210284551605582
transformer,3,0.5937825876647082,0.6254311514644552,0.9859884706680231,0.4835820895522388,0.486,0.48478802992518705,3.083582089552239,0.10746268656716418,2.206770369395387,12.167698860168457,True,4.23377170599997
transformer,4,0.580352176126012,0.62072275702005,0.9860698541878603,0.48656716417910445,0.489,0.4877805486284289,3.065671641791045,0.12238805970149254,2.3150244585904978,12.839900016784668,True,4.0754126366227865
transformer,5,0.5672611505067898,0.6136187860629404,0.9863411325873177,0.49651741293532337,0.499,0.49775561097256854,3.005970149253731,0.12835820895522387,2.37203227308801,9.787225723266602,True,4.118971733376384
transformer,6,0.5611960653444925,0.6209179705476389,0.9859613428280773,0.48258706467661694,0.485,0.4837905236907731,3.08955223880597,0.11343283582089553,2.6065419888133325,16.794771194458008,False,4.119861486367881
transformer,7,0.5576025167979932,0.6182682779678937,0.9865852831468295,0.5054726368159204,0.508,0.5067331670822942,2.952238805970149,0.12238805970149254,2.5081982310048216,10.74365234375,False,4.1913333823904395
transformer,8,0.5476576165586141,0.6151670174088952,0.9866937945066124,0.5094527363184079,0.512,0.51072319201995,2.928358208955224,0.13432835820895522,2.602956037684746,13.17522144317627,False,4.213722713291645
transformer,9,0.5348853021301726,0.628614865782383,0.986531027466938,0.5034825870646766,0.506,0.5047381546134663,2.964179104477612,0.14029850746268657,2.6209981303832253,9.870513916015625,False,4.174555388279259
transformer,10,0.5225351110572927,0.6348877294882551,0.9865581553068837,0.5044776119402985,0.507,0.5057356608478802,2.9582089552238804,0.12835820895522387,2.6080314715199058,11.945452690124512,False,4.205035005696118
transformer,11,0.5201041426935229,0.6355923649728319,0.986639538826721,0.5074626865671642,0.51,0.5087281795511223,2.9402985074626864,0.12835820895522387,2.779502949133742,13.845446586608887,False,4.225439880043268
transformer,12,0.5110156507976951,0.6498047795298545,0.9867209223465582,0.5104477611940299,0.513,0.5117206982543641,2.9223880597014924,0.13134328358208955,2.933438811356646,12.929219245910645,False,4.127973361872137
transformer,13,0.5001873032111144,0.6598637059416841,0.9867480501865039,0.5114427860696518,0.514,0.512718204488778,2.916417910447761,0.13432835820895522,3.027614911649433,16.041000366210938,False,4.16236703004688
transformer,14,0.4869706922398458,0.6699225162570458,0.9867480501865039,0.5114427860696518,0.514,0.512718204488778,2.916417910447761,0.13134328358208955,3.1852154734776104,11.72907543182373,False,4.230285000987351
transformer,15,0.4814026833014776,0.6818894843068435,0.9869108172261783,0.5174129353233831,0.52,0.5187032418952618,2.8805970149253732,0.13134328358208955,3.3855518269054783,13.902039527893066,False,4.1350084245204926
transformer,16,0.47575157361275006,0.7021908218507323,0.9867751780264497,0.5124378109452736,0.515,0.513715710723192,2.91044776119403,0.12835820895522387,3.425147483494076,15.315683364868164,False,4.22862375061959
transformer,17,0.46773618028496144,0.7227628959067073,0.9867751780264497,0.5124378109452736,0.515,0.513715710723192,2.91044776119403,0.13432835820895522,3.822305355429044,21.698749542236328,False,4.222423289902508
transformer,18,0.45307867717472833,0.7408359250623358,0.9867751780264497,0.5124378109452736,0.515,0.513715710723192,2.91044776119403,0.14328358208955225,3.6134357836645874,13.629674911499023,False,4.233069225214422
