model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,average_gradient_norm,maximum_gradient_norm,best_epoch_so_far,epoch_time_seconds
transformer,1,0.8519332577001704,0.825021197878566,0.9801862828111769,0.3333333333333333,0.3787878787878788,0.3546099290780141,3.64,0.09777777777777778,2.0975181500116986,11.56367015838623,True,5.896816064603627
transformer,2,0.7153870945363684,0.7752590630883474,0.9803072456755776,0.337037037037037,0.382996632996633,0.35855003940110325,3.617777777777778,0.10444444444444445,2.7063178807213193,13.528677940368652,True,5.550987420603633
transformer,3,0.6971795584024831,0.7584537492440663,0.9804282085399783,0.34074074074074073,0.3872053872053872,0.3624901497241923,3.5955555555555554,0.09333333333333334,2.5278110680126007,10.613139152526855,True,5.445884809829295
transformer,4,0.6827306587097507,0.7511448996270657,0.981153985726382,0.362962962962963,0.41245791245791247,0.38613081166272656,3.462222222222222,0.10888888888888888,2.5035810067540125,12.380087852478027,True,5.5090961726382375
transformer,5,0.6731620145160645,0.7559559985005727,0.9811056005806218,0.36148148148148146,0.4107744107744108,0.38455476753349094,3.471111111111111,0.1111111111111111,2.5076400049527487,12.779175758361816,False,5.472313770093024
transformer,6,0.6622774011983134,0.7506349885185771,0.981347526309423,0.3688888888888889,0.41919191919191917,0.392434988179669,3.4266666666666667,0.11777777777777777,2.5993099041212173,10.604251861572266,True,5.572140525095165
transformer,7,0.6486125514475103,0.7418437825790971,0.981347526309423,0.3688888888888889,0.41919191919191917,0.392434988179669,3.4266666666666667,0.1111111111111111,2.604660105137598,11.776213645935059,True,5.405569354072213
transformer,8,0.6416202707506409,0.7462149734499666,0.9814442966009435,0.3718518518518519,0.4225589225589226,0.3955870764381403,3.408888888888889,0.11555555555555555,2.8526636440413338,13.280590057373047,False,5.36427023075521
transformer,9,0.6350112961924341,0.7510267612133303,0.981734607475505,0.38074074074074077,0.43265993265993263,0.405043341213554,3.3555555555555556,0.11333333333333333,3.0877271108400253,14.969533920288086,False,5.465561899356544
transformer,10,0.621946381727691,0.7556561491270444,0.9816378371839846,0.37777777777777777,0.4292929292929293,0.4018912529550827,3.3733333333333335,0.1111111111111111,3.188343782084329,23.782804489135742,False,5.324942551553249
transformer,11,0.6183853861725506,0.7606419741912723,0.9815894520382242,0.3762962962962963,0.4276094276094276,0.40031520882584715,3.382222222222222,0.11777777777777777,3.413270373457954,16.25660514831543,False,5.412597121670842
transformer,12,0.6105632535343656,0.7673074167635906,0.9817104149026249,0.38,0.4318181818181818,0.4042553191489362,3.36,0.11555555555555555,3.540490620817457,28.131582260131836,False,5.326005190610886
transformer,13,0.6016768125408002,0.7755243396226759,0.9817588000483851,0.3814814814814815,0.4335016835016835,0.4058313632781718,3.351111111111111,0.12222222222222222,3.875281136035919,31.82940673828125,False,5.532541288994253
transformer,14,0.5975523650023308,0.7817927702312366,0.9815894520382242,0.3762962962962963,0.4276094276094276,0.40031520882584715,3.382222222222222,0.12,4.156175290516445,29.211496353149414,False,5.478127738460898
transformer,15,0.5863196660556418,0.787087043767719,0.9815894520382242,0.3762962962962963,0.4276094276094276,0.40031520882584715,3.382222222222222,0.12,4.224177754492986,34.543052673339844,False,5.416126566939056
transformer,16,0.5826457412985837,0.797532964113244,0.9816136446111043,0.37703703703703706,0.42845117845117847,0.40110323089046496,3.3777777777777778,0.12,4.223223294417063,23.166236877441406,False,5.474942805245519
transformer,17,0.5754555247724239,0.7993196975909785,0.9816378371839846,0.37777777777777777,0.4292929292929293,0.4018912529550827,3.3733333333333335,0.12222222222222222,4.314876580011277,28.582077026367188,False,5.433908795006573
transformer,18,0.56645345760176,0.8025517772371721,0.9816620297568647,0.37851851851851853,0.43013468013468015,0.40267927501970063,3.368888888888889,0.12222222222222222,4.579742243062882,37.69414138793945,False,5.635547718964517
transformer,19,0.5646662881678747,0.8059448797874458,0.9816862223297448,0.37925925925925924,0.43097643097643096,0.40346729708431833,3.3644444444444446,0.12222222222222222,4.639375699361166,29.70013999938965,False,5.635662519373
transformer,20,0.557429764327352,0.8159199830319935,0.9817829926212652,0.38222222222222224,0.43434343434343436,0.4066193853427896,3.3466666666666667,0.12444444444444444,4.961846600714184,41.448951721191406,False,5.532054301351309
transformer,21,0.5522658488504242,0.8221295607746822,0.9817104149026249,0.38,0.4318181818181818,0.4042553191489362,3.36,0.11555555555555555,4.8713169355619526,24.731216430664062,False,5.468402088619769
transformer,22,0.543159784062528,0.8297914577372038,0.9816620297568647,0.37851851851851853,0.43013468013468015,0.40267927501970063,3.368888888888889,0.11333333333333333,5.043789334978376,38.671653747558594,False,5.44440200086683
transformer,23,0.5424112960095552,0.8344521640595696,0.9816620297568647,0.37851851851851853,0.43013468013468015,0.40267927501970063,3.368888888888889,0.11333333333333333,5.256817675545102,33.34373092651367,False,5.416066327132285
transformer,24,0.5366546237897425,0.8487726413090247,0.9815652594653441,0.37555555555555553,0.42676767676767674,0.3995271867612293,3.3866666666666667,0.1111111111111111,5.401338710898445,27.735408782958984,False,5.488479045219719
transformer,25,0.5256648223808971,0.855997546368024,0.9815894520382242,0.3762962962962963,0.4276094276094276,0.40031520882584715,3.382222222222222,0.1111111111111111,5.4246093063127425,32.75982666015625,False,5.496492194011807
transformer,26,0.5213500076347279,0.86289666498282,0.9815652594653441,0.37555555555555553,0.42676767676767674,0.3995271867612293,3.3866666666666667,0.10444444444444445,5.595561012881142,34.16794204711914,False,5.45896558649838
